//DATASET,
//created,Tue, 16 Feb 2021 23:16:58 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6698
191.8095,192.0094,-57.904
192.0094,192.2092,-57.3175
192.2092,192.4091,-56.9753
192.4091,192.6089,-56.9011
192.6089,192.8088,-57.0557
192.8088,193.0086,-57.3288
193.0086,193.2084,-57.5599
193.2084,193.4083,-57.591
193.4083,193.6081,-57.3412
193.6081,193.808,-56.8664
193.808,194.0078,-56.3583
194.0078,194.2077,-56.0608
194.2077,194.4075,-56.1248
194.4075,194.6073,-56.4755
194.6073,194.8072,-56.7766
194.8072,195.007,-56.5502
195.007,195.2069,-55.4324
195.2069,195.4067,-53.3824
195.4067,195.6066,-50.8241
195.6066,195.8064,-48.5094
195.8064,196.0062,-47.2231
196.0062,196.2061,-47.4502

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9023
191.8,1.6899
191.9,2.0401
192,2.3471
192.1,2.602
192.3,2.925
192.6,2.9184
192.7,2.808
192.8,2.6653
193,2.3637
193.1,2.2472
193.2,2.1807
193.3,2.1784
193.4,2.2491
193.5,2.3892
193.6,2.5903
193.7,2.8311
193.8,3.0844
193.9,3.3173
194,3.4982
194.1,3.6028
194.2,3.6124
194.3,3.5274
194.6,2.951
194.8,2.7994
194.9,2.973
195,3.3715
195.2,4.9103
195.3,6.0055
195.4,7.2432
195.5,8.5323
195.6,9.7706
195.7,10.8507
195.8,11.6732

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5784
191.8095,192.0094,-57.8062
192.0094,192.2092,-57.2136
192.2092,192.4091,-56.8662
192.4091,192.6089,-56.7877
192.6089,192.8088,-56.9387
192.8088,193.0086,-57.2084
193.0086,193.2084,-57.4361
193.2084,193.4083,-57.4633
193.4083,193.6081,-57.209
193.6081,193.808,-56.7294
193.808,194.0078,-56.2165
194.0078,194.2077,-55.9148
194.2077,194.4075,-55.9752
194.4075,194.6073,-56.322
194.6073,194.8072,-56.6176
194.8072,195.007,-56.3824
195.007,195.2069,-55.2517
195.2069,195.4067,-53.1852
195.4067,195.6066,-50.6094
195.6066,195.8064,-48.2801
195.8064,196.0062,-46.9857
196.0062,196.2061,-47.2137

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9885
191.7,1.3968
191.8,1.783
192,2.4467
192.1,2.7045
192.2,2.9015
192.4,3.0962
192.5,3.0941
192.6,3.0325
192.7,2.9238
192.8,2.7827
192.9,2.6292
193.1,2.3695
193.2,2.3048
193.3,2.3045
193.4,2.3774
193.5,2.5198
193.6,2.7233
193.7,2.9666
193.9,3.4577
194,3.6409
194.1,3.7475
194.2,3.7589
194.3,3.6757
194.4,3.512
194.5,3.3064
194.6,3.1052
194.7,2.9684
194.8,2.9605
194.9,3.1389
195,3.5435
195.1,4.196
195.2,5.0973
195.3,6.2012
195.4,7.4479
195.5,8.7458
195.6,9.9922
195.7,11.0793
195.8,11.907

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3833
191.8095,192.0094,-57.597
192.0094,192.2092,-56.9917
192.2092,192.4091,-56.6332
192.4091,192.6089,-56.5454
192.6089,192.8088,-56.6885
192.8088,193.0086,-56.9513
193.0086,193.2084,-57.1716
193.2084,193.4083,-57.1905
193.4083,193.6081,-56.9266
193.6081,193.808,-56.4366
193.808,194.0078,-55.9135
194.0078,194.2077,-55.6028
194.2077,194.4075,-55.6556
194.4075,194.6073,-55.9943
194.6073,194.8072,-56.2779
194.8072,195.007,-56.0238
195.007,195.2069,-54.8656
195.2069,195.4067,-52.764
195.4067,195.6066,-50.1508
195.6066,195.8064,-47.7901
195.8064,196.0062,-46.4785
196.0062,196.2061,-46.7084

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1727
191.7,1.5885
191.8,1.982
191.9,2.3425
192.1,2.9236
192.2,3.1265
192.5,3.3338
192.6,3.2762
192.7,3.1712
192.8,3.0336
193,2.7421
193.1,2.6309
193.2,2.57
193.3,2.574
193.4,2.6515
193.5,2.7989
193.8,3.5175
193.9,3.7579
194,3.9458
194.1,4.0568
194.2,4.0721
194.4,3.8326
194.5,3.6312
194.6,3.435
194.7,3.3046
194.9,3.4937
195.2,5.4969
195.4,7.8854
195.5,9.2022
195.6,10.466
195.7,11.5678

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3553
191.8095,192.0094,-57.567
192.0094,192.2092,-56.9599
192.2092,192.4091,-56.5997
192.4091,192.6089,-56.5106
192.6089,192.8088,-56.6526
192.8088,193.0086,-56.9143
193.0086,193.2084,-57.1336
193.2084,193.4083,-57.1513
193.4083,193.6081,-56.8861
193.6081,193.808,-56.3945
193.808,194.0078,-55.87
194.0078,194.2077,-55.558
194.2077,194.4075,-55.6097
194.4075,194.6073,-55.9472
194.6073,194.8072,-56.2292
194.8072,195.007,-55.9723
195.007,195.2069,-54.8101
195.2069,195.4067,-52.7035
195.4067,195.6066,-50.085
195.6066,195.8064,-47.7197
195.8064,196.0062,-46.4056
196.0062,196.2061,-46.6358

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1992
191.7,1.6161
191.8,2.0106
191.9,2.3721
192,2.69
192.1,2.9551
192.2,3.1588
192.3,3.2963
192.4,3.3653
192.5,3.3683
192.6,3.3112
192.7,3.2068
192.9,2.92
193,2.7791
193.1,2.6684
193.3,2.6127
193.4,2.6909
193.6,3.0485
193.7,3.298
193.8,3.5599
193.9,3.801
194.1,4.1012
194.2,4.1171
194.3,4.0381
194.4,3.8786
194.5,3.6778
194.7,3.3528
194.8,3.3543
194.9,3.5446
195,3.9637
195.1,4.6334
195.2,5.5543
195.3,6.6796
195.4,7.9483
195.7,11.638
195.8,12.4784



//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4631
