//DATASET,
//created,Sat, 20 Feb 2021 20:56:48 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.3397
191.8095,192.0094,-56.4783
192.0094,192.2092,-55.8043
192.2092,192.4091,-55.3863
192.4091,192.6089,-55.2488
192.6089,192.8088,-55.3503
192.8088,193.0086,-55.5755
193.0086,193.2084,-55.757
193.2084,193.4083,-55.7316
193.4083,193.6081,-55.4163
193.6081,193.808,-54.8703
193.808,194.0078,-54.2925
194.0078,194.2077,-53.9339
194.2077,194.4075,-53.9456
194.4075,194.6073,-54.2408
194.6073,194.8072,-54.4614
194.8072,195.007,-54.106
195.007,195.2069,-52.7998
195.2069,195.4067,-50.509
195.4067,195.6066,-47.6948
195.6066,195.8064,-45.1654
195.8064,196.0062,-43.7611
196.0062,196.2061,-44.0014

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,2.1601
191.8,3.0484
192.3,4.4978
192.7,4.4971
194.9,5.3946
195.2,7.6386

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3531
191.8095,192.0094,-57.5647
192.0094,192.2092,-56.9574
192.2092,192.4091,-56.5971
192.4091,192.6089,-56.5079
192.6089,192.8088,-56.6498
192.8088,193.0086,-56.9115
193.0086,193.2084,-57.1307
193.2084,193.4083,-57.1483
193.4083,193.6081,-56.883
193.6081,193.808,-56.3913
193.808,194.0078,-55.8666
194.0078,194.2077,-55.5546
194.2077,194.4075,-55.6061
194.4075,194.6073,-55.9435
194.6073,194.8072,-56.2254
194.8072,195.007,-55.9683
195.007,195.2069,-54.8058
195.2069,195.4067,-52.6988
195.4067,195.6066,-50.0799
195.6066,195.8064,-47.7143
195.8064,196.0062,-46.4
196.0062,196.2061,-46.6302

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2013
191.7,1.6182
192.3,3.2989
192.5,3.3709
192.6,3.3139
192.7,3.2095
192.9,2.9228
193,2.782
193.1,2.6713
193.2,2.6111
193.4,2.6939
193.5,2.8421
193.7,3.3012
193.8,3.5632
194.2,4.1206
194.4,3.8822
194.5,3.6814
194.6,3.486
194.8,3.3581
194.9,3.5486
195,3.9678
195.1,4.6377
195.2,5.5588
195.3,6.6842
195.5,9.2729
195.8,12.484

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8108
191.8095,192.0094,-58.0552
192.0094,192.2092,-57.4779
192.2092,192.4091,-57.1437
192.4091,192.6089,-57.0763
192.6089,192.8088,-57.2365
192.8088,193.0086,-57.5147
193.0086,193.2084,-57.7511
193.2084,193.4083,-57.7882
193.4083,193.6081,-57.5454
193.6081,193.808,-57.0781
193.808,194.0078,-56.5773
194.0078,194.2077,-56.2862
194.2077,194.4075,-56.3559
194.4075,194.6073,-56.7124
194.6073,194.8072,-57.0221
194.8072,195.007,-56.8094
195.007,195.2069,-55.7115
195.2069,195.4067,-53.6868
195.4067,195.6066,-51.1554
195.6066,195.8064,-48.8634
195.8064,196.0062,-47.5895
196.0062,196.2061,-47.8153

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,2.4437
192.6,2.7424
192.7,2.6293
193,2.1776
193.1,2.0585
194.1,3.3795
194.4,3.1304
194.6,2.7128
195.2,4.6216
195.8,11.3122

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5149
191.8095,192.0094,-57.7381
192.0094,192.2092,-57.1414
192.2092,192.4091,-56.7904
192.4091,192.6089,-56.7088
192.6089,192.8088,-56.8573
192.8088,193.0086,-57.1247
193.0086,193.2084,-57.35
193.2084,193.4083,-57.3745
193.4083,193.6081,-57.1171
193.6081,193.808,-56.6341
193.808,194.0078,-56.1179
194.0078,194.2077,-55.8133
194.2077,194.4075,-55.8712
194.4075,194.6073,-56.2154
194.6073,194.8072,-56.507
