//DATASET,
//created,Wed, 17 Feb 2021 00:17:55 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-56.0209
191.8095,192.0094,-55.0639
192.0094,192.2092,-54.3029
192.2092,192.4091,-53.8095
192.4091,192.6089,-53.6092
192.6089,192.8088,-53.6583
192.8088,193.0086,-53.8362
193.0086,193.2084,-53.9691
193.2084,193.4083,-53.8877
193.4083,193.6081,-53.5072
193.6081,193.808,-52.8901
193.808,194.0078,-52.2426
194.0078,194.2077,-51.8232
194.2077,194.4075,-51.7831
194.4075,194.6073,-52.0239
194.6073,194.8072,-52.1652
194.8072,195.007,-51.6817
195.007,195.2069,-50.187
195.2069,195.4067,-47.6548
195.4067,195.6066,-44.5845
195.6066,195.8064,-41.8404
195.8064,196.0062,-40.3184
196.0062,196.2061,-40.5719

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,3.4115
191.7,3.9177
191.8,4.3999
193,5.8735
193.3,5.8483

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.02
191.8095,192.0094,-57.2075
192.0094,192.2092,-56.5783
192.2092,192.4091,-56.1991
192.4091,192.6089,-56.094
192.6089,192.8088,-56.2226
192.8088,193.0086,-56.4722
193.0086,193.2084,-56.6791
193.2084,193.4083,-56.6825
193.4083,193.6081,-56.4007
193.6081,193.808,-55.8912
193.808,194.0078,-55.3491
194.0078,194.2077,-55.0218
194.2077,194.4075,-55.0603
194.4075,194.6073,-55.3838
194.6073,194.8072,-55.6454
194.8072,195.007,-55.3561
195.007,195.2069,-54.1464
195.2069,195.4067,-51.9791
195.4067,195.6066,-49.2962
195.6066,195.8064,-46.8769
195.8064,196.0062,-45.5331
196.0062,196.2061,-45.7666

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.353
191.9,2.7266
192.2,3.5459
192.3,3.6927
192.4,3.7701
192.7,3.6325
192.8,3.5014
192.9,3.3575
193.1,3.118
193.2,3.0645
193.3,3.0763
193.5,3.3192
193.8,4.0675
194.1,4.6333
194.2,4.6559
194.3,4.5833
194.4,4.4302
194.7,3.9311
194.8,3.9467
194.9,4.1549
195,4.5959
195.1,5.2914
195.2,6.2419
195.7,12.4785

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.0067
191.8095,192.0094,-57.1933
192.0094,192.2092,-56.5633
192.2092,192.4091,-56.1833
192.4091,192.6089,-56.0776
192.6089,192.8088,-56.2057
192.8088,193.0086,-56.4548
193.0086,193.2084,-56.6611
193.2084,193.4083,-56.664
193.4083,193.6081,-56.3816
193.6081,193.808,-55.8714
