//DATASET,
//created,Sun, 21 Feb 2021 13:32:27 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5378
191.8095,192.0094,-57.7626
192.0094,192.2092,-57.1674
192.2092,192.4091,-56.8177
192.4091,192.6089,-56.7372
192.6089,192.8088,-56.8865
192.8088,193.0086,-57.1548
193.0086,193.2084,-57.381
193.2084,193.4083,-57.4065
193.4083,193.6081,-57.1502
193.6081,193.808,-56.6684
193.808,194.0078,-56.1533
194.0078,194.2077,-55.8498
194.2077,194.4075,-55.9086
194.4075,194.6073,-56.2537
194.6073,194.8072,-56.5468
194.8072,195.007,-56.3076
195.007,195.2069,-55.1712
195.2069,195.4067,-53.0975
195.4067,195.6066,-50.5139
195.6066,195.8064,-48.178
195.8064,196.0062,-46.88
196.0062,196.2061,-47.1085

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0269
191.8,1.8245
191.9,2.1794
192,2.491
192.1,2.7501
192.2,2.9484
192.3,3.0808
192.4,3.1453
192.6,3.0833
192.7,2.9753
192.9,2.6821
193,2.538
193.1,2.424
193.2,2.36
193.3,2.3606
193.4,2.4345
193.5,2.5779
193.6,2.7826
193.7,3.027
193.8,3.2839
193.9,3.5203
194,3.7044
194.1,3.812
194.2,3.8241
194.3,3.7417
194.4,3.5788
194.6,3.1739
194.7,3.0385
195,3.62
195.1,4.2756
195.2,5.1805
195.3,6.2883
195.4,7.539
195.6,10.0909
195.7,11.181
195.8,12.0111

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5168
191.8095,192.0094,-57.7401
192.0094,192.2092,-57.1436
192.2092,192.4091,-56.7927
192.4091,192.6089,-56.7112
192.6089,192.8088,-56.8597
192.8088,193.0086,-57.1272
193.0086,193.2084,-57.3526
193.2084,193.4083,-57.3772
193.4083,193.6081,-57.1199
193.6081,193.808,-56.637
193.808,194.0078,-56.1208
194.0078,194.2077,-55.8163
194.2077,194.4075,-55.8743
194.4075,194.6073,-56.2186
194.6073,194.8072,-56.5104
194.8072,195.007,-56.2692
195.007,195.2069,-55.1298
195.2069,195.4067,-53.0523
195.4067,195.6066,-50.4647
195.6066,195.8064,-48.1255
195.8064,196.0062,-46.8256
196.0062,196.2061,-47.0543

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0466
191.7,1.4573
191.8,1.8458
191.9,2.2015
192,2.5139
192.1,2.7736
192.2,2.9725
192.3,3.1055
192.4,3.1705
192.5,3.1698
192.6,3.1094
192.7,3.0019
192.8,2.8619
192.9,2.7094
193,2.5657
193.1,2.452
193.2,2.3885
193.3,2.3895
193.5,2.6079
193.6,2.8131
193.8,3.3156
193.9,3.5525
194,3.7371
194.1,3.8451
194.2,3.8577
194.3,3.7757
194.4,3.6132
194.5,3.4089
194.6,3.2093
194.7,3.0745
194.8,3.0692
194.9,3.2509
195,3.6594
195.1,4.3167
195.2,5.2234
195.4,7.586
195.5,8.8899
195.6,10.1418
195.7,11.2335
195.8,12.0647

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4874
191.8095,192.0094,-57.7086
192.0094,192.2092,-57.1101
192.2092,192.4091,-56.7575
192.4091,192.6089,-56.6746
192.6089,192.8088,-56.8219
192.8088,193.0086,-57.0884
193.0086,193.2084,-57.3127
193.2084,193.4083,-57.336
193.4083,193.6081,-57.0773
193.6081,193.808,-56.5928
193.808,194.0078,-56.0751
194.0078,194.2077,-55.7692
194.2077,194.4075,-55.8261
194.4075,194.6073,-56.1691
194.6073,194.8072,-56.4591
194.8072,195.007,-56.2151
