//DATASET,
//created,Wed, 17 Feb 2021 00:29:43 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7852
191.8095,192.0094,-58.0277
192.0094,192.2092,-57.4487
192.2092,192.4091,-57.1131
192.4091,192.6089,-57.0444
192.6089,192.8088,-57.2036
192.8088,193.0086,-57.4809
193.0086,193.2084,-57.7163
193.2084,193.4083,-57.7523
193.4083,193.6081,-57.5082
193.6081,193.808,-57.0396
193.808,194.0078,-56.5375
194.0078,194.2077,-56.2452
194.2077,194.4075,-56.3138
194.4075,194.6073,-56.6693
194.6073,194.8072,-56.9775
194.8072,195.007,-56.7623
195.007,195.2069,-55.6607
195.2069,195.4067,-53.6315
195.4067,195.6066,-51.0952
195.6066,195.8064,-48.799
195.8064,196.0062,-47.5229
196.0062,196.2061,-47.7489

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.5723
191.9,1.9183
192.2,2.6633
192.4,2.8471
192.8,2.5171
193.1,2.0928
193.2,2.0239
193.3,2.0191
193.5,2.2242
193.6,2.4222
193.8,2.91
194.2,3.4273
194.4,3.1725
194.5,2.9626
194.7,2.6125
194.8,2.5959
194.9,2.7633
195,3.1544
195.1,3.791
195.2,4.6741
195.3,5.7583
195.4,6.9846
195.5,8.2626
195.7,10.562
195.8,11.3779

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5389
191.8095,192.0094,-57.7637
192.0094,192.2092,-57.1686
192.2092,192.4091,-56.819
192.4091,192.6089,-56.7386
192.6089,192.8088,-56.8879
192.8088,193.0086,-57.1563
193.0086,193.2084,-57.3824
193.2084,193.4083,-57.408
193.4083,193.6081,-57.1517
193.6081,193.808,-56.67
193.808,194.0078,-56.155
194.0078,194.2077,-55.8515
194.2077,194.4075,-55.9104
194.4075,194.6073,-56.2555
194.6073,194.8072,-56.5487
194.8072,195.007,-56.3096
195.007,195.2069,-55.1733
195.2069,195.4067,-53.0998
195.4067,195.6066,-50.5164
195.6066,195.8064,-48.1807
195.8064,196.0062,-46.8828
196.0062,196.2061,-47.1113

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0258
191.7,1.4357
191.8,1.8234
191.9,2.1783
192,2.4898
192.1,2.7489
192.2,2.9471
192.3,3.0796
192.5,3.1427
192.7,2.974
192.8,2.8336
192.9,2.6807
193,2.5366
193.1,2.4225
193.2,2.3586
193.3,2.3591
193.4,2.433
193.5,2.5764
193.6,2.781
193.7,3.0254
193.8,3.2823
193.9,3.5186
194,3.7027
194.1,3.8103
194.2,3.8224
194.3,3.74
194.4,3.577
194.5,3.3723
194.6,3.1721
194.7,3.0366
194.8,3.0303
194.9,3.2109
195,3.618
195.2,5.1783
195.3,6.286
195.4,7.5366
195.5,8.8384
195.6,10.0883
195.7,11.1783
195.8,12.0083

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4956
191.8095,192.0094,-57.7174
192.0094,192.2092,-57.1194
192.2092,192.4091,-56.7673
192.4091,192.6089,-56.6848
192.6089,192.8088,-56.8324
192.8088,193.0086,-57.0992
193.0086,193.2084,-57.3238
193.2084,193.4083,-57.3475
193.4083,193.6081,-57.0891
193.6081,193.808,-56.6051
193.808,194.0078,-56.0878
194.0078,194.2077,-55.7823
194.2077,194.4075,-55.8395
194.4075,194.6073,-56.1829
194.6073,194.8072,-56.4734
194.8072,195.007,-56.2301
195.007,195.2069,-55.0877
195.2069,195.4067,-53.0064
195.4067,195.6066,-50.4147
195.6066,195.8064,-48.0721
195.8064,196.0062,-46.7704
196.0062,196.2061,-46.9992

