//DATASET,
//created,Fri, 19 Feb 2021 14:14:45 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7596
191.8095,192.0094,-58.0003
192.0094,192.2092,-57.4196
192.2092,192.4091,-57.0825
192.4091,192.6089,-57.0127
192.6089,192.8088,-57.1708
192.8088,193.0086,-57.4472
193.0086,193.2084,-57.6816
193.2084,193.4083,-57.7166
193.4083,193.6081,-57.4712
193.6081,193.808,-57.0012
193.808,194.0078,-56.4977
194.0078,194.2077,-56.2043
194.2077,194.4075,-56.2719
194.4075,194.6073,-56.6264
194.6073,194.8072,-56.9329
194.8072,195.007,-56.7153
195.007,195.2069,-55.6101
195.2069,195.4067,-53.5762
195.4067,195.6066,-51.0351
195.6066,195.8064,-48.7348
195.8064,196.0062,-47.4564
196.0062,196.2061,-47.6827

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8175
191.7,1.2189
192.4,2.8779
193,2.2452
193.1,2.127
193.3,2.0544
193.6,2.4595
194.1,3.4606
194.3,3.3817
194.4,3.2145
195.1,3.8411
195.5,8.3224
195.8,11.4433

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2827
191.8095,192.0094,-57.4892
192.0094,192.2092,-56.8772
192.2092,192.4091,-56.513
192.4091,192.6089,-56.4204
192.6089,192.8088,-56.5595
192.8088,193.0086,-56.8186
193.0086,193.2084,-57.0352
193.2084,193.4083,-57.0498
193.4083,193.6081,-56.781
193.6081,193.808,-56.2855
193.808,194.0078,-55.7572
194.0078,194.2077,-55.4419
194.2077,194.4075,-55.4907
194.4075,194.6073,-55.8252
194.6073,194.8072,-56.1028
194.8072,195.007,-55.8388
195.007,195.2069,-54.6664
195.2069,195.4067,-52.5466
195.4067,195.6066,-49.9142
195.6066,195.8064,-47.5373
195.8064,196.0062,-46.2167
196.0062,196.2061,-46.4476

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.4,3.453
192.7,3.2989
193.2,2.7069
193.4,2.793
