//DATASET,
//created,Wed, 24 Feb 2021 21:47:26 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.9613
191.8095,192.0094,-60.3591
192.0094,192.2092,-59.922
192.2092,192.4091,-59.71
192.4091,192.6089,-59.7452
192.6089,192.8088,-59.9924
192.8088,193.0086,-60.35
193.0086,193.2084,-60.6682
193.2084,193.4083,-60.7979
193.4083,193.6081,-60.6607
193.6081,193.808,-60.3071
193.808,194.0078,-59.9172
194.0078,194.2077,-59.7242
194.2077,194.4075,-59.8795
194.4075,194.6073,-60.3286
194.6073,194.8072,-60.772
194.8072,195.007,-60.7688
195.007,195.2069,-59.9706
195.2069,195.4067,-58.3252
195.4067,195.6066,-56.1968
195.6066,195.8064,-54.2447
195.8064,196.0062,-53.158
196.0062,196.2061,-53.363

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,-0.6354
191.9,-0.3676
192,-0.1391
192.1,0.0417
192.2,0.1673
192.4,0.2369
192.8,-0.2664
193.1,-0.8065
193.2,-0.9186
193.3,-0.9706
193.4,-0.9541
193.5,-0.8722
193.6,-0.7323
193.7,-0.5542
193.9,-0.19
194.1,-0.0108
194.2,-0.0474
194.7,-1.1162
194.8,-1.2239
194.9,-1.1721
195,-0.9221
195.2,0.2402
195.3,1.1179
195.4,2.1306
195.5,3.1994
195.6,4.2347
195.7,5.1422
195.9,6.2481

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8415
191.8095,192.0094,-60.2308
192.0094,192.2092,-59.786
192.2092,192.4091,-59.5671
192.4091,192.6089,-59.5966
192.6089,192.8088,-59.8389
192.8088,193.0086,-60.1919
193.0086,193.2084,-60.5055
193.2084,193.4083,-60.63
193.4083,193.6081,-60.4869
193.6081,193.808,-60.127
193.808,194.0078,-59.731
194.0078,194.2077,-59.5325
194.2077,194.4075,-59.683
194.4075,194.6073,-60.1268
194.6073,194.8072,-60.5625
194.8072,195.007,-60.5476
195.007,195.2069,-59.7328
195.2069,195.4067,-58.0667
195.4067,195.6066,-55.9164
195.6066,195.8064,-53.9457
195.8064,196.0062,-52.8487
196.0062,196.2061,-53.0549

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.1388
191.7,-0.8164
191.8,-0.5144
191.9,-0.2424
192,-0.0098
192.1,0.1749
192.2,0.304
192.3,0.3731
192.4,0.3799
192.5,0.3266
192.6,0.2186
192.7,0.0672
192.8,-0.1139
192.9,-0.3066
193,-0.4911
