//DATASET,
//created,Wed, 24 Feb 2021 21:14:22 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8702
191.8095,192.0094,-60.2616
192.0094,192.2092,-59.8186
192.2092,192.4091,-59.6014
192.4091,192.6089,-59.6323
192.6089,192.8088,-59.8758
192.8088,193.0086,-60.2299
193.0086,193.2084,-60.5446
193.2084,193.4083,-60.6703
193.4083,193.6081,-60.5286
193.6081,193.808,-60.1703
193.808,194.0078,-59.7757
194.0078,194.2077,-59.5786
194.2077,194.4075,-59.7302
194.4075,194.6073,-60.1752
194.6073,194.8072,-60.6128
194.8072,195.007,-60.6007
195.007,195.2069,-59.7899
195.2069,195.4067,-58.1288
195.4067,195.6066,-55.9838
195.6066,195.8064,-54.0175
195.8064,196.0062,-52.923
196.0062,196.2061,-53.1289

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,-0.5435
191.9,-0.2725
192.1,0.1429
192.2,0.2711
192.3,0.3394
192.4,0.3455
192.5,0.2916
192.6,0.183
192.7,0.0311
193.2,-0.7961
193.5,-0.7433
193.6,-0.601
193.7,-0.4205
194.1,0.132
194.2,0.0972
194.4,-0.2363
194.5,-0.4901
194.6,-0.7498
194.7,-0.961
195.2,0.4248
195.5,3.4101
195.6,4.4535
195.9,6.482

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.1833
191.8095,192.0094,-60.5968
192.0094,192.2092,-60.1742
192.2092,192.4091,-59.9747
192.4091,192.6089,-60.0206
192.6089,192.8088,-60.2769
192.8088,193.0086,-60.6428
193.0086,193.2084,-60.9697
193.2084,193.4083,-61.1091
193.4083,193.6081,-60.9828
193.6081,193.808,-60.6409
193.808,194.0078,-60.2623
194.0078,194.2077,-60.0793
194.2077,194.4075,-60.2436
194.4075,194.6073,-60.7026
194.6073,194.8072,-61.1603
194.8072,195.007,-61.179
195.007,195.2069,-60.4113
195.2069,195.4067,-58.8041
195.4067,195.6066,-56.7163
195.6066,195.8064,-54.7985
195.8064,196.0062,-53.7307
196.0062,196.2061,-53.9337

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,-0.5995
192.3,-0.0262
192.9,-0.7473
193.5,-1.1862
193.6,-1.0523
194.4,-0.7451
194.5,-1.0055
195.5,2.6859
195.8,5.2722

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.1477
191.8095,192.0094,-60.5588
192.0094,192.2092,-60.1338
192.2092,192.4091,-59.9323
192.4091,192.6089,-59.9766
192.6089,192.8088,-60.2314
192.8088,193.0086,-60.596
193.0086,193.2084,-60.9214
193.2084,193.4083,-61.0593
193.4083,193.6081,-60.9313
193.6081,193.808,-60.5875
193.808,194.0078,-60.2071
194.0078,194.2077,-60.0225
194.2077,194.4075,-60.1854
194.4075,194.6073,-60.6427
194.6073,194.8072,-61.0981
194.8072,195.007,-61.1133
195.007,195.2069,-60.3407
195.2069,195.4067,-58.7275
195.4067,195.6066,-56.6332
195.6066,195.8064,-54.7099
195.8064,196.0062,-53.6391
196.0062,196.2061,-53.8424

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-1.1141
192.7,-0.317
193.2,-1.1693
193.6,-1.0011
193.7,-0.8281
193.8,-0.642
193.9,-0.4737
194,-0.3528
194.2,-0.3434
194.4,-0.6874
194.5,-0.947
194.6,-1.2138
195.2,-0.1375
195.3,0.7226
195.6,3.7869
195.7,4.6804
195.8,5.3621

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.1842
191.8095,192.0094,-60.5978
192.0094,192.2092,-60.1753
192.2092,192.4091,-59.9758
192.4091,192.6089,-60.0218
192.6089,192.8088,-60.2781
192.8088,193.0086,-60.6441
193.0086,193.2084,-60.971
193.2084,193.4083,-61.1104
193.4083,193.6081,-60.9842
193.6081,193.808,-60.6423
193.808,194.0078,-60.2638
194.0078,194.2077,-60.0809
194.2077,194.4075,-60.2452
194.4075,194.6073,-60.7042
194.6073,194.8072,-61.1619
194.8072,195.007,-61.1807
195.007,195.2069,-60.4132
195.2069,195.4067,-58.8062
195.4067,195.6066,-56.7185
195.6066,195.8064,-54.8008
195.8064,196.0062,-53.7332
196.0062,196.2061,-53.9361

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-1.1496
191.8,-0.8602
191.9,-0.6005
192.8,-0.55
193.1,-1.1018
194.2,-0.4013
194.5,-1.007
194.7,-1.496
195.1,-0.8846
195.7,4.5902
195.8,5.2698

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.0583
191.8095,192.0094,-60.4629
192.0094,192.2092,-60.0322
192.2092,192.4091,-59.8256
192.4091,192.6089,-59.8655
192.6089,192.8088,-60.1167
192.8088,193.0086,-60.4779
193.0086,193.2084,-60.7999
193.2084,193.4083,-60.9338
193.4083,193.6081,-60.8014
193.6081,193.808,-60.4529
193.808,194.0078,-60.068
194.0078,194.2077,-59.8793
194.2077,194.4075,-60.0386
194.4075,194.6073,-60.4919
194.6073,194.8072,-60.9416
194.8072,195.007,-60.9479
195.007,195.2069,-60.1631
195.2069,195.4067,-58.5344
195.4067,195.6066,-56.4238
195.6066,195.8064,-54.4866
195.8064,196.0062,-53.4083
196.0062,196.2061,-53.6124

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,-0.066
192.2,0.0566
192.7,-0.2048
193.1,-0.935
193.9,-0.3375
194.4,-0.542
194.7,-1.2815
194.8,-1.3933
194.9,-1.3466
195.1,-0.6405
195.2,0.0437
195.3,0.9122
195.4,1.9155
195.6,4.0017
195.8,5.5887



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8269
191.8095,192.0094,-60.2152
192.0094,192.2092,-59.7694
192.2092,192.4091,-59.5497
192.4091,192.6089,-59.5785
192.6089,192.8088,-59.8202
192.8088,193.0086,-60.1727
193.0086,193.2084,-60.4857
193.2084,193.4083,-60.6096
193.4083,193.6081,-60.4658
193.6081,193.808,-60.1052
193.808,194.0078,-59.7084
194.0078,194.2077,-59.5092
194.2077,194.4075,-59.6591
194.4075,194.6073,-60.1022
194.6073,194.8072,-60.5371
194.8072,195.007,-60.5207
195.007,195.2069,-59.7039
195.2069,195.4067,-58.0353
195.4067,195.6066,-55.8823
195.6066,195.8064,-53.9093
195.8064,196.0062,-52.8111
196.0062,196.2061,-53.0174

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-0.8022
191.9,-0.2272
192.4,0.3973
193.2,-0.7377
193.5,-0.6819
193.6,-0.5385
194,0.1432
194.1,0.2
194.4,-0.1658
194.8,-0.9892
195.2,0.5127
195.9,6.5934



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8692
191.8095,192.0094,-60.2605
192.0094,192.2092,-59.8175
192.2092,192.4091,-59.6002
192.4091,192.6089,-59.631
192.6089,192.8088,-59.8745
192.8088,193.0086,-60.2285
193.0086,193.2084,-60.5432
193.2084,193.4083,-60.6689
193.4083,193.6081,-60.5272
193.6081,193.808,-60.1688
193.808,194.0078,-59.7742
194.0078,194.2077,-59.5769
194.2077,194.4075,-59.7285
194.4075,194.6073,-60.1735
194.6073,194.8072,-60.611
194.8072,195.007,-60.5988
195.007,195.2069,-59.7879
195.2069,195.4067,-58.1266
195.4067,195.6066,-55.9814
195.6066,195.8064,-54.015
195.8064,196.0062,-52.9204
196.0062,196.2061,-53.1263

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.1647
191.7,-0.8434
191.8,-0.5424
191.9,-0.2714
192,-0.0398
192.1,0.144
192.2,0.2723
192.3,0.3406
192.4,0.3468
192.5,0.2928
192.6,0.1842
192.7,0.0324
192.8,-0.1493
193,-0.5274
193.1,-0.6844
193.2,-0.7947
193.3,-0.8447
193.4,-0.8261
193.5,-0.7418
193.6,-0.5996
193.7,-0.4189
193.8,-0.2253
193.9,-0.0498
194,0.0778
194.2,0.0989
194.3,-0.0275
194.4,-0.2346
194.5,-0.4884
194.6,-0.7481
194.7,-0.9593
194.8,-1.0632
194.9,-1.0065
195,-0.7506
195.1,-0.2738
195.2,0.4269
195.3,1.3132
195.4,2.3349
195.5,3.4125
195.6,4.4559
195.7,5.3704
195.8,6.0678
195.9,6.4846



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.8998
191.8095,192.0094,-59.2221
192.0094,192.2092,-58.716
192.2092,192.4091,-58.4437
192.4091,192.6089,-58.4282
192.6089,192.8088,-58.6323
192.8088,193.0086,-58.9503
193.0086,193.2084,-59.2277
193.2084,193.4083,-59.3115
193.4083,193.6081,-59.1222
193.6081,193.808,-58.7127
193.808,194.0078,-58.2683
194.0078,194.2077,-58.027
194.2077,194.4075,-58.1398
194.4075,194.6073,-58.5426
194.6073,194.8072,-58.9192
194.8072,195.007,-58.8123
195.007,195.2069,-57.8669
195.2069,195.4067,-56.0362
195.4067,195.6066,-53.7109
195.6066,195.8064,-51.5924
195.8064,196.0062,-50.414
196.0062,196.2061,-50.6292

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-0.2561
192.8,1.0879
192.9,0.9115
193.2,0.5132
193.4,0.5257
194,1.5813
194.2,1.6433
195,1.0614



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.965
191.8095,192.0094,-59.2919
192.0094,192.2092,-58.7901
192.2092,192.4091,-58.5215
192.4091,192.6089,-58.5091
192.6089,192.8088,-58.7157
192.8088,193.0086,-59.0362
193.0086,193.2084,-59.3161
193.2084,193.4083,-59.4027
193.4083,193.6081,-59.2165
193.6081,193.808,-58.8105
193.808,194.0078,-58.3695
194.0078,194.2077,-58.1311
194.2077,194.4075,-58.2465
194.4075,194.6073,-58.6521
194.6073,194.8072,-59.0328
194.8072,195.007,-58.9322
195.007,195.2069,-57.9959
195.2069,195.4067,-56.1766
195.4067,195.6066,-53.8636
195.6066,195.8064,-51.7554
195.8064,196.0062,-50.5827
196.0062,196.2061,-50.7972

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,0.3728
192.1,1.1517
192.4,1.4288
194.8,0.5204



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.157
191.8095,192.0094,-60.5687
192.0094,192.2092,-60.1443
192.2092,192.4091,-59.9434
192.4091,192.6089,-59.988
192.6089,192.8088,-60.2432
192.8088,193.0086,-60.6081
193.0086,193.2084,-60.934
193.2084,193.4083,-61.0722
193.4083,193.6081,-60.9447
193.6081,193.808,-60.6014
193.808,194.0078,-60.2214
194.0078,194.2077,-60.0373
194.2077,194.4075,-60.2005
194.4075,194.6073,-60.6583
194.6073,194.8072,-61.1143
194.8072,195.007,-61.1304
195.007,195.2069,-60.3591
195.2069,195.4067,-58.7474
195.4067,195.6066,-56.6548
195.6066,195.8064,-54.7329
195.8064,196.0062,-53.6629
196.0062,196.2061,-53.8661

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-1.1231
192,-0.3502
192.2,-0.0559
192.3,0.0045
192.5,-0.0569
192.7,-0.3286
192.8,-0.5153
192.9,-0.7134
193.2,-1.1817
193.3,-1.2379
193.7,-0.8416
193.8,-0.6558
194.1,-0.3176
194.3,-0.4899
194.4,-0.7024
195.2,-0.1562
195.5,2.7466
195.6,3.7647
195.7,4.6576
195.8,5.3387



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-61.3258
191.8095,192.0094,-60.7495
192.0094,192.2092,-60.3361
192.2092,192.4091,-60.1447
192.4091,192.6089,-60.1975
