//DATASET,
//created,Wed, 24 Feb 2021 21:34:10 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8415
191.8095,192.0094,-60.2308
192.0094,192.2092,-59.786
192.2092,192.4091,-59.5671
192.4091,192.6089,-59.5966
192.6089,192.8088,-59.8389
192.8088,193.0086,-60.1919
193.0086,193.2084,-60.5055
193.2084,193.4083,-60.63
193.4083,193.6081,-60.4869
193.6081,193.808,-60.127
193.808,194.0078,-59.731
194.0078,194.2077,-59.5325
194.2077,194.4075,-59.683
194.4075,194.6073,-60.1268
194.6073,194.8072,-60.5625
194.8072,195.007,-60.5476
195.007,195.2069,-59.7328
195.2069,195.4067,-58.0667
195.4067,195.6066,-55.9164
195.6066,195.8064,-53.9457
195.8064,196.0062,-52.8487
196.0062,196.2061,-53.0549

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.1388
191.7,-0.8164
191.8,-0.5144
191.9,-0.2424
192,-0.0098
192.1,0.1749
192.2,0.304
192.3,0.3731
192.4,0.3799
192.5,0.3266
192.6,0.2186
192.7,0.0672
192.8,-0.1139
192.9,-0.3066
193,-0.4911
193.1,-0.6476
193.2,-0.7573
193.3,-0.8068
193.4,-0.7875
193.5,-0.7025
193.6,-0.5595
193.7,-0.3781
193.8,-0.1838
193.9,-0.0075
194,0.1207
194.1,0.1772
194.2,0.143
194.3,0.0171
194.4,-0.1894
194.5,-0.4427
194.6,-0.7016
194.7,-0.9119
194.8,-1.0146
194.9,-0.9565
195,-0.6988
195.1,-0.2199
195.2,0.4832
195.3,1.3722
195.4,2.3966
195.5,3.4768
195.6,4.5227
195.7,5.4392
195.8,6.1382
195.9,6.5559

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8825
191.8095,192.0094,-60.2747
192.0094,192.2092,-59.8325
192.2092,192.4091,-59.616
192.4091,192.6089,-59.6475
192.6089,192.8088,-59.8914
192.8088,193.0086,-60.246
193.0086,193.2084,-60.5612
193.2084,193.4083,-60.6874
193.4083,193.6081,-60.5464
193.6081,193.808,-60.1887
193.808,194.0078,-59.7947
194.0078,194.2077,-59.5981
194.2077,194.4075,-59.7502
194.4075,194.6073,-60.1958
194.6073,194.8072,-60.6342
194.8072,195.007,-60.6233
195.007,195.2069,-59.8142
195.2069,195.4067,-58.1552
195.4067,195.6066,-56.0124
195.6066,195.8064,-54.048
195.8064,196.0062,-52.9546
196.0062,196.2061,-53.1603

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,-0.8563
191.8,-0.5558
192,-0.0541
192.4,0.3309
192.5,0.2767
192.6,0.1679
192.7,0.0158
193,-0.5447
193.2,-0.8125
193.3,-0.8628
193.4,-0.8445
193.5,-0.7606
193.6,-0.6187
193.7,-0.4384
193.8,-0.2452
193.9,-0.07
194,0.0573
194.4,-0.2562
194.6,-0.7703
194.7,-0.9819
194.8,-1.0863
194.9,-1.0303
195.1,-0.2995
195.2,0.4
195.3,1.2851
195.4,2.3055
195.6,4.4241
195.8,6.0342
195.9,6.4505

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.8744
191.8095,192.0094,-60.266
192.0094,192.2092,-59.8233
192.2092,192.4091,-59.6063
192.4091,192.6089,-59.6374
192.6089,192.8088,-59.8811
192.8088,193.0086,-60.2353
193.0086,193.2084,-60.5502
193.2084,193.4083,-60.6761
193.4083,193.6081,-60.5346
193.6081,193.808,-60.1765
193.808,194.0078,-59.7821
194.0078,194.2077,-59.5851
194.2077,194.4075,-59.737
194.4075,194.6073,-60.1822
194.6073,194.8072,-60.62
194.8072,195.007,-60.6083
195.007,195.2069,-59.7981
195.2069,195.4067,-58.1377
195.4067,195.6066,-55.9934
195.6066,195.8064,-54.0278
195.8064,196.0062,-52.9337
196.0062,196.2061,-53.1395

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.1695
191.7,-0.8484
191.8,-0.5476
191.9,-0.2768
192,-0.0453
192.2,0.2664
192.3,0.3346
192.4,0.3406
192.5,0.2866
192.6,0.1779
192.7,0.0259
192.8,-0.1558
192.9,-0.3491
193,-0.5341
193.1,-0.6912
193.2,-0.8016
193.4,-0.8332
193.5,-0.7491
193.6,-0.607
193.7,-0.4265
193.8,-0.233
193.9,-0.0576
194,0.0698
194.1,0.1255
194.2,0.0907
194.3,-0.0358
194.4,-0.243
194.5,-0.4969
194.6,-0.7567
194.7,-0.9681
194.8,-1.0721
194.9,-1.0157
195,-0.7601
195.1,-0.2837
195.2,0.4165
195.3,1.3023
195.4,2.3235
195.5,3.4006
195.6,4.4436
195.7,5.3576
195.8,6.0547
195.9,6.4714

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.9931
191.8095,192.0094,-60.3931
192.0094,192.2092,-59.9582
192.2092,192.4091,-59.7479
192.4091,192.6089,-59.7847
192.6089,192.8088,-60.0332
192.8088,193.0086,-60.3919
193.0086,193.2084,-60.7114
193.2084,193.4083,-60.8424
193.4083,193.6081,-60.7068
193.6081,193.808,-60.3549
193.808,194.0078,-59.9666
194.0078,194.2077,-59.775
194.2077,194.4075,-59.9316
194.4075,194.6073,-60.3821
194.6073,194.8072,-60.8276
194.8072,195.007,-60.8275
195.007,195.2069,-60.0337
195.2069,195.4067,-58.3938
195.4067,195.6066,-56.2712
195.6066,195.8064,-54.324
195.8064,196.0062,-53.2401
196.0062,196.2061,-53.4448

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,-1.2805
191.7,-0.9638
191.8,-0.6675
192.4,0.1989
192.5,0.1422
192.7,-0.1231
192.8,-0.3069
192.9,-0.5022
193,-0.6893
193.3,-1.014
193.6,-0.7782
193.7,-0.601
193.8,-0.4107
194,-0.1138
194.3,-0.2266
194.7,-1.1705
194.8,-1.2795
195,-0.9814
195.4,2.0601
195.5,3.1258
195.8,5.7538
195.9,6.1664



//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.6966
191.8095,192.0094,-60.0756
192.0094,192.2092,-59.6214
192.2092,192.4091,-59.3943
192.4091,192.6089,-59.4169
192.6089,192.8088,-59.6533
192.8088,193.0086,-60.0009
193.0086,193.2084,-60.3088
193.2084,193.4083,-60.427
193.4083,193.6081,-60.2768
193.6081,193.808,-59.9094
193.808,194.0078,-59.5059
194.0078,194.2077,-59.3008
194.2077,194.4075,-59.4455
194.4075,194.6073,-59.8829
194.6073,194.8072,-60.3094
194.8072,195.007,-60.2803
195.007,195.2069,-59.4455
195.2069,195.4067,-57.7543
195.4067,195.6066,-55.5773
195.6066,195.8064,-53.584
195.8064,196.0062,-52.4746
196.0062,196.2061,-52.6821

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.2,0.4695
192.6,0.3978
194.6,-0.4591
195.2,0.7771
195.4,2.7184



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-60.5973
191.8095,192.0094,-59.9693
