//DATASET,
//created,Sat, 20 Mar 2021 15:59:15 GMT

//TRACE,Optical Spectrum,Input 1 (sel 1) (log_pow 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.085,1.7696
192.185,1.9516
192.285,2.0705
192.385,2.1235
192.485,2.1124
192.535,-14.9056
192.585,2.0422
192.685,1.9243
192.785,1.7725
192.885,1.6055
192.985,1.4438
193.085,1.3084
193.185,1.2193
193.285,1.1912
193.385,1.2342
193.485,1.3462
193.585,1.5201
193.685,1.737
193.785,1.9709
193.885,2.1902
193.985,2.363
194.085,2.4644
194.185,2.474
194.285,2.3892
194.385,2.2203
194.485,2.0016
194.585,1.7763
194.685,1.6004
194.785,1.5366
194.885,1.6424
194.985,1.9604
195.085,2.5139
195.185,3.3105
195.285,4.3114
195.385,5.4625
195.485,6.6809
195.585,7.8689
195.685,8.924
195.785,9.7472
195.885,10.2666
195.935,-Infinity
195.985,10.4221
196.085,10.194
196.185,9.5903
196.285,8.6537
196.385,7.4461

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.0556,192.1555,-58.1383
192.1555,192.2553,-57.9528
192.2553,192.3552,-57.832
192.3552,192.455,-57.7774
192.455,192.5548,-57.7869
192.5548,192.6547,-57.8534
192.6547,192.7545,-57.9662
192.7545,192.8544,-58.1094
192.8544,192.9542,-58.2642
192.9542,193.0541,-58.4098
193.0541,193.1539,-58.5247
193.1539,193.2538,-58.5903
193.2538,193.3536,-58.5921
193.3536,193.4534,-58.5231
193.4534,193.5533,-58.3842
193.5533,193.6531,-58.187
193.6531,193.753,-57.9514
193.753,193.8528,-57.705
193.8528,193.9527,-57.4786
193.9527,194.0525,-57.3034
194.0525,194.1523,-57.2059
194.1523,194.2522,-57.2002
194.2522,194.352,-57.2883
194.352,194.4519,-57.4535
194.4519,194.5517,-57.6641
194.5517,194.6516,-57.8712
194.6516,194.7514,-58.016
194.7514,194.8512,-58.0377
194.8512,194.9511,-57.8803
194.9511,195.0509,-57.5036
195.0509,195.1508,-56.8923
195.1508,195.2506,-56.0427
195.2506,195.3505,-54.9955
195.3505,195.4503,-53.8134
195.4503,195.5502,-52.5807
195.5502,195.65,-51.3972
195.65,195.7498,-50.3624
195.7498,195.8497,-49.5701
195.8497,195.9495,-49.0975
195.9495,196.0494,-48.9891
196.0494,196.1492,-49.2657
196.1492,196.2491,-49.9104
196.2491,196.3489,-50.8821
196.3489,196.4488,-52.115
196.4488,196.5486,-53.5281
196.5486,196.6484,-55.0377

//TRACE,Optical Spectrum,Input 1 (sel 2) (log_pow 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.085,1.767
192.185,1.9489
192.285,2.0677
192.385,2.1207
192.485,2.1095
192.535,-Infinity
192.585,2.0393
192.685,1.9213
192.785,1.7695
192.885,1.6024
192.985,1.4408
193.085,1.3053
193.185,1.2161
193.285,1.188
193.385,1.2309
193.485,1.3429
193.585,1.5167
193.685,1.7336
193.785,1.9674
193.885,2.1866
193.985,2.3593
194.085,2.4607
194.185,2.4702
194.285,2.3854
194.385,2.2165
194.485,1.9977
194.585,1.7724
194.685,1.5964
194.785,1.5325
194.885,1.6382
194.985,1.956
195.085,2.5094
195.185,3.3058
195.285,4.3064
195.385,5.4573
195.485,6.6754
195.585,7.8633
195.685,8.9182
195.785,9.7413
195.885,10.2605
195.935,-6.6033
195.985,10.416
196.085,10.1879
196.185,9.5843
196.285,8.6479
196.385,7.4405

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.0556,192.1555,-58.141
192.1555,192.2553,-57.9555
192.2553,192.3552,-57.8348
192.3552,192.455,-57.7802
192.455,192.5548,-57.7898
192.5548,192.6547,-57.8564
192.6547,192.7545,-57.9693
192.7545,192.8544,-58.1124
192.8544,192.9542,-58.2673
192.9542,193.0541,-58.4129
193.0541,193.1539,-58.5279
193.1539,193.2538,-58.5935
193.2538,193.3536,-58.5954
193.3536,193.4534,-58.5265
193.4534,193.5533,-58.3876
193.5533,193.6531,-58.1905
193.6531,193.753,-57.955
193.753,193.8528,-57.7085
193.8528,193.9527,-57.4823
193.9527,194.0525,-57.3071
194.0525,194.1523,-57.2097
194.1523,194.2522,-57.204
194.2522,194.352,-57.2921
194.352,194.4519,-57.4573
194.4519,194.5517,-57.668
194.5517,194.6516,-57.8752
194.6516,194.7514,-58.0201
194.7514,194.8512,-58.0419
194.8512,194.9511,-57.8846
194.9511,195.0509,-57.5081
195.0509,195.1508,-56.897
195.1508,195.2506,-56.0475
195.2506,195.3505,-55.0005
195.3505,195.4503,-53.8186
195.4503,195.5502,-52.5862
195.5502,195.65,-51.4029
195.65,195.7498,-50.3682
195.7498,195.8497,-49.5761
195.8497,195.9495,-49.1035
195.9495,196.0494,-48.9952
196.0494,196.1492,-49.2717
196.1492,196.2491,-49.9164
196.2491,196.3489,-50.8879
196.3489,196.4488,-52.1207
196.4488,196.5486,-53.5335
196.5486,196.6484,-55.0429

//TRACE,Optical Spectrum,Input 1 (sel 1) (log_pow 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.085,1.7827
192.185,1.965
192.285,2.0842
192.385,2.1375
192.485,2.1267
192.535,0.1088
192.585,2.0568
192.685,1.9391
192.785,1.7875
192.885,1.6207
192.985,1.4593
193.085,1.3241
193.185,1.2351
193.285,1.2073
193.385,1.2506
193.485,1.3629
193.585,1.5371
193.685,1.7543
193.785,1.9886
193.885,2.2082
193.985,2.3812
194.085,2.4829
194.185,2.4927
194.285,2.4081
194.385,2.2395
194.485,2.021
194.585,1.796
194.685,1.6205
194.785,1.5571
194.885,1.6636
194.985,1.9823
195.085,2.5367
195.185,3.3343
195.285,4.3363
195.385,5.4885
195.485,6.7081
195.585,7.8972
195.685,8.9532
195.785,9.7771
195.885,10.2969
195.935,-Infinity
195.985,10.4526
196.085,10.2243
196.185,9.6201
196.285,8.6829
196.385,7.4743

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.0556,192.1555,-58.125
192.1555,192.2553,-57.9391
192.2553,192.3552,-57.818
192.3552,192.455,-57.7631
192.455,192.5548,-57.7723
192.5548,192.6547,-57.8387
192.6547,192.7545,-57.9512
192.7545,192.8544,-58.0942
192.8544,192.9542,-58.2487
192.9542,193.0541,-58.3941
193.0541,193.1539,-58.5088
193.1539,193.2538,-58.5742
193.2538,193.3536,-58.5757
193.3536,193.4534,-58.5065
193.4534,193.5533,-58.3672
193.5533,193.6531,-58.1697
193.6531,193.753,-57.9339
193.753,193.8528,-57.6871
193.8528,193.9527,-57.4604
193.9527,194.0525,-57.285
194.0525,194.1523,-57.1872
194.1523,194.2522,-57.1812
194.2522,194.352,-57.2691
194.352,194.4519,-57.434
194.4519,194.5517,-57.6444
194.5517,194.6516,-57.8512
194.6516,194.7514,-57.9956
194.7514,194.8512,-58.0168
194.8512,194.9511,-57.8588
194.9511,195.0509,-57.4813
195.0509,195.1508,-56.8692
195.1508,195.2506,-56.0185
195.2506,195.3505,-54.9702
195.3505,195.4503,-53.787
195.4503,195.5502,-52.5533
195.5502,195.65,-51.3687
195.65,195.7498,-50.333
195.7498,195.8497,-49.5401
195.8497,195.9495,-49.067
195.9495,196.0494,-48.9586
196.0494,196.1492,-49.2353
196.1492,196.2491,-49.8805
196.2491,196.3489,-50.8529
196.3489,196.4488,-52.0869
196.4488,196.5486,-53.501
196.5486,196.6484,-55.0119



//TRACE,Optical Spectrum,Input 1 (sel 2) (log_pow 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.085,1.6963
192.185,1.8763
192.285,1.9933
192.385,2.0447
192.485,2.0321
192.535,-Infinity
192.585,1.9605
192.685,1.8413
192.785,1.6884
192.885,1.5202
192.985,1.3574
193.085,1.2208
193.185,1.1304
193.285,1.1009
193.385,1.1423
193.485,1.2527
193.585,1.4249
193.685,1.64
193.785,1.8721
193.885,2.0896
193.985,2.2608
194.085,2.3607
194.185,2.3689
194.285,2.2829
194.385,2.1128
194.485,1.8927
194.585,1.6658
194.685,1.4878
194.785,1.4214
194.885,1.5238
194.985,1.8376
195.085,2.3862
195.185,3.1772
195.285,4.1718
195.385,5.3164
195.485,6.5285
195.585,7.7106
195.685,8.7606
195.785,9.5798
195.885,10.0967
195.935,8.2322
195.985,10.2513
196.085,10.024
196.185,9.4228
196.285,8.4902
196.385,7.288

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.0556,192.1555,-58.213
192.1555,192.2553,-58.0294
192.2553,192.3552,-57.9105
192.3552,192.455,-57.8575
192.455,192.5548,-57.8685
192.5548,192.6547,-57.9364
192.6547,192.7545,-58.0505
192.7545,192.8544,-58.1948
192.8544,192.9542,-58.3508
192.9542,193.0541,-58.4976
193.0541,193.1539,-58.6138
193.1539,193.2538,-58.6808
193.2538,193.3536,-58.684
193.3536,193.4534,-58.6166
193.4534,193.5533,-58.4793
193.5533,193.6531,-58.2839
193.6531,193.753,-58.0501
193.753,193.8528,-57.8053
193.8528,193.9527,-57.5807
193.9527,194.0525,-57.407
194.0525,194.1523,-57.311
194.1523,194.2522,-57.3066
194.2522,194.352,-57.3959
194.352,194.4519,-57.5624
194.4519,194.5517,-57.7745
194.5517,194.6516,-57.9834
194.6516,194.7514,-58.1304
194.7514,194.8512,-58.155
194.8512,194.9511,-58.001
194.9511,195.0509,-57.6285
195.0509,195.1508,-57.0222
195.1508,195.2506,-56.1781
195.2506,195.3505,-55.1369
195.3505,195.4503,-53.9611
195.4503,195.5502,-52.7346
195.5502,195.65,-51.5568
195.65,195.7498,-50.5269
195.7498,195.8497,-49.7383
195.8497,195.9495,-49.2679
195.9495,196.0494,-49.1602
196.0494,196.1492,-49.4357
196.1492,196.2491,-50.0777
196.2491,196.3489,-51.0453
196.3489,196.4488,-52.2729
196.4488,196.5486,-53.6797
196.5486,196.6484,-55.1825



//TRACE,Optical Spectrum,Input 1 (sel 1) (log_pow 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.085,2.1503
192.185,2.3427
192.285,2.4711
192.385,2.5328
192.485,2.5296
192.535,15.5152
192.585,2.4665
192.685,2.3551
192.785,2.2094
192.885,2.0483
192.985,1.8926
193.085,1.7635
193.185,1.681
193.285,1.6603
193.385,1.7113
193.485,1.8319
193.585,2.0149
193.685,2.2411
193.785,2.4844
193.885,2.7127
193.985,2.8938
194.085,3.0029
194.185,3.0195
194.285,2.9412
194.385,2.7787
194.485,2.567
194.585,2.3502
194.685,2.185
194.785,2.135
194.885,2.2584
194.985,2.598
195.085,3.1771
195.185,4.0032
195.285,5.0363
195.385,6.2209
195.485,7.4724
195.585,8.6913
195.685,9.773
195.785,10.6167
195.885,11.1491
195.935,-Infinity
195.985,11.3092
196.085,11.0768
196.185,10.4602
196.285,9.5027
196.385,8.2675

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.0556,192.1555,-57.7506
192.1555,192.2553,-57.555
192.2553,192.3552,-57.4249
192.3552,192.455,-57.3618
192.455,192.5548,-57.3635
192.5548,192.6547,-57.4229
192.6547,192.7545,-57.5291
192.7545,192.8544,-57.666
192.8544,192.9542,-57.8146
192.9542,193.0541,-57.9539
193.0541,193.1539,-58.0622
193.1539,193.2538,-58.1209
193.2538,193.3536,-58.1152
193.3536,193.4534,-58.0381
193.4534,193.5533,-57.8905
193.5533,193.6531,-57.6844
193.6531,193.753,-57.4397
193.753,193.8528,-57.1841
193.8528,193.9527,-56.9491
193.9527,194.0525,-56.7658
194.0525,194.1523,-56.6608
194.1523,194.2522,-56.6482
194.2522,194.352,-56.7296
194.352,194.4519,-56.888
194.4519,194.5517,-57.091
194.5517,194.6516,-57.2891
194.6516,194.7514,-57.4223
194.7514,194.8512,-57.4295
194.8512,194.9511,-57.254
194.9511,195.0509,-56.8554
195.0509,195.1508,-56.2186
195.1508,195.2506,-55.3399
195.2506,195.3505,-54.2612
195.3505,195.4503,-53.0464
195.4503,195.5502,-51.7817
195.5502,195.65,-50.5684
195.65,195.7498,-49.5083
195.7498,195.8497,-48.6968
195.8497,195.9495,-48.2124
195.9495,196.0494,-48.1008
196.0494,196.1492,-48.3828
196.1492,196.2491,-49.0414
196.2491,196.3489,-50.0346
196.3489,196.4488,-51.2954
196.4488,196.5486,-52.7411
196.5486,196.6484,-54.2863



//TRACE,Optical Spectrum,Input 1 (sel 2) (log_pow 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.085,0.5805
192.185,0.7301
192.285,0.8192
192.385,0.8451
192.485,0.8094
192.535,-Infinity
192.585,0.717
192.685,0.5788
192.785,0.4079
192.885,0.2224
192.985,0.0421
193.085,-0.1128
193.185,-0.2229
193.285,-0.2739
193.385,-0.2558
193.485,-0.1707
193.585,-0.0252
193.685,0.1625
193.785,0.3673
193.885,0.5585
193.985,0.705
194.085,0.7824
194.185,0.7702
194.285,0.6651
194.385,0.4762
194.485,0.2354
194.585,-0.0162
194.685,-0.2255
194.785,-0.3324
194.885,-0.2815
194.985,-0.031
195.085,0.4425
195.185,1.1471
195.285,2.0474
195.385,3.0938
195.485,4.2087
195.585,5.3005
195.685,6.2725
195.785,7.0318
195.885,7.5103
195.935,20.6358
195.985,7.6514
196.085,7.4366
196.185,6.8733
196.285,6.002
196.385,4.8808

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
192.0556,192.1555,-59.3521
192.1555,192.2553,-59.1982
192.2553,192.3552,-59.1067
192.3552,192.455,-59.0788
192.455,192.5548,-59.1127
192.5548,192.6547,-59.2017
192.6547,192.7545,-59.3354
