//DATASET,
//created,Sat, 06 Feb 2021 21:23:39 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3766
191.8,1.7621
192,2.4243
192.1,2.6814
192.3,3.0086
192.4,3.0715
192.5,3.0689
192.6,3.0068
192.7,2.8978
192.8,2.7563
192.9,2.6024
193,2.4572
193.1,2.342
193.2,2.2769
193.3,2.2761
193.4,2.3485
193.5,2.4904
193.6,2.6934
193.7,2.9362
193.8,3.1914
194,3.6088
194.1,3.715
194.2,3.7259
194.4,3.4782
194.5,3.2722
194.6,3.0705
194.7,2.9331
194.8,2.9243
194.9,3.1016
195,3.5048
195.1,4.1557
195.3,6.1572
195.4,7.4018
195.5,8.6978
195.6,9.9424
195.7,11.0279
195.8,11.8544

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.599
191.8095,192.0094,-57.8282
192.0094,192.2092,-57.237
192.2092,192.4091,-56.8907
192.4091,192.6089,-56.8132
192.6089,192.8088,-56.965
192.8088,193.0086,-57.2355
193.0086,193.2084,-57.4639
193.2084,193.4083,-57.492
193.4083,193.6081,-57.2387
193.6081,193.808,-56.7602
193.808,194.0078,-56.2484
194.0078,194.2077,-55.9476
194.2077,194.4075,-56.0089
194.4075,194.6073,-56.3565
194.6073,194.8072,-56.6533
194.8072,195.007,-56.4201
195.007,195.2069,-55.2923
195.2069,195.4067,-53.2296
195.4067,195.6066,-50.6577
195.6066,195.8064,-48.3317
195.8064,196.0062,-47.0391
196.0062,196.2061,-47.2669

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1649
191.7,1.5804
191.9,2.3338
192,2.6505
192.1,2.9143
192.2,3.117
192.6,3.2659
192.7,3.1608
192.8,3.023
192.9,2.8727
193,2.7312
193.2,2.5588
193.3,2.5626
193.4,2.6399
193.5,2.7871
193.7,3.2441
193.8,3.505
193.9,3.7452
194.1,4.0437
194.2,4.0589
194.3,3.9792
194.4,3.819
194.5,3.6174
194.6,3.421
194.8,3.2903
195,3.8954
195.1,4.5623
195.2,5.48
195.4,7.8669
195.5,9.1829
195.6,10.446
195.7,11.5471

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3916
191.8095,192.0094,-57.6059
192.0094,192.2092,-57.0011
192.2092,192.4091,-56.643
192.4091,192.6089,-56.5556
192.6089,192.8088,-56.6991
192.8088,193.0086,-56.9621
193.0086,193.2084,-57.1828
193.2084,193.4083,-57.2021
193.4083,193.6081,-56.9386
193.6081,193.808,-56.449
193.808,194.0078,-55.9263
194.0078,194.2077,-55.616
194.2077,194.4075,-55.6691
194.4075,194.6073,-56.0081
194.6073,194.8072,-56.2923
194.8072,195.007,-56.039
195.007,195.2069,-54.8819
195.2069,195.4067,-52.7818
195.4067,195.6066,-50.1702
195.6066,195.8064,-47.8109
195.8064,196.0062,-46.4999
196.0062,196.2061,-46.7298

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0542
191.8,1.854
191.9,2.21
192,2.5226
192.1,2.7827
192.3,3.115
192.4,3.1802
192.5,3.1796
192.6,3.1194
192.7,3.0121
192.9,2.7199
193,2.5763
193.1,2.4628
193.5,2.6194
