//DATASET,
//created,Sun, 07 Feb 2021 12:10:28 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9333
191.7,1.3394
191.9,2.0747
192,2.3829
192.1,2.6388
192.2,2.8341
192.4,3.0257
192.6,2.9594
192.8,2.7075
193,2.4071
193.1,2.2912
193.2,2.2253
193.3,2.2237
193.4,2.2952
193.7,2.8798
194,3.5495
194.2,3.665
194.4,3.4159
194.6,3.0064
194.8,2.8573
194.9,3.0326
195,3.4333
195.1,4.0813
195.3,6.0758
195.4,7.3167
195.5,8.609
195.7,10.9329
195.8,11.7572

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6369
191.8095,192.0094,-57.8689
192.0094,192.2092,-57.2802
192.2092,192.4091,-56.9361
192.4091,192.6089,-56.8604
192.6089,192.8088,-57.0136
192.8088,193.0086,-57.2855
193.0086,193.2084,-57.5154
193.2084,193.4083,-57.5451
193.4083,193.6081,-57.2937
193.6081,193.808,-56.8172
193.808,194.0078,-56.3073
194.0078,194.2077,-56.0083
194.2077,194.4075,-56.071
194.4075,194.6073,-56.4203
194.6073,194.8072,-56.7194
194.8072,195.007,-56.4899
195.007,195.2069,-55.3674
195.2069,195.4067,-53.3115
195.4067,195.6066,-50.7469
195.6066,195.8064,-48.427
195.8064,196.0062,-47.1378
196.0062,196.2061,-47.3652

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.7722
192.2,2.6374
192.8,2.4883
193.1,2.0628
193.7,2.6266
194,3.283
194.1,3.3846
194.2,3.3913
194.7,2.574
195.5,8.2102
195.7,10.5059

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8076
191.8095,192.0094,-58.0517
192.0094,192.2092,-57.4742
192.2092,192.4091,-57.1399
192.4091,192.6089,-57.0723
192.6089,192.8088,-57.2324
192.8088,193.0086,-57.5105
193.0086,193.2084,-57.7467
193.2084,193.4083,-57.7837
193.4083,193.6081,-57.5407
193.6081,193.808,-57.0733
193.808,194.0078,-56.5723
194.0078,194.2077,-56.2811
194.2077,194.4075,-56.3506
194.4075,194.6073,-56.707
194.6073,194.8072,-57.0165
194.8072,195.007,-56.8035
195.007,195.2069,-55.7051
195.2069,195.4067,-53.6798
195.4067,195.6066,-51.1478
195.6066,195.8064,-48.8553
195.8064,196.0062,-47.5811
196.0062,196.2061,-47.8069

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.6,3.2208
192.7,3.115
193.3,2.5127
193.6,2.943
194.1,3.9865
195.5,9.0985

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4277
191.8095,192.0094,-57.6446
192.0094,192.2092,-57.0422
192.2092,192.4091,-56.6862
192.4091,192.6089,-56.6005
192.6089,192.8088,-56.7454
192.8088,193.0086,-57.0097
193.0086,193.2084,-57.2317
193.2084,193.4083,-57.2525
193.4083,193.6081,-56.9908
193.6081,193.808,-56.5031
193.808,194.0078,-55.9823
194.0078,194.2077,-55.6737
194.2077,194.4075,-55.7282
194.4075,194.6073,-56.0688
194.6073,194.8072,-56.3551
194.8072,195.007,-56.1053
195.007,195.2069,-54.9533
195.2069,195.4067,-52.8597
195.4067,195.6066,-50.2551
195.6066,195.8064,-47.9015
195.8064,196.0062,-46.5938
196.0062,196.2061,-46.8233

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0365
191.7,1.4468
191.8,1.8349
191.9,2.1902
192,2.5021
192.1,2.7616
192.2,2.9601
192.3,3.0929
192.4,3.1576
192.5,3.1566
192.6,3.096
192.7,2.9883
192.8,2.8481
192.9,2.6954
193,2.5515
193.1,2.4376
193.2,2.3739
193.3,2.3747
193.4,2.4488
193.5,2.5925
193.6,2.7974
193.7,3.0421
193.9,3.536
194,3.7203
194.1,3.8281
194.2,3.8405
194.3,3.7583
194.4,3.5955
194.6,3.1912
194.7,3.056
194.8,3.0502
194.9,3.2314
195,3.6392
195.1,4.2956
195.2,5.2014
195.3,6.3102
195.4,7.5619
195.5,8.8648
195.6,10.1157
195.7,11.2066
195.8,12.0372

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5276
191.8095,192.0094,-57.7517
192.0094,192.2092,-57.1558
192.2092,192.4091,-56.8055
192.4091,192.6089,-56.7245
192.6089,192.8088,-56.8735
192.8088,193.0086,-57.1414
193.0086,193.2084,-57.3671
193.2084,193.4083,-57.3922
193.4083,193.6081,-57.1354
193.6081,193.808,-56.6531
193.808,194.0078,-56.1375
194.0078,194.2077,-55.8335
194.2077,194.4075,-55.8919
194.4075,194.6073,-56.2366
194.6073,194.8072,-56.529
194.8072,195.007,-56.2889
195.007,195.2069,-55.151
195.2069,195.4067,-53.0754
195.4067,195.6066,-50.4899
195.6066,195.8064,-48.1524
195.8064,196.0062,-46.8535
196.0062,196.2061,-47.082

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,3.1828
192.2,3.3926
192.4,3.6099
193,3.047
193.5,3.1291
193.8,3.8665
194.6,3.8251
195.5,9.7421

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1527
191.8095,192.0094,-57.3498
192.0094,192.2092,-56.7293
192.2092,192.4091,-56.3577
192.4091,192.6089,-56.2589
192.6089,192.8088,-56.3928
192.8088,193.0086,-56.6472
193.0086,193.2084,-56.859
193.2084,193.4083,-56.8681
193.4083,193.6081,-56.5928
193.6081,193.808,-56.0904
193.808,194.0078,-55.5553
194.0078,194.2077,-55.2341
194.2077,194.4075,-55.2777
194.4075,194.6073,-55.6068
194.6073,194.8072,-55.8765
194.8072,195.007,-55.5999
195.007,195.2069,-54.4091
195.2069,195.4067,-52.2658
195.4067,195.6066,-49.6084
195.6066,195.8064,-47.2105
195.8064,196.0062,-45.8785
196.0062,196.2061,-46.1107



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9054
191.7,1.3104
191.9,2.0436
192,2.3508
192.1,2.6057
192.2,2.8001
192.4,2.9902
192.6,2.9226
192.7,2.8123
192.8,2.6696
192.9,2.5145
193.2,2.1852
193.3,2.183
193.4,2.2538
193.5,2.394
193.6,2.5951
193.7,2.836
193.8,3.0895
194.1,3.6081
194.2,3.6177
194.3,3.5329
194.5,3.16
194.6,2.9566
194.7,2.8169
194.8,2.8053
194.9,2.979
195,3.3778
195.3,6.0127
195.4,7.2506
195.5,8.5401
195.6,9.7787
195.7,10.8591
195.8,11.6817

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6664
191.8095,192.0094,-57.9005
192.0094,192.2092,-57.3137
192.2092,192.4091,-56.9713
192.4091,192.6089,-56.897
192.6089,192.8088,-57.0514
192.8088,193.0086,-57.3244
193.0086,193.2084,-57.5553
193.2084,193.4083,-57.5863
193.4083,193.6081,-57.3364
193.6081,193.808,-56.8614
193.808,194.0078,-56.3531
194.0078,194.2077,-56.0554
194.2077,194.4075,-56.1193
194.4075,194.6073,-56.4698
194.6073,194.8072,-56.7707
194.8072,195.007,-56.5441
195.007,195.2069,-55.4258
195.2069,195.4067,-53.3752
195.4067,195.6066,-50.8162
195.6066,195.8064,-48.501
195.8064,196.0062,-47.2144
196.0062,196.2061,-47.4415



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9467
191.8,1.738
192,2.3985
192.2,2.8505
192.4,3.0429
192.7,2.8678
193.7,2.901
193.8,3.1556
194.3,3.6039
194.5,3.2329
194.7,2.8923
195.5,8.6425
195.7,10.9686

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6226
191.8095,192.0094,-57.8535
192.0094,192.2092,-57.2639
192.2092,192.4091,-56.919
192.4091,192.6089,-56.8426
192.6089,192.8088,-56.9953
192.8088,193.0086,-57.2667
193.0086,193.2084,-57.496
193.2084,193.4083,-57.5251
193.4083,193.6081,-57.273
193.6081,193.808,-56.7957
193.808,194.0078,-56.2851
194.0078,194.2077,-55.9854
194.2077,194.4075,-56.0476
194.4075,194.6073,-56.3963
194.6073,194.8072,-56.6945
194.8072,195.007,-56.4636
195.007,195.2069,-55.3391
195.2069,195.4067,-53.2807
195.4067,195.6066,-50.7133
195.6066,195.8064,-48.3911
195.8064,196.0062,-47.1006
196.0062,196.2061,-47.3282



