//DATASET,
//created,Sat, 06 Feb 2021 17:31:19 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.027
191.7,1.4368
191.8,1.8246
191.9,2.1795
192,2.4911
192.1,2.7502
192.2,2.9485
192.3,3.0809
192.4,3.1454
192.5,3.1442
192.6,3.0834
192.7,2.9755
192.8,2.8351
192.9,2.6823
193,2.5381
193.1,2.4241
193.2,2.3602
193.3,2.3608
193.4,2.4346
193.6,2.7827
193.7,3.0271
193.8,3.2841
193.9,3.5204
194.1,3.8121
194.2,3.8243
194.3,3.7419
194.4,3.5789
194.5,3.3742
194.6,3.1741
194.7,3.0386
194.8,3.0324
194.9,3.213
195,3.6202
195.2,5.1807
195.3,6.2885
195.4,7.5392
195.5,8.8411
195.6,10.0912
195.7,11.1813
195.8,12.0113

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5377
191.8095,192.0094,-57.7625
192.0094,192.2092,-57.1673
192.2092,192.4091,-56.8175
192.4091,192.6089,-56.7371
192.6089,192.8088,-56.8864
192.8088,193.0086,-57.1547
193.0086,193.2084,-57.3808
193.2084,193.4083,-57.4063
193.4083,193.6081,-57.15
193.6081,193.808,-56.6682
193.808,194.0078,-56.1532
194.0078,194.2077,-55.8496
194.2077,194.4075,-55.9085
194.4075,194.6073,-56.2536
194.6073,194.8072,-56.5466
194.8072,195.007,-56.3075
195.007,195.2069,-55.171
195.2069,195.4067,-53.0973
195.4067,195.6066,-50.5137
195.6066,195.8064,-48.1778
195.8064,196.0062,-46.8798
196.0062,196.2061,-47.1082

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,0.7032
195.3,4.6878
195.5,7.0945

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.2854
191.8095,192.0094,-58.5638
192.0094,192.2092,-58.0176
192.2092,192.4091,-57.7104
192.4091,192.6089,-57.6655
192.6089,192.8088,-57.8448
192.8088,193.0086,-58.1403
193.0086,193.2084,-58.3945
193.2084,193.4083,-58.4519
193.4083,193.6081,-58.2324
193.6081,193.808,-57.7904
193.808,194.0078,-57.3142
194.0078,194.2077,-57.0449
194.2077,194.4075,-57.1333
194.4075,194.6073,-57.5099
194.6073,194.8072,-57.8486
194.8072,195.007,-57.682
195.007,195.2069,-56.6507
195.2069,195.4067,-54.7109
195.4067,195.6066,-52.2698
195.6066,195.8064,-50.0537
195.8064,196.0062,-48.8215
196.0062,196.2061,-49.0426

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.1745
192.8,2.4918
193.2,1.9972
193.3,1.992
193.4,2.0594
193.6,2.3935
193.7,2.6306
194.2,3.3957
194.9,2.7275
195.1,3.7524
195.4,6.9404
195.5,8.2165
195.7,10.5127

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8049
191.8095,192.0094,-58.0488
192.0094,192.2092,-57.4711
192.2092,192.4091,-57.1366
192.4091,192.6089,-57.0689
192.6089,192.8088,-57.2289
192.8088,193.0086,-57.5069
193.0086,193.2084,-57.743
193.2084,193.4083,-57.7799
193.4083,193.6081,-57.5368
193.6081,193.808,-57.0692
193.808,194.0078,-56.5681
194.0078,194.2077,-56.2767
194.2077,194.4075,-56.3461
194.4075,194.6073,-56.7024
194.6073,194.8072,-57.0118
194.8072,195.007,-56.7985
195.007,195.2069,-55.6997
195.2069,195.4067,-53.674
195.4067,195.6066,-51.1414
195.6066,195.8064,-48.8485
195.8064,196.0062,-47.5741
196.0062,196.2061,-47.7999

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.6524
191.7,2.0876
191.8,2.5001
191.9,2.8789
192,3.2134
192.1,3.494
192.2,3.7122
192.3,3.863
192.4,3.944
192.6,3.9108
192.7,3.8154
193.1,3.3112
193.2,3.2605
193.3,3.2756
193.6,3.7479
193.7,4.0106
193.8,4.2856
193.9,4.5393
194,4.7395
