//DATASET,
//created,Sun, 07 Feb 2021 15:32:49 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.3,2.2881
192.7,2.124
192.9,1.8072
193.1,1.5247
193.5,1.6175
193.7,2.0301
194.1,2.7478
194.3,2.6513
194.5,2.2567
194.6,2.0393
194.8,1.8475
194.9,1.9922
195,2.3556
195.1,2.9595
195.3,4.8491
195.4,6.0335
195.5,7.2705
195.6,8.4608
195.7,9.5001
195.8,10.2917

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.21
191.8095,192.0094,-58.483
192.0094,192.2092,-57.9318
192.2092,192.4091,-57.6203
192.4091,192.6089,-57.5719
192.6089,192.8088,-57.7482
192.8088,193.0086,-58.0409
193.0086,193.2084,-58.2923
193.2084,193.4083,-58.3464
193.4083,193.6081,-58.1232
193.6081,193.808,-57.6772
193.808,194.0078,-57.1971
194.0078,194.2077,-56.9243
194.2077,194.4075,-57.0097
194.4075,194.6073,-57.3831
194.6073,194.8072,-57.7172
194.8072,195.007,-57.5433
195.007,195.2069,-56.5014
195.2069,195.4067,-54.5482
195.4067,195.6066,-52.0927
195.6066,195.8064,-49.8646
195.8064,196.0062,-48.6259
196.0062,196.2061,-48.8477

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
193.1,2.4102
193.2,2.346
193.5,2.5632
194.1,3.7956
195.2,5.1594
195.5,8.8168

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5481
191.8095,192.0094,-57.7736
192.0094,192.2092,-57.1791
192.2092,192.4091,-56.83
192.4091,192.6089,-56.75
192.6089,192.8088,-56.8997
192.8088,193.0086,-57.1684
193.0086,193.2084,-57.3949
193.2084,193.4083,-57.4209
193.4083,193.6081,-57.1651
193.6081,193.808,-56.6838
193.808,194.0078,-56.1693
194.0078,194.2077,-55.8662
194.2077,194.4075,-55.9255
194.4075,194.6073,-56.271
194.6073,194.8072,-56.5647
194.8072,195.007,-56.3266
195.007,195.2069,-55.1916
195.2069,195.4067,-53.1197
195.4067,195.6066,-50.5381
195.6066,195.8064,-48.2039
195.8064,196.0062,-46.9068
196.0062,196.2061,-47.1352

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3469
191.8,1.7312
191.9,2.0828
192.1,2.6475
192.2,2.8429
192.3,2.9729
192.4,3.035
192.5,3.0317
192.7,2.8594
192.9,2.563
193,2.4173
193.1,2.3015
193.2,2.2358
193.5,2.4471
193.6,2.6493
194,3.5615
194.1,3.667
194.2,3.6774
194.3,3.5932
194.5,3.2219
194.7,2.881
194.9,3.0466
195,3.4478
195.4,7.334
195.5,8.627
195.7,10.9521
195.8,11.7769

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6292
191.8095,192.0094,-57.8606
192.0094,192.2092,-57.2714
192.2092,192.4091,-56.9269
192.4091,192.6089,-56.8508
192.6089,192.8088,-57.0038
192.8088,193.0086,-57.2754
193.0086,193.2084,-57.5049
193.2084,193.4083,-57.5343
193.4083,193.6081,-57.2826
193.6081,193.808,-56.8056
193.808,194.0078,-56.2954
194.0078,194.2077,-55.996
194.2077,194.4075,-56.0584
194.4075,194.6073,-56.4074
194.6073,194.8072,-56.706
194.8072,195.007,-56.4757
195.007,195.2069,-55.3522
195.2069,195.4067,-53.2949
195.4067,195.6066,-50.7288
195.6066,195.8064,-48.4077
195.8064,196.0062,-47.1177
196.0062,196.2061,-47.3453

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9306
191.8,1.7205
191.9,2.0717
192,2.3798
192.3,2.9604
192.4,3.0223
192.7,2.8461
192.8,2.7039
192.9,2.5493
193.2,2.2215
193.4,2.2912
193.8,3.1298
194.3,3.5761
194.4,3.4112
194.9,3.0275
195.1,4.0758
195.5,8.6024
195.6,9.8434
195.7,10.9258

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6398
191.8095,192.0094,-57.8719
192.0094,192.2092,-57.2834
192.2092,192.4091,-56.9395
192.4091,192.6089,-56.8639
192.6089,192.8088,-57.0173
192.8088,193.0086,-57.2893
193.0086,193.2084,-57.5192
193.2084,193.4083,-57.549
193.4083,193.6081,-57.2978
193.6081,193.808,-56.8214
193.808,194.0078,-56.3117
194.0078,194.2077,-56.0128
194.2077,194.4075,-56.0757
194.4075,194.6073,-56.4251
194.6073,194.8072,-56.7243
194.8072,195.007,-56.4951
195.007,195.2069,-55.373
195.2069,195.4067,-53.3176
195.4067,195.6066,-50.7536
195.6066,195.8064,-48.4341
195.8064,196.0062,-47.1451
196.0062,196.2061,-47.3725

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.3152
191.7,1.7367
192.7,3.3625
193.6,3.2275
193.7,3.4803
194.1,4.2959
194.2,4.3142
194.9,3.7679
195.3,6.9429
195.5,9.555

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2326
191.8095,192.0094,-57.4355
192.0094,192.2092,-56.8202
192.2092,192.4091,-56.4531
192.4091,192.6089,-56.3581
192.6089,192.8088,-56.4953
192.8088,193.0086,-56.7525
193.0086,193.2084,-56.9673
193.2084,193.4083,-56.9798
193.4083,193.6081,-56.7085
193.6081,193.808,-56.2104
193.808,194.0078,-55.6794
194.0078,194.2077,-55.3618
194.2077,194.4075,-55.4086
194.4075,194.6073,-55.741
194.6073,194.8072,-56.0155
194.8072,195.007,-55.7468
195.007,195.2069,-54.5672
195.2069,195.4067,-52.4384
195.4067,195.6066,-49.7964
195.6066,195.8064,-47.4114
195.8064,196.0062,-46.0864
196.0062,196.2061,-46.3178



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.2841
191.7,1.7044
192,2.7881
192.1,3.0561
192.2,3.2625
192.4,3.4738
192.5,3.4787
192.6,3.4236
192.7,3.3208
192.8,3.1853
193,2.8979
193.1,2.7888
193.2,2.7304
193.4,2.8172
193.5,2.9676
193.7,3.4315
193.9,3.9393
194.2,4.2614
194.3,4.1842
194.9,3.7081
195,4.1331
195.1,4.8097
195.5,9.4781
195.8,12.7087

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2654
191.8095,192.0094,-57.4707
192.0094,192.2092,-56.8576
192.2092,192.4091,-56.4924
192.4091,192.6089,-56.399
192.6089,192.8088,-56.5374
192.8088,193.0086,-56.7958
193.0086,193.2084,-57.0118
193.2084,193.4083,-57.0257
193.4083,193.6081,-56.756
193.6081,193.808,-56.2597
193.808,194.0078,-55.7304
194.0078,194.2077,-55.4144
194.2077,194.4075,-55.4625
194.4075,194.6073,-55.7962
194.6073,194.8072,-56.0727
194.8072,195.007,-55.8072
195.007,195.2069,-54.6323
195.2069,195.4067,-52.5094
195.4067,195.6066,-49.8736
195.6066,195.8064,-47.4939
195.8064,196.0062,-46.1719
196.0062,196.2061,-46.403



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.6236
193.8,2.986
194.4,3.255
195.5,8.3801

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7349
191.8095,192.0094,-57.9738
192.0094,192.2092,-57.3916
192.2092,192.4091,-57.053
192.4091,192.6089,-56.982
192.6089,192.8088,-57.1392
192.8088,193.0086,-57.4147
193.0086,193.2084,-57.6482
193.2084,193.4083,-57.682
193.4083,193.6081,-57.4355
193.6081,193.808,-56.9642
193.808,194.0078,-56.4594
194.0078,194.2077,-56.1649
194.2077,194.4075,-56.2315
194.4075,194.6073,-56.5849
194.6073,194.8072,-56.8899
194.8072,195.007,-56.6699
195.007,195.2069,-55.5612
195.2069,195.4067,-53.5229
195.4067,195.6066,-50.9771
195.6066,195.8064,-48.6729
195.8064,196.0062,-47.3923
196.0062,196.2061,-47.6188



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9522
191.7,1.3591
191.9,2.0959
192,2.4048
192.1,2.6614
192.2,2.8572
192.3,2.9875
192.5,3.0469
193.1,2.3181
193.2,2.2526
193.3,2.2515
193.4,2.3234
193.8,3.1644
194,3.5808
194.1,3.6867
194.2,3.6973
194.3,3.6133
194.4,3.4489
194.5,3.2425
194.7,2.9023
194.8,2.8928
194.9,3.0691
195,3.4712
195.1,4.1207
195.2,5.0186
195.4,7.3618
195.5,8.656
195.7,10.9831
195.8,11.8086

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6168
191.8095,192.0094,-57.8473
192.0094,192.2092,-57.2573
192.2092,192.4091,-56.9121
192.4091,192.6089,-56.8354
192.6089,192.8088,-56.9879
192.8088,193.0086,-57.2591
193.0086,193.2084,-57.4881
193.2084,193.4083,-57.517
193.4083,193.6081,-57.2646
193.6081,193.808,-56.787
193.808,194.0078,-56.2761
194.0078,194.2077,-55.9762
194.2077,194.4075,-56.0381
194.4075,194.6073,-56.3866
194.6073,194.8072,-56.6844
194.8072,195.007,-56.453
195.007,195.2069,-55.3277
195.2069,195.4067,-53.2681
195.4067,195.6066,-50.6997
195.6066,195.8064,-48.3766
195.8064,196.0062,-47.0855
196.0062,196.2061,-47.3132



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3351
192.4,3.0205
192.5,3.017
192.6,2.9541
192.9,2.5474
193,2.4014
193.1,2.2854
193.2,2.2195
193.5,2.43
193.6,2.6318
193.7,2.8734
193.8,3.1275
193.9,3.3612
194,3.5428
194.4,3.4088
194.5,3.2019
194.6,2.9991
194.7,2.8603
194.8,2.8497
194.9,3.0248
195.1,4.0729
195.2,4.9687
195.4,7.3071
195.5,8.599
195.6,9.8398
195.8,11.7462

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6412
191.8095,192.0094,-57.8735
192.0094,192.2092,-57.2851
192.2092,192.4091,-56.9412
192.4091,192.6089,-56.8657
192.6089,192.8088,-57.0192
192.8088,193.0086,-57.2912
193.0086,193.2084,-57.5212
193.2084,193.4083,-57.5511
193.4083,193.6081,-57.2999
193.6081,193.808,-56.8236
193.808,194.0078,-56.314
194.0078,194.2077,-56.0152
194.2077,194.4075,-56.0781
194.4075,194.6073,-56.4275
