//DATASET,
//created,Mon, 01 Feb 2021 19:08:41 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5903
191.8095,192.0094,-57.8189
192.0094,192.2092,-57.2271
192.2092,192.4091,-56.8804
192.4091,192.6089,-56.8024
192.6089,192.8088,-56.9538
192.8088,193.0086,-57.2241
193.0086,193.2084,-57.4521
193.2084,193.4083,-57.4799
193.4083,193.6081,-57.2262
193.6081,193.808,-56.7472
193.808,194.0078,-56.2349
194.0078,194.2077,-55.9337
194.2077,194.4075,-55.9946
194.4075,194.6073,-56.3419
194.6073,194.8072,-56.6382
194.8072,195.007,-56.4041
195.007,195.2069,-55.2751
195.2069,195.4067,-53.2108
195.4067,195.6066,-50.6373
195.6066,195.8064,-48.3099
195.8064,196.0062,-47.0165
196.0062,196.2061,-47.2444

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9773
191.8,1.7709
192,2.4338
192.1,2.6912
192.2,2.8878
192.3,3.0188
192.5,3.0795
192.6,3.0177
192.7,2.9088
192.8,2.7675
192.9,2.6137
193.1,2.3536
193.2,2.2887
193.3,2.2881
193.5,2.5028
193.6,2.7061
193.7,2.949
193.8,3.2045
193.9,3.4395
194,3.6223
194.1,3.7288
194.2,3.7399
194.3,3.6565
194.4,3.4925
194.6,3.0852
194.7,2.948
194.8,2.9396
194.9,3.1174
195,3.5212
195.1,4.1727
195.2,5.073
195.3,6.1758
195.5,8.7181
195.6,9.9635
195.7,11.0496
195.8,11.8766

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6241
191.8095,192.0094,-57.8551
192.0094,192.2092,-57.2656
192.2092,192.4091,-56.9208
192.4091,192.6089,-56.8444
192.6089,192.8088,-56.9972
192.8088,193.0086,-57.2686
193.0086,193.2084,-57.498
193.2084,193.4083,-57.5272
193.4083,193.6081,-57.2751
193.6081,193.808,-56.7979
193.808,194.0078,-56.2874
194.0078,194.2077,-55.9878
194.2077,194.4075,-56.0501
194.4075,194.6073,-56.3988
194.6073,194.8072,-56.6971
194.8072,195.007,-56.4663
195.007,195.2069,-55.3421
195.2069,195.4067,-53.2839
195.4067,195.6066,-50.7168
195.6066,195.8064,-48.3948
195.8064,196.0062,-47.1044
196.0062,196.2061,-47.332

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9454
191.8,1.7365
192,2.3969
192.1,2.6532
192.2,2.8488
192.4,3.0412
192.5,3.038
192.6,2.9754
192.7,2.8659
193.1,2.3083
193.2,2.2427
193.4,2.3132
193.5,2.4545
193.6,2.6568
193.8,3.1534
193.9,3.3875
194,3.5695
194.1,3.6752
194.2,3.6856
194.3,3.6015
194.4,3.4369
194.7,2.8898
194.9,3.0559
195,3.4575
195.1,4.1064
195.2,5.0037
195.3,6.1033
195.4,7.3455
195.5,8.639
195.7,10.9649
195.8,11.79

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3055
191.8095,192.0094,-57.5136
192.0094,192.2092,-56.9031
192.2092,192.4091,-56.5402
192.4091,192.6089,-56.4487
192.6089,192.8088,-56.5887
192.8088,193.0086,-56.8486
193.0086,193.2084,-57.0661
193.2084,193.4083,-57.0816
193.4083,193.6081,-56.8139
193.6081,193.808,-56.3197
193.808,194.0078,-55.7925
194.0078,194.2077,-55.4783
194.2077,194.4075,-55.528
194.4075,194.6073,-55.8634
194.6073,194.8072,-56.1424
194.8072,195.007,-55.8807
195.007,195.2069,-54.7115
195.2069,195.4067,-52.5958
195.4067,195.6066,-49.9677
195.6066,195.8064,-47.5945
195.8064,196.0062,-46.2759
196.0062,196.2061,-46.5067

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,2.4248
192.2,3.2163
193.1,2.7352
193.9,3.8777
194.6,3.5667
195,4.0577
195.5,9.3845

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6278
191.8095,192.0094,-57.859
192.0094,192.2092,-57.2698
192.2092,192.4091,-56.9251
192.4091,192.6089,-56.849
192.6089,192.8088,-57.0019
192.8088,193.0086,-57.2735
193.0086,193.2084,-57.503
193.2084,193.4083,-57.5323
193.4083,193.6081,-57.2804
193.6081,193.808,-56.8034
193.808,194.0078,-56.2931
194.0078,194.2077,-55.9936
194.2077,194.4075,-56.0561
194.4075,194.6073,-56.4049
194.6073,194.8072,-56.7035
194.8072,195.007,-56.473
195.007,195.2069,-55.3493
195.2069,195.4067,-53.2918
195.4067,195.6066,-50.7254
195.6066,195.8064,-48.404
195.8064,196.0062,-47.114
196.0062,196.2061,-47.3415

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3484
191.8,1.7327
191.9,2.0844
192,2.3929
192.1,2.6491
192.2,2.8446
192.4,3.0368
192.5,3.0335
192.6,2.9709
192.7,2.8612
192.8,2.7193
192.9,2.5649
193,2.4192
193.1,2.3034
193.4,2.3081
193.5,2.4492
193.6,2.6514
193.7,2.8934
193.8,3.1479
193.9,3.3819
194,3.5638
194.1,3.6694
194.2,3.6797
194.3,3.5956
194.5,3.2243
194.6,3.0219
194.7,2.8835
194.8,2.8735
195,3.4506
195.1,4.0993
195.2,4.9962
195.3,6.0955
195.4,7.3372
195.5,8.6304
195.6,9.8725
195.7,10.9558
195.8,11.7806

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7082
191.8095,192.0094,-57.9452
192.0094,192.2092,-57.3612
192.2092,192.4091,-57.0211
192.4091,192.6089,-56.9488
192.6089,192.8088,-57.1049
192.8088,193.0086,-57.3794
193.0086,193.2084,-57.6119
193.2084,193.4083,-57.6447
193.4083,193.6081,-57.3968
193.6081,193.808,-56.9241
193.808,194.0078,-56.4179
194.0078,194.2077,-56.1222
194.2077,194.4075,-56.1877
194.4075,194.6073,-56.54
194.6073,194.8072,-56.8434
194.8072,195.007,-56.6208
195.007,195.2069,-55.5084
195.2069,195.4067,-53.4653
195.4067,195.6066,-50.9143
195.6066,195.8064,-48.6058
195.8064,196.0062,-47.3228
196.0062,196.2061,-47.5496

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,1.9995
193.7,2.7741
194.9,2.9032
195.5,8.4425



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7986
191.8095,192.0094,-58.0421
192.0094,192.2092,-57.464
192.2092,192.4091,-57.1291
192.4091,192.6089,-57.0611
192.6089,192.8088,-57.2209
192.8088,193.0086,-57.4986
193.0086,193.2084,-57.7345
193.2084,193.4083,-57.7711
193.4083,193.6081,-57.5277
193.6081,193.808,-57.0598
193.808,194.0078,-56.5583
194.0078,194.2077,-56.2667
194.2077,194.4075,-56.3358
194.4075,194.6073,-56.6919
194.6073,194.8072,-57.0009
194.8072,195.007,-56.787
195.007,195.2069,-55.6873
195.2069,195.4067,-53.6605
195.4067,195.6066,-51.1267
195.6066,195.8064,-48.8328
195.8064,196.0062,-47.5578
196.0062,196.2061,-47.7836

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.7807
191.9,1.9041
192.2,2.6478
192.3,2.773
192.4,2.8309
192.5,2.8238
192.7,2.6448
192.8,2.4998
192.9,2.3424
193.1,2.0748
193.2,2.0057
193.3,2.0006
193.4,2.0682
193.6,2.4027
193.8,2.8898
194.2,3.4057
194.3,3.3184
194.4,3.1504
194.6,2.7334
194.8,2.5722
194.9,2.7389
195,3.1291
195.1,3.7646
195.2,4.6466
195.3,5.7295
195.4,6.9545
195.5,8.2312
195.6,9.458
195.7,10.5284
195.8,11.3435



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2825
191.8095,192.0094,-57.489
192.0094,192.2092,-56.877
192.2092,192.4091,-56.5128
192.4091,192.6089,-56.4202
192.6089,192.8088,-56.5593
192.8088,193.0086,-56.8183
193.0086,193.2084,-57.0349
193.2084,193.4083,-57.0495
193.4083,193.6081,-56.7807
193.6081,193.808,-56.2853
193.808,194.0078,-55.7569
194.0078,194.2077,-55.4416
194.2077,194.4075,-55.4904
194.4075,194.6073,-55.8249
194.6073,194.8072,-56.1024
194.8072,195.007,-55.8385
195.007,195.2069,-54.666
195.2069,195.4067,-52.5462
195.4067,195.6066,-49.9138
195.6066,195.8064,-47.5368
195.8064,196.0062,-46.2162
196.0062,196.2061,-46.4472

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.268
191.9,2.4491
192.1,3.0369
192.2,3.2428
192.3,3.3823
192.4,3.4532
192.5,3.4578
192.7,3.2992
192.8,3.1634
193.1,2.766
193.5,2.9432
193.6,3.1547
193.7,3.4062
194,4.1034
194.2,4.234
194.3,4.1565
194.4,3.9984
194.8,3.4829
194.9,3.6771
195.1,4.7762
195.2,5.7036
195.4,8.1116
195.5,9.4382
195.6,10.711



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5329
191.8095,192.0094,-57.7574
192.0094,192.2092,-57.1619
192.2092,192.4091,-56.8118
192.4091,192.6089,-56.7312
192.6089,192.8088,-56.8803
192.8088,193.0086,-57.1484
193.0086,193.2084,-57.3744
193.2084,193.4083,-57.3996
193.4083,193.6081,-57.1431
193.6081,193.808,-56.6611
193.808,194.0078,-56.1458
194.0078,194.2077,-55.842
194.2077,194.4075,-55.9006
194.4075,194.6073,-56.2455
194.6073,194.8072,-56.5383
194.8072,195.007,-56.2987
195.007,195.2069,-55.1616
195.2069,195.4067,-53.0869
195.4067,195.6066,-50.5024
195.6066,195.8064,-48.1658
195.8064,196.0062,-46.8674
196.0062,196.2061,-47.0958

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0315
191.7,1.4415
191.8,1.8295
192,2.4963
192.1,2.7556
192.2,2.954
192.3,3.0866
192.4,3.1511
192.5,3.15
192.6,3.0893
192.7,2.9815
192.8,2.8413
192.9,2.6885
193,2.5445
193.1,2.4305
193.2,2.3667
193.3,2.3674
193.4,2.4413
193.5,2.5849
193.6,2.7897
193.7,3.0342
193.8,3.2913
193.9,3.5278
194.1,3.8197
194.2,3.832
194.3,3.7497
194.4,3.5868
194.5,3.3822
194.6,3.1822
194.7,3.0469
194.8,3.0409
194.9,3.2217
195,3.6292
195.1,4.2852
195.2,5.1905
195.3,6.2988
195.4,7.5499
195.5,8.8523
195.6,10.1028
195.7,11.1933
195.8,12.0236



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.0947
