//DATASET,
//created,Sun, 07 Feb 2021 13:19:08 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1154
191.7,1.5289
191.8,1.9202
192,2.5933
192.4,3.2584
192.5,3.2593
192.6,3.2004
192.8,2.9556
192.9,2.8044
193,2.6619
193.1,2.5496
193.3,2.4902
193.4,2.5663
193.6,2.9193
193.7,3.1663
193.8,3.4258
193.9,3.6646
194,3.851
194.2,3.9747
194.3,3.8941
194.4,3.7329
194.7,3.2
194.8,3.1978
194.9,3.3834
195.2,5.3727
195.4,7.7494
195.5,9.0603
195.6,10.3187
195.7,11.4159

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.444
191.8095,192.0094,-57.662
192.0094,192.2092,-57.0607
192.2092,192.4091,-56.7056
192.4091,192.6089,-56.6207
192.6089,192.8088,-56.7663
192.8088,193.0086,-57.0312
193.0086,193.2084,-57.2538
193.2084,193.4083,-57.2753
193.4083,193.6081,-57.0144
193.6081,193.808,-56.5276
193.808,194.0078,-56.0077
194.0078,194.2077,-55.6998
194.2077,194.4075,-55.755
194.4075,194.6073,-56.0961
194.6073,194.8072,-56.3835
194.8072,195.007,-56.1353
195.007,195.2069,-54.9856
195.2069,195.4067,-52.8949
195.4067,195.6066,-50.2934
195.6066,195.8064,-47.9425
195.8064,196.0062,-46.6362
196.0062,196.2061,-46.8655

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,1.9811
192.4,2.5814
192.9,2.0727
193.4,1.7775
193.7,2.3327
194,2.9736
194.9,2.3627
195.5,7.7471
195.7,10.0102

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.0058
191.8095,192.0094,-58.2642
192.0094,192.2092,-57.6997
192.2092,192.4091,-57.3766
192.4091,192.6089,-57.3184
192.6089,192.8088,-57.4865
192.8088,193.0086,-57.7718
193.0086,193.2084,-58.0154
193.2084,193.4083,-58.0609
193.4083,193.6081,-57.8276
193.6081,193.808,-57.3708
193.808,194.0078,-56.8801
194.0078,194.2077,-56.5979
194.2077,194.4075,-56.6753
194.4075,194.6073,-57.04
194.6073,194.8072,-57.3616
194.8072,195.007,-57.1679
195.007,195.2069,-56.0974
195.2069,195.4067,-54.1076
195.4067,195.6066,-51.6134
195.6066,195.8064,-49.3526
195.8064,196.0062,-48.0959
196.0062,196.2061,-48.3197

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.4726
192,2.1148
192.1,2.3627
192.4,2.7292
193,2.0823
193.8,2.7622
194,3.1652
194.1,3.2651
194.2,3.2703
194.3,3.1814
194.4,3.0118
194.5,2.7998
194.6,2.5909
194.8,2.4234
195,2.9703
195.1,3.5993
195.2,4.4738
195.4,6.7653
195.5,8.0339
195.6,9.2532
195.8,11.1275

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.883
191.8095,192.0094,-58.1326
192.0094,192.2092,-57.5601
192.2092,192.4091,-57.23
192.4091,192.6089,-57.166
192.6089,192.8088,-57.3291
192.8088,193.0086,-57.6099
193.0086,193.2084,-57.849
193.2084,193.4083,-57.8892
193.4083,193.6081,-57.6499
193.6081,193.808,-57.1865
193.808,194.0078,-56.6895
194.0078,194.2077,-56.4017
194.2077,194.4075,-56.4742
194.4075,194.6073,-56.8338
194.6073,194.8072,-57.1479
194.8072,195.007,-56.9422
195.007,195.2069,-55.8544
195.2069,195.4067,-53.8427
195.4067,195.6066,-51.3251
195.6066,195.8064,-49.0446
195.8064,196.0062,-47.7771
196.0062,196.2061,-48.0021

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.4745
192.1,2.7933
192.6,3.1313
192.7,3.0241
193.4,2.4885
193.6,2.8386
193.7,3.0841
193.8,3.342
194,3.7644
194.4,3.6419
194.9,3.2827
195,3.6924
195.1,4.351
195.3,6.3707
195.5,8.9308
195.6,10.1843

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4993
191.8095,192.0094,-57.7214
192.0094,192.2092,-57.1237
192.2092,192.4091,-56.7717
192.4091,192.6089,-56.6895
192.6089,192.8088,-56.8373
192.8088,193.0086,-57.1042
193.0086,193.2084,-57.3289
193.2084,193.4083,-57.3527
193.4083,193.6081,-57.0945
193.6081,193.808,-56.6107
193.808,194.0078,-56.0936
194.0078,194.2077,-55.7883
194.2077,194.4075,-55.8456
194.4075,194.6073,-56.1891
194.6073,194.8072,-56.4799
194.8072,195.007,-56.237
195.007,195.2069,-55.0951
195.2069,195.4067,-53.0145
195.4067,195.6066,-50.4235
195.6066,195.8064,-48.0815
195.8064,196.0062,-46.7801
196.0062,196.2061,-47.0089

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.6896
192.1,2.6016
192.3,2.9246
192.6,2.918
193,2.3633
193.1,2.2468
193.4,2.2486
193.6,2.5898
193.7,2.8306
194.1,3.6023
194.3,3.5269
194.6,2.9504
194.7,2.8106
194.8,2.7988
194.9,2.9723
195.3,6.0047
195.4,7.2423
195.5,8.5314
195.8,11.6723

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6701
191.8095,192.0094,-57.9044
192.0094,192.2092,-57.3179
192.2092,192.4091,-56.9757
192.4091,192.6089,-56.9016
192.6089,192.8088,-57.0562
192.8088,193.0086,-57.3293
193.0086,193.2084,-57.5604
193.2084,193.4083,-57.5915
193.4083,193.6081,-57.3417
193.6081,193.808,-56.867
193.808,194.0078,-56.3588
194.0078,194.2077,-56.0613
194.2077,194.4075,-56.1254
194.4075,194.6073,-56.4761
194.6073,194.8072,-56.7772
194.8072,195.007,-56.5509
195.007,195.2069,-55.4331
195.2069,195.4067,-53.3832
195.4067,195.6066,-50.8249
195.6066,195.8064,-48.5103
195.8064,196.0062,-47.224
196.0062,196.2061,-47.4511



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0935
191.7,1.5061
191.8,1.8964
191.9,2.2539
192,2.5679
192.2,3.0297
192.5,3.2307
192.6,3.1714
192.7,3.0648
192.8,2.9257
193.2,2.4559
193.3,2.4581
193.5,2.6788
193.6,2.8854
193.7,3.1317
194,3.8146
194.3,3.8563
194.4,3.6947
194.7,3.16
195.1,4.4139
195.5,9.0059
195.6,10.2622
195.7,11.3577

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4672
191.8095,192.0094,-57.687
192.0094,192.2092,-57.0872
192.2092,192.4091,-56.7334
192.4091,192.6089,-56.6496
192.6089,192.8088,-56.7961
192.8088,193.0086,-57.0619
193.0086,193.2084,-57.2854
193.2084,193.4083,-57.3078
193.4083,193.6081,-57.0481
193.6081,193.808,-56.5625
193.808,194.0078,-56.0438
194.0078,194.2077,-55.737
194.2077,194.4075,-55.7931
194.4075,194.6073,-56.1352
194.6073,194.8072,-56.424
194.8072,195.007,-56.178
195.007,195.2069,-55.0316
195.2069,195.4067,-52.9452
195.4067,195.6066,-50.3481
195.6066,195.8064,-48.0009
195.8064,196.0062,-46.6967
196.0062,196.2061,-46.9258



//TRACE,Optical Spectrum,Input 1 (Run 7) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.6,2.4233
194.6,2.2811
195.5,7.6052

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.0666
191.8095,192.0094,-58.3293
192.0094,192.2092,-57.7688
192.2092,192.4091,-57.4491
192.4091,192.6089,-57.3939
192.6089,192.8088,-57.5644
192.8088,193.0086,-57.8519
193.0086,193.2084,-58.0979
193.2084,193.4083,-58.1459
193.4083,193.6081,-57.9156
193.6081,193.808,-57.462
193.808,194.0078,-56.9745
194.0078,194.2077,-56.6951
194.2077,194.4075,-56.7749
194.4075,194.6073,-57.1422
194.6073,194.8072,-57.4675
194.8072,195.007,-57.2797
195.007,195.2069,-56.2177
195.2069,195.4067,-54.2388
195.4067,195.6066,-51.7561
195.6066,195.8064,-49.5051
195.8064,196.0062,-48.2537
196.0062,196.2061,-48.477



//TRACE,Optical Spectrum,Input 1 (Run 8) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.8,2.7761
193.6,2.7157
194.4,3.5034
194.7,2.9595
195.5,8.7337

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5836
191.8095,192.0094,-57.8117
192.0094,192.2092,-57.2196
192.2092,192.4091,-56.8724
192.4091,192.6089,-56.7942
192.6089,192.8088,-56.9453
192.8088,193.0086,-57.2153
193.0086,193.2084,-57.4431
193.2084,193.4083,-57.4706
193.4083,193.6081,-57.2166
193.6081,193.808,-56.7372
193.808,194.0078,-56.2245
194.0078,194.2077,-55.9231
194.2077,194.4075,-55.9837
194.4075,194.6073,-56.3308
194.6073,194.8072,-56.6266
194.8072,195.007,-56.3919
195.007,195.2069,-55.262
195.2069,195.4067,-53.1965
195.4067,195.6066,-50.6217
195.6066,195.8064,-48.2932
195.8064,196.0062,-46.9992
196.0062,196.2061,-47.2272



//TRACE,Optical Spectrum,Input 1 (Run 9) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.1622
191.8,1.5395
192.1,2.4363
192.2,2.6261
192.3,2.7509
192.4,2.8083
192.7,2.621
192.8,2.4756
192.9,2.3179
193.2,1.9801
193.3,1.9746
193.4,2.0418
193.6,2.3753
193.9,3.0904
194.1,3.369
194.2,3.3755
194.3,3.2878
194.4,3.1196
194.6,2.7016
194.7,2.557
194.8,2.5391
195,3.0937
195.1,3.7278
195.3,5.6892
195.4,6.9123
195.5,8.1872
195.6,9.4124
195.7,10.4813
195.8,11.2954

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8174
191.8095,192.0094,-58.0623
192.0094,192.2092,-57.4854
192.2092,192.4091,-57.1516
192.4091,192.6089,-57.0845
192.6089,192.8088,-57.245
192.8088,193.0086,-57.5234
193.0086,193.2084,-57.76
193.2084,193.4083,-57.7974
193.4083,193.6081,-57.5549
193.6081,193.808,-57.088
193.808,194.0078,-56.5875
194.0078,194.2077,-56.2968
194.2077,194.4075,-56.3667
194.4075,194.6073,-56.7235
194.6073,194.8072,-57.0336
194.8072,195.007,-56.8216
195.007,195.2069,-55.7245
195.2069,195.4067,-53.7011
195.4067,195.6066,-51.1709
195.6066,195.8064,-48.88
195.8064,196.0062,-47.6066
196.0062,196.2061,-47.8323



//TRACE,Optical Spectrum,Input 1 (Run 10) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0287
191.7,1.4386
191.8,1.8264
191.9,2.1814
192,2.4931
192.1,2.7523
192.2,2.9505
192.3,3.0831
192.4,3.1475
192.5,3.1464
192.6,3.0856
192.7,2.9778
192.8,2.8374
192.9,2.6846
193,2.5405
193.1,2.4265
193.2,2.3626
193.3,2.3633
193.4,2.4371
193.6,2.7853
193.8,3.2868
193.9,3.5232
194,3.7073
194.1,3.815
194.2,3.8272
194.3,3.7448
194.4,3.5819
194.5,3.3772
194.6,3.1771
194.7,3.0417
194.8,3.0356
194.9,3.2163
195,3.6236
195.1,4.2794
195.2,5.1844
195.3,6.2924
195.4,7.5433
195.5,8.8453
195.6,10.0955
195.7,11.1858
195.8,12.0159

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5359
191.8095,192.0094,-57.7606
192.0094,192.2092,-57.1652
192.2092,192.4091,-56.8154
192.4091,192.6089,-56.7349
192.6089,192.8088,-56.8841
192.8088,193.0086,-57.1523
193.0086,193.2084,-57.3784
193.2084,193.4083,-57.4038
193.4083,193.6081,-57.1474
193.6081,193.808,-56.6655
193.808,194.0078,-56.1504
194.0078,194.2077,-55.8467
194.2077,194.4075,-55.9055
194.4075,194.6073,-56.2505
194.6073,194.8072,-56.5435
194.8072,195.007,-56.3042
195.007,195.2069,-55.1675
195.2069,195.4067,-53.0934
195.4067,195.6066,-50.5094
195.6066,195.8064,-48.1733
195.8064,196.0062,-46.8751
196.0062,196.2061,-47.1036



//TRACE,Optical Spectrum,Input 1 (Run 11) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192,2.1668
192.5,2.7788
192.6,2.7119
193,2.1454
193.1,2.0258
193.7,2.5856
194,3.2398
194.1,3.3408
194.7,2.5264
194.8,2.5077
194.9,2.6724
195,3.0602
195.4,6.8724
195.5,8.1456
195.8,11.2498

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8352
191.8095,192.0094,-58.0814
192.0094,192.2092,-57.5057
192.2092,192.4091,-57.1729
192.4091,192.6089,-57.1066
192.6089,192.8088,-57.2678
192.8088,193.0086,-57.5469
193.0086,193.2084,-57.7842
193.2084,193.4083,-57.8224
193.4083,193.6081,-57.5807
193.6081,193.808,-57.1148
193.808,194.0078,-56.6152
194.0078,194.2077,-56.3253
194.2077,194.4075,-56.3959
194.4075,194.6073,-56.7535
194.6073,194.8072,-57.0646
194.8072,195.007,-56.8543
195.007,195.2069,-55.7598
195.2069,195.4067,-53.7395
195.4067,195.6066,-51.2128
195.6066,195.8064,-48.9247
195.8064,196.0062,-47.6529
196.0062,196.2061,-47.8784



//TRACE,Optical Spectrum,Input 1 (Run 12) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8503
191.7,1.2531
192.1,2.5402
192.3,2.8601
192.5,2.9144
193,2.2911
193.5,2.3105
193.7,2.7494
193.9,3.2327
194.2,3.5241
194.3,3.4381
195.4,7.1199
195.5,8.4037
195.7,10.713

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7248
191.8095,192.0094,-57.963
192.0094,192.2092,-57.3801
192.2092,192.4091,-57.041
192.4091,192.6089,-56.9694
192.6089,192.8088,-57.1262
192.8088,193.0086,-57.4013
193.0086,193.2084,-57.6345
193.2084,193.4083,-57.6679
193.4083,193.6081,-57.4208
193.6081,193.808,-56.949
193.808,194.0078,-56.4437
194.0078,194.2077,-56.1487
194.2077,194.4075,-56.2149
194.4075,194.6073,-56.5679
194.6073,194.8072,-56.8723
194.8072,195.007,-56.6513
195.007,195.2069,-55.5413
195.2069,195.4067,-53.5011
195.4067,195.6066,-50.9533
195.6066,195.8064,-48.6475
195.8064,196.0062,-47.366
196.0062,196.2061,-47.5926



//TRACE,Optical Spectrum,Input 1 (Run 13) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.775
191.7,2.2152
191.8,2.6325
192,3.355
192.1,3.6398
192.2,3.8619
192.3,4.0163
192.4,4.1006
192.5,4.1174
192.7,3.98
192.8,3.8538
193,3.5845
193.2,3.437
193.3,3.4549
193.6,3.9372
193.7,4.2034
193.9,4.739
194,4.9424
194.1,5.0677
194.3,5.0285
194.4,4.8806
194.6,4.5128
194.7,4.4032
194.8,4.4303
194.9,4.6532
195.1,5.8287
195.4,9.3156
195.5,10.6941

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.7464
191.8095,192.0094,-56.9143
192.0094,192.2092,-56.2671
192.2092,192.4091,-55.8723
192.4091,192.6089,-55.7541
192.6089,192.8088,-55.8719
192.8088,193.0086,-56.1116
193.0086,193.2084,-56.3082
193.2084,193.4083,-56.3
193.4083,193.6081,-56.0048
193.6081,193.808,-55.4807
193.808,194.0078,-54.9242
194.0078,194.2077,-54.5843
194.2077,194.4075,-54.612
194.4075,194.6073,-54.9241
194.6073,194.8072,-55.1693
194.8072,195.007,-54.8533
195.007,195.2069,-53.6049
195.2069,195.4067,-51.388
195.4067,195.6066,-48.6524
195.6066,195.8064,-46.1889
195.8064,196.0062,-44.8208
196.0062,196.2061,-45.057



//TRACE,Optical Spectrum,Input 1 (Run 14) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3879
191.8,1.7738
191.9,2.1269
192,2.4368
192.1,2.6943
192.2,2.891
192.3,3.0221
192.5,3.083
192.6,3.0211
192.7,2.9123
192.8,2.7711
193,2.4723
193.4,2.3646
193.5,2.5068
193.6,2.7101
193.9,3.4438
194.1,3.7332
194.2,3.7443
194.4,3.4971
194.5,3.2913
194.6,3.0899
194.7,2.9528
194.8,2.9445
194.9,3.1224
195,3.5264
195.1,4.1782
195.2,5.0787
195.3,6.1817
195.4,7.4275
195.5,8.7246
195.7,11.0565
195.8,11.8837

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5875
191.8095,192.0094,-57.8159
192.0094,192.2092,-57.224
192.2092,192.4091,-56.8771
192.4091,192.6089,-56.799
192.6089,192.8088,-56.9503
192.8088,193.0086,-57.2204
193.0086,193.2084,-57.4484
193.2084,193.4083,-57.476
193.4083,193.6081,-57.2222
193.6081,193.808,-56.743
193.808,194.0078,-56.2306
194.0078,194.2077,-55.9293
194.2077,194.4075,-55.9901
194.4075,194.6073,-56.3373
194.6073,194.8072,-56.6334
194.8072,195.007,-56.399
195.007,195.2069,-55.2696
195.2069,195.4067,-53.2048
195.4067,195.6066,-50.6308
195.6066,195.8064,-48.3029
195.8064,196.0062,-47.0093
196.0062,196.2061,-47.2373



//TRACE,Optical Spectrum,Input 1 (Run 15) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.6534
191.9,2.0022
192,2.3081
192.1,2.5617
192.2,2.7549
192.5,2.9379
192.7,2.7626
192.8,2.6193
193.2,2.132
193.3,2.1289
193.5,2.338
193.7,2.7779
193.8,3.0302
193.9,3.2622
194,3.4422
194.1,3.5461
194.3,3.4693
194.4,3.3031
194.7,2.7495
194.8,2.7362
195,3.3041
195.1,3.9468
195.3,5.9287
195.4,7.1628
195.5,8.4485
195.7,10.761
