//DATASET,
//created,Wed, 03 Feb 2021 16:29:59 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.5593
191.8,2.3996
191.9,2.7749
192.1,3.3833
192.8,3.5601
193.2,3.1265
193.5,3.3845
193.8,4.1365
193.9,4.3877
194.2,4.7293
194.8,4.0273
195.3,7.4971
195.5,10.1598

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.9744
191.8095,192.0094,-57.1586
192.0094,192.2092,-56.5265
192.2092,192.4091,-56.1446
192.4091,192.6089,-56.0374
192.6089,192.8088,-56.1642
192.8088,193.0086,-56.4121
193.0086,193.2084,-56.6172
193.2084,193.4083,-56.6187
193.4083,193.6081,-56.3347
193.6081,193.808,-55.8228
193.808,194.0078,-55.2783
194.0078,194.2077,-54.9489
194.2077,194.4075,-54.9856
194.4075,194.6073,-55.3071
194.6073,194.8072,-55.5661
194.8072,195.007,-55.2723
195.007,195.2069,-54.0561
195.2069,195.4067,-51.8806
195.4067,195.6066,-49.1889
195.6066,195.8064,-46.7622
195.8064,196.0062,-45.4144
196.0062,196.2061,-45.6484

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,1.7363
192.1,2.279
192.3,2.5854
192.4,2.6393
192.5,2.6286
192.7,2.4433
193.5,1.9777
193.6,2.1711
193.8,2.6495
193.9,2.8748
194.2,3.1506
194.3,3.0603
194.4,2.8893
194.8,2.2918
195,2.8299
195.1,3.4531
195.2,4.3211
195.4,6.5982
195.5,7.8595
195.7,10.1305
195.8,10.9366

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.9577
191.8095,192.0094,-58.2126
192.0094,192.2092,-57.6449
192.2092,192.4091,-57.3191
192.4091,192.6089,-57.2587
192.6089,192.8088,-57.4248
