//DATASET,
//created,Tue, 02 Feb 2021 19:02:18 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.5971
193.6,2.1194
193.8,2.5958
194,2.9932
194.5,2.6167
195.1,3.3836
195.3,5.3128
195.5,7.7765
195.6,8.986

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.9932
191.8095,192.0094,-58.2507
192.0094,192.2092,-57.6854
192.2092,192.4091,-57.3615
192.4091,192.6089,-57.3028
192.6089,192.8088,-57.4704
192.8088,193.0086,-57.7552
193.0086,193.2084,-57.9984
193.2084,193.4083,-58.0433
193.4083,193.6081,-57.8094
193.6081,193.808,-57.3519
193.808,194.0078,-56.8606
194.0078,194.2077,-56.5779
194.2077,194.4075,-56.6547
194.4075,194.6073,-57.0189
194.6073,194.8072,-57.3398
194.8072,195.007,-57.1448
195.007,195.2069,-56.0725
195.2069,195.4067,-54.0805
195.4067,195.6066,-51.5839
195.6066,195.8064,-49.3211
195.8064,196.0062,-48.0633
196.0062,196.2061,-48.2872

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.1604
191.8,1.5376
192,2.1843
192.2,2.6241
192.3,2.7487
192.8,2.4733
193,2.1665
193.3,1.9722
193.6,2.3727
193.7,2.6094
193.8,2.8586
193.9,3.0876
194.1,3.3662
194.3,3.2849
194.4,3.1166
194.5,2.906
194.6,2.6986
195,3.0904
195.4,6.9083
195.5,8.183
195.7,10.4769
195.8,11.2908

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.8192
191.8095,192.0094,-58.0642
192.0094,192.2092,-57.4874
192.2092,192.4091,-57.1537
192.4091,192.6089,-57.0867
192.6089,192.8088,-57.2473
192.8088,193.0086,-57.5258
193.0086,193.2084,-57.7624
193.2084,193.4083,-57.7999
193.4083,193.6081,-57.5575
193.6081,193.808,-57.0907
193.808,194.0078,-56.5903
194.0078,194.2077,-56.2996
194.2077,194.4075,-56.3696
194.4075,194.6073,-56.7265
194.6073,194.8072,-57.0367
194.8072,195.007,-56.8248
195.007,195.2069,-55.7281
195.2069,195.4067,-53.7049
195.4067,195.6066,-51.1751
195.6066,195.8064,-48.8844
195.8064,196.0062,-47.6113
196.0062,196.2061,-47.8369

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,3.0467
192.2,3.2528
192.4,3.4637
192.5,3.4684
192.8,3.1745
193.3,2.7253
194,4.117
194.7,3.4933
194.8,3.4982
194.9,3.6929
195,4.1173
195.2,5.7214
195.4,8.1311
195.5,9.4585

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.2738
191.8095,192.0094,-57.4797
192.0094,192.2092,-56.8672
192.2092,192.4091,-56.5024
192.4091,192.6089,-56.4094
192.6089,192.8088,-56.5481
192.8088,193.0086,-56.8069
193.0086,193.2084,-57.0232
193.2084,193.4083,-57.0374
193.4083,193.6081,-56.7682
193.6081,193.808,-56.2722
193.808,194.0078,-55.7434
194.0078,194.2077,-55.4278
194.2077,194.4075,-55.4762
194.4075,194.6073,-55.8103
194.6073,194.8072,-56.0873
194.8072,195.007,-55.8226
195.007,195.2069,-54.6488
195.2069,195.4067,-52.5275
195.4067,195.6066,-49.8933
195.6066,195.8064,-47.515
195.8064,196.0062,-46.1936
196.0062,196.2061,-46.4247

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,2.0278
192,2.3345
192.5,2.9677
192.7,2.7933
192.9,2.4951
193.3,2.1624
193.4,2.2328
193.8,3.0669
193.9,3.2995
194.7,2.7912
195.5,8.5052
195.7,10.8217

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6814
191.8095,192.0094,-57.9165
192.0094,192.2092,-57.3307
192.2092,192.4091,-56.9891
192.4091,192.6089,-56.9155
192.6089,192.8088,-57.0706
192.8088,193.0086,-57.3441
193.0086,193.2084,-57.5756
193.2084,193.4083,-57.6072
193.4083,193.6081,-57.358
193.6081,193.808,-56.8839
193.808,194.0078,-56.3763
194.0078,194.2077,-56.0793
194.2077,194.4075,-56.1438
194.4075,194.6073,-56.495
194.6073,194.8072,-56.7968
194.8072,195.007,-56.5715
195.007,195.2069,-55.4553
195.2069,195.4067,-53.4074
195.4067,195.6066,-50.8513
195.6066,195.8064,-48.5385
