//DATASET,
//created,Tue, 02 Feb 2021 18:02:55 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.7098
191.7,2.1473
191.8,2.5621
192,3.2797
192.2,3.7823
192.4,4.0173
192.6,3.9867
192.7,3.8924
192.8,3.765
192.9,3.6247
193,3.4933
193.1,3.3926
193.2,3.3431
193.4,3.4505
193.5,3.6124
193.7,4.1008
193.8,4.3775
193.9,4.6328
194.3,4.9163
194.4,4.7671
194.5,4.5777
194.7,4.2842
194.9,4.5276
195,4.982
195.3,7.8387
195.4,9.1607
195.5,10.5325

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.8153
191.8095,192.0094,-56.9881
192.0094,192.2092,-56.3455
192.2092,192.4091,-55.9546
192.4091,192.6089,-55.8398
192.6089,192.8088,-55.9602
192.8088,193.0086,-56.2025
193.0086,193.2084,-56.4017
193.2084,193.4083,-56.3964
193.4083,193.6081,-56.1046
193.6081,193.808,-55.5841
193.808,194.0078,-55.0313
194.0078,194.2077,-54.6946
194.2077,194.4075,-54.725
194.4075,194.6073,-55.0399
194.6073,194.8072,-55.2892
194.8072,195.007,-54.98
195.007,195.2069,-53.7413
195.2069,195.4067,-51.537
195.4067,195.6066,-48.8147
195.6066,195.8064,-46.3623
195.8064,196.0062,-45.0003
196.0062,196.2061,-45.2358

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.1331
191.7,1.5473
192.2,3.0781
192.3,3.2136
192.6,3.2238
192.9,2.8287
193.1,2.5746
193.3,2.516
193.6,2.9465
193.7,3.194
194,3.8801
194.6,3.364
194.8,3.2307
194.9,3.4173
195.2,5.4109
195.4,7.7912
195.5,9.104
195.6,10.364

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4253
191.8095,192.0094,-57.642
192.0094,192.2092,-57.0395
192.2092,192.4091,-56.6833
192.4091,192.6089,-56.5975
192.6089,192.8088,-56.7424
192.8088,193.0086,-57.0066
193.0086,193.2084,-57.2285
193.2084,193.4083,-57.2492
193.4083,193.6081,-56.9874
193.6081,193.808,-56.4996
193.808,194.0078,-55.9787
194.0078,194.2077,-55.67
194.2077,194.4075,-55.7244
194.4075,194.6073,-56.0648
194.6073,194.8072,-56.351
194.8072,195.007,-56.101
195.007,195.2069,-54.9486
195.2069,195.4067,-52.8546
195.4067,195.6066,-50.2495
195.6066,195.8064,-47.8956
195.8064,196.0062,-46.5876
196.0062,196.2061,-46.8172

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.4,3.2747
192.8,2.9731
193.1,2.5678
193.3,2.509
193.8,3.4463
194.3,3.9161
194.4,3.7552
194.7,3.2234
195.1,4.4862
195.2,5.4005
195.4,7.7798
195.5,9.0921

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4304
191.8095,192.0094,-57.6475
192.0094,192.2092,-57.0453
192.2092,192.4091,-56.6894
192.4091,192.6089,-56.6039
192.6089,192.8088,-56.7489
192.8088,193.0086,-57.0133
193.0086,193.2084,-57.2354
193.2084,193.4083,-57.2563
193.4083,193.6081,-56.9948
193.6081,193.808,-56.5072
193.808,194.0078,-55.9866
194.0078,194.2077,-55.6781
194.2077,194.4075,-55.7327
194.4075,194.6073,-56.0733
194.6073,194.8072,-56.3599
194.8072,195.007,-56.1103
195.007,195.2069,-54.9587
195.2069,195.4067,-52.8656
195.4067,195.6066,-50.2615
195.6066,195.8064,-47.9084
195.8064,196.0062,-46.6009
196.0062,196.2061,-46.8304

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9732
191.7,1.381
191.8,1.7666
191.9,2.1194
192,2.4291
192.1,2.6864
192.2,2.8829
192.3,3.0138
192.5,3.0743
192.6,3.0123
192.7,2.9034
192.9,2.6082
193,2.463
193.1,2.3479
193.2,2.2829
193.3,2.2822
193.5,2.4967
193.6,2.6998
193.7,2.9427
193.8,3.1981
193.9,3.4329
194,3.6157
194.1,3.722
194.2,3.733
194.3,3.6495
194.4,3.4855
194.6,3.078
194.9,3.1096
195,3.5131
195.1,4.1643
195.4,7.4117
195.5,8.7081
195.6,9.9531
195.7,11.0389
195.8,11.8657

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5946
191.8095,192.0094,-57.8234
192.0094,192.2092,-57.232
