//DATASET,
//created,Tue, 16 Feb 2021 13:41:47 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8204
191.7,1.222
191.8,1.6015
192,2.2526
192.1,2.5047
192.2,2.6963
193.4,2.1273
193.5,2.2652
193.6,2.464
193.9,3.184
194.3,3.3867
194.4,3.2196
194.5,3.0102
194.9,2.8154
195,3.2083
195.2,4.7327
195.3,5.8197
195.4,7.0488
195.5,8.3296
195.6,9.5601
195.7,10.6337

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7565
191.8095,192.0094,-57.997
192.0094,192.2092,-57.4161
192.2092,192.4091,-57.0788
192.4091,192.6089,-57.0088
192.6089,192.8088,-57.1669
192.8088,193.0086,-57.4431
193.0086,193.2084,-57.6774
193.2084,193.4083,-57.7123
193.4083,193.6081,-57.4667
193.6081,193.808,-56.9966
193.808,194.0078,-56.4929
194.0078,194.2077,-56.1994
194.2077,194.4075,-56.2669
194.4075,194.6073,-56.6212
194.6073,194.8072,-56.9275
194.8072,195.007,-56.7096
195.007,195.2069,-55.604
195.2069,195.4067,-53.5696
195.4067,195.6066,-51.0278
195.6066,195.8064,-48.7271
195.8064,196.0062,-47.4484
196.0062,196.2061,-47.6747

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.5914
192,2.6627
192.1,2.9269
192.2,3.1299
192.3,3.2667
192.4,3.3351
192.5,3.3375
192.6,3.2799
192.7,3.175
192.9,2.8873
193,2.746
193.1,2.6348
193.2,2.5741
193.3,2.5781
193.4,2.6557
193.5,2.8032
193.6,3.012
193.8,3.522
193.9,3.7625
194,3.9504
194.1,4.0615
194.3,3.9975
194.4,3.8375
194.5,3.6361
194.6,3.44
194.7,3.3097
194.8,3.3101
194.9,3.4991
195,3.9165
195.1,4.5843
195.2,5.503
195.3,6.6259
195.4,7.8921
195.5,9.2092
195.6,10.4732
195.7,11.5753

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3804
191.8095,192.0094,-57.5939
192.0094,192.2092,-56.9883
192.2092,192.4091,-56.6296
192.4091,192.6089,-56.5417
192.6089,192.8088,-56.6847
192.8088,193.0086,-56.9473
193.0086,193.2084,-57.1676
193.2084,193.4083,-57.1864
193.4083,193.6081,-56.9223
193.6081,193.808,-56.4321
193.808,194.0078,-55.9089
194.0078,194.2077,-55.5981
194.2077,194.4075,-55.6507
194.4075,194.6073,-55.9893
194.6073,194.8072,-56.2728
194.8072,195.007,-56.0183
195.007,195.2069,-54.8597
195.2069,195.4067,-52.7576
195.4067,195.6066,-50.1438
195.6066,195.8064,-47.7826
195.8064,196.0062,-46.4707
196.0062,196.2061,-46.7007

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9662
191.7,1.3736
192,2.421
192.2,2.8743
192.3,3.005
192.4,3.0678
193,2.4532
193.2,2.2727
193.3,2.2719
193.5,2.486
193.6,2.6889
193.7,2.9316
194,3.604
194.1,3.7101
194.2,3.721
194.3,3.6374
194.4,3.4732
194.5,3.2671
194.6,3.0654
195,3.499
195.1,4.1497
195.2,5.0489
195.3,6.1506
195.4,7.395
195.5,8.6906
195.6,9.935
195.7,11.0202

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.602
191.8095,192.0094,-57.8315
192.0094,192.2092,-57.2405
192.2092,192.4091,-56.8944
192.4091,192.6089,-56.817
192.6089,192.8088,-56.9689
192.8088,193.0086,-57.2395
193.0086,193.2084,-57.4681
193.2084,193.4083,-57.4963
193.4083,193.6081,-57.2432
193.6081,193.808,-56.7648
193.808,194.0078,-56.2531
194.0078,194.2077,-55.9525
194.2077,194.4075,-56.0139
194.4075,194.6073,-56.3617
194.6073,194.8072,-56.6587
194.8072,195.007,-56.4257
195.007,195.2069,-55.2984
195.2069,195.4067,-53.2362
