//DATASET,
//created,Wed, 03 Feb 2021 13:28:32 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0223
191.8,1.8196
191.9,2.1743
192,2.4858
192.1,2.7447
192.2,2.9428
192.4,3.1394
192.5,3.1381
192.6,3.0772
192.7,2.9692
192.8,2.8288
192.9,2.6759
193,2.5317
193.1,2.4175
193.2,2.3535
193.3,2.354
193.4,2.4277
193.5,2.571
193.6,2.7755
193.7,3.0198
193.8,3.2766
193.9,3.5129
194,3.6968
194.1,3.8043
194.2,3.8164
194.3,3.7339
194.4,3.5708
194.5,3.3661
194.6,3.1658
194.7,3.0302
194.8,3.0237
194.9,3.2041
195,3.611
195.1,4.2662
195.2,5.1707
195.3,6.278
195.4,7.5282
195.5,8.8296
195.6,10.0792
195.7,11.169
195.8,11.9987

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5426
191.8095,192.0094,-57.7677
192.0094,192.2092,-57.1729
192.2092,192.4091,-56.8234
192.4091,192.6089,-56.7432
192.6089,192.8088,-56.8927
192.8088,193.0086,-57.1612
193.0086,193.2084,-57.3875
193.2084,193.4083,-57.4132
193.4083,193.6081,-57.1572
193.6081,193.808,-56.6756
193.808,194.0078,-56.1608
194.0078,194.2077,-55.8575
194.2077,194.4075,-55.9165
194.4075,194.6073,-56.2618
194.6073,194.8072,-56.5552
194.8072,195.007,-56.3165
195.007,195.2069,-55.1807
195.2069,195.4067,-53.1079
195.4067,195.6066,-50.5252
195.6066,195.8064,-48.1901
195.8064,196.0062,-46.8926
196.0062,196.2061,-47.1209

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3734
191.9,2.1113
192,2.4207
192.1,2.6777
192.2,2.874
192.3,3.0047
192.4,3.0675
192.5,3.0648
192.6,3.0027
192.7,2.8936
192.8,2.7521
192.9,2.5981
193,2.4528
193.1,2.3376
193.2,2.2724
193.3,2.2716
193.4,2.3439
193.5,2.4857
193.6,2.6886
193.8,3.1864
193.9,3.4211
194,3.6036
194.1,3.7098
194.4,3.4728
194.5,3.2667
194.6,3.0649
194.7,2.9274
194.9,3.0956
195,3.4986
195.1,4.1492
195.2,5.0484
195.4,7.3944
195.5,8.6901
195.6,9.9344
195.7,11.0196
195.8,11.8459

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6023
191.8095,192.0094,-57.8317
192.0094,192.2092,-57.2408
192.2092,192.4091,-56.8947
192.4091,192.6089,-56.8173
192.6089,192.8088,-56.9692
192.8088,193.0086,-57.2399
193.0086,193.2084,-57.4684
193.2084,193.4083,-57.4966
193.4083,193.6081,-57.2435
193.6081,193.808,-56.7652
193.808,194.0078,-56.2535
194.0078,194.2077,-55.9529
194.2077,194.4075,-56.0143
194.4075,194.6073,-56.3621
194.6073,194.8072,-56.6591
194.8072,195.007,-56.4262
195.007,195.2069,-55.2989
195.2069,195.4067,-53.2367
195.4067,195.6066,-50.6655
195.6066,195.8064,-48.34
195.8064,196.0062,-47.0477
196.0062,196.2061,-47.2755

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.8686
191.9,2.225
192.8,2.8906
192.9,2.7385
193,2.5951
193.1,2.4818
193.4,2.4952
