//DATASET,
//created,Sat, 06 Feb 2021 20:41:30 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.3726
191.7,1.7964
191.9,2.566
192,2.8902
192.2,3.3705
192.3,3.5131
192.5,3.5938
192.6,3.5405
192.7,3.4396
192.9,3.1592
193,3.0216
193.1,2.9143
193.2,2.8577
193.5,3.1016
193.6,3.316
193.8,3.8375
193.9,4.0834
194,4.2764
194.1,4.3922
194.2,4.4117
194.3,4.3363
194.4,4.1803
194.5,3.9833
194.6,3.7926
194.7,3.669
194.8,3.6782
195,4.3094
195.1,4.9932
195.2,5.9303
195.4,8.3599
195.5,9.6971
195.7,12.0976

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1719
191.8095,192.0094,-57.3704
192.0094,192.2092,-56.7512
192.2092,192.4091,-56.3806
192.4091,192.6089,-56.2828
192.6089,192.8088,-56.4175
192.8088,193.0086,-56.6725
193.0086,193.2084,-56.885
193.2084,193.4083,-56.8949
193.4083,193.6081,-56.6206
193.6081,193.808,-56.1193
193.808,194.0078,-55.5851
194.0078,194.2077,-55.2648
194.2077,194.4075,-55.3092
194.4075,194.6073,-55.639
194.6073,194.8072,-55.9099
194.8072,195.007,-55.6352
195.007,195.2069,-54.4471
195.2069,195.4067,-52.3073
195.4067,195.6066,-49.6536
195.6066,195.8064,-47.2588
195.8064,196.0062,-45.9285
196.0062,196.2061,-46.1605

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.4311
191.9,2.1733
192,2.4847
192.1,2.7436
192.2,2.9417
193,2.5304
193.1,2.4162
193.3,2.3526
193.4,2.4263
193.6,2.7741
193.8,3.2752
193.9,3.5114
194.3,3.7323
194.6,3.1641
195.2,5.1686
195.4,7.526
195.5,8.8273
195.7,11.1665

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5436
191.8095,192.0094,-57.7688
192.0094,192.2092,-57.174
192.2092,192.4091,-56.8246
192.4091,192.6089,-56.7444
192.6089,192.8088,-56.894
192.8088,193.0086,-57.1625
193.0086,193.2084,-57.3888
193.2084,193.4083,-57.4146
193.4083,193.6081,-57.1586
193.6081,193.808,-56.6771
193.808,194.0078,-56.1623
194.0078,194.2077,-55.859
194.2077,194.4075,-55.9181
194.4075,194.6073,-56.2635
194.6073,194.8072,-56.5569
194.8072,195.007,-56.3183
195.007,195.2069,-55.1827
195.2069,195.4067,-53.11
195.4067,195.6066,-50.5275
195.6066,195.8064,-48.1926
195.8064,196.0062,-46.8951
196.0062,196.2061,-47.1235

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.7978
191.8,2.6571
192.2,3.8898
192.3,4.0448
192.5,4.1471
192.6,4.1031
192.8,3.8849
192.9,3.7462
193,3.6164
193.2,3.4699
193.3,3.4882
193.5,3.7458
193.7,4.2392
194.1,5.106
194.2,5.1347
194.3,5.0677
194.4,4.9203
194.5,4.7329
194.7,4.4448
194.9,4.6971
195,5.1575
195.2,6.8528
195.5,10.7505

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.7223
191.8095,192.0094,-56.8884
192.0094,192.2092,-56.2397
192.2092,192.4091,-55.8435
192.4091,192.6089,-55.7242
192.6089,192.8088,-55.841
192.8088,193.0086,-56.0798
193.0086,193.2084,-56.2756
193.2084,193.4083,-56.2664
193.4083,193.6081,-55.9699
193.6081,193.808,-55.4445
193.808,194.0078,-54.8868
194.0078,194.2077,-54.5458
194.2077,194.4075,-54.5725
194.4075,194.6073,-54.8836
194.6073,194.8072,-55.1273
194.8072,195.007,-54.8091
195.007,195.2069,-53.5572
195.2069,195.4067,-51.3359
195.4067,195.6066,-48.5957
195.6066,195.8064,-46.1282
195.8064,196.0062,-44.758
196.0062,196.2061,-44.9945

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3157
191.8,1.6988
191.9,2.0493
192,2.3567
192.1,2.6118
192.3,2.9353
192.4,2.9967
192.6,2.9293
192.7,2.8191
192.8,2.6766
192.9,2.5216
193,2.3753
193.1,2.2589
193.3,2.1905
193.4,2.2614
193.5,2.4017
193.7,2.844
193.8,3.0976
193.9,3.3307
194,3.5118
194.1,3.6167
194.4,3.3763
194.5,3.169
194.7,2.8262
194.8,2.8148
194.9,2.9888
195.1,4.0341
195.2,4.9281
195.4,7.2627
195.5,8.5527
195.6,9.7918
195.7,10.8725
195.8,11.6955

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.661
191.8095,192.0094,-57.8947
192.0094,192.2092,-57.3076
192.2092,192.4091,-56.9649
192.4091,192.6089,-56.8903
192.6089,192.8088,-57.0445
192.8088,193.0086,-57.3173
193.0086,193.2084,-57.548
193.2084,193.4083,-57.5788
193.4083,193.6081,-57.3286
193.6081,193.808,-56.8533
193.808,194.0078,-56.3447
194.0078,194.2077,-56.0468
194.2077,194.4075,-56.1105
194.4075,194.6073,-56.4608
194.6073,194.8072,-56.7614
194.8072,195.007,-56.5342
195.007,195.2069,-55.4151
195.2069,195.4067,-53.3635
195.4067,195.6066,-50.8035
195.6066,195.8064,-48.4875
195.8064,196.0062,-47.2004
196.0062,196.2061,-47.4276

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3679
191.9,2.1054
192.1,2.6715
192.2,2.8676
192.3,2.9981
192.4,3.0608
192.5,3.058
