//DATASET,
//created,Mon, 15 Feb 2021 22:38:43 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9641
191.7,1.3715
191.8,1.7567
192,2.4186
192.2,2.8717
192.8,2.7496
193.2,2.2697
193.3,2.2689
193.4,2.3411
193.5,2.4829
193.9,3.418
194.1,3.7066
194.2,3.7175
194.4,3.4696
194.5,3.2635
194.6,3.0616
194.7,2.924
194.8,2.915
195,3.4949
195.1,4.1454
195.3,6.1459
195.4,7.39
195.5,8.6855
195.6,9.9296
195.7,11.0147

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6042
191.8095,192.0094,-57.8338
192.0094,192.2092,-57.243
192.2092,192.4091,-56.897
192.4091,192.6089,-56.8198
192.6089,192.8088,-56.9717
192.8088,193.0086,-57.2425
193.0086,193.2084,-57.4711
193.2084,193.4083,-57.4994
193.4083,193.6081,-57.2464
193.6081,193.808,-56.7681
193.808,194.0078,-56.2565
194.0078,194.2077,-55.956
194.2077,194.4075,-56.0175
194.4075,194.6073,-56.3654
194.6073,194.8072,-56.6625
194.8072,195.007,-56.4298
195.007,195.2069,-55.3027
195.2069,195.4067,-53.2409
195.4067,195.6066,-50.6701
195.6066,195.8064,-48.3449
195.8064,196.0062,-47.0528
196.0062,196.2061,-47.2806

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8933
191.8,1.6803
192,2.3368
192.1,2.5913
192.2,2.7853
192.3,2.9139
193,2.3512
193.1,2.2346
193.3,2.1653
193.6,2.5765
193.7,2.817
193.8,3.0701
193.9,3.3027
194,3.4834
194.3,3.5121
194.7,2.7949
194.8,2.7827
194.9,2.9557
195,3.3537
195.1,3.9984
195.3,5.9852
195.4,7.2219
195.5,8.5101
195.6,9.7476
195.8,11.6489

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.6792
191.8095,192.0094,-57.9142
192.0094,192.2092,-57.3283
192.2092,192.4091,-56.9866
192.4091,192.6089,-56.9129
192.6089,192.8088,-57.0679
192.8088,193.0086,-57.3413
193.0086,193.2084,-57.5727
193.2084,193.4083,-57.6042
193.4083,193.6081,-57.3549
193.6081,193.808,-56.8807
193.808,194.0078,-56.373
194.0078,194.2077,-56.0759
194.2077,194.4075,-56.1403
194.4075,194.6073,-56.4914
194.6073,194.8072,-56.7931
194.8072,195.007,-56.5676
195.007,195.2069,-55.4511
195.2069,195.4067,-53.4028
195.4067,195.6066,-50.8463
195.6066,195.8064,-48.5332
195.8064,196.0062,-47.2477
196.0062,196.2061,-47.4747

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.8339
192.3,3.5581
192.5,3.6406
192.9,3.2089
193.5,3.1561
193.9,4.1421
194.5,4.0468
195.5,9.7864

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1338
191.8095,192.0094,-57.3296
192.0094,192.2092,-56.7079
192.2092,192.4091,-56.3351
192.4091,192.6089,-56.2354
192.6089,192.8088,-56.3686
192.8088,193.0086,-56.6223
193.0086,193.2084,-56.8334
193.2084,193.4083,-56.8416
193.4083,193.6081,-56.5655
193.6081,193.808,-56.0621
193.808,194.0078,-55.5259
194.0078,194.2077,-55.2038
194.2077,194.4075,-55.2468
194.4075,194.6073,-55.575
194.6073,194.8072,-55.8436
194.8072,195.007,-55.5652
195.007,195.2069,-54.3717
195.2069,195.4067,-52.225
195.4067,195.6066,-49.564
195.6066,195.8064,-47.1631
195.8064,196.0062,-45.8293
196.0062,196.2061,-46.0617

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
192.3,2.0722
192.4,2.1152
192.5,2.0945
192.9,1.5688
193.1,1.2798
193.6,1.5376
194.6,1.7303
194.9,1.6598
195.5,6.8428
195.7,9.0422
195.8,9.8234

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.3933
191.8095,192.0094,-58.6795
192.0094,192.2092,-58.1403
192.2092,192.4091,-57.8392
192.4091,192.6089,-57.7995
192.6089,192.8088,-57.9832
192.8088,193.0086,-58.2826
193.0086,193.2084,-58.5409
193.2084,193.4083,-58.6029
193.4083,193.6081,-58.3887
193.6081,193.808,-57.9524
193.808,194.0078,-57.4819
194.0078,194.2077,-57.2174
194.2077,194.4075,-57.3101
194.4075,194.6073,-57.6913
194.6073,194.8072,-58.0366
194.8072,195.007,-57.8805
195.007,195.2069,-56.8643
195.2069,195.4067,-54.9438
195.4067,195.6066,-52.5231
195.6066,195.8064,-50.3242
195.8064,196.0062,-49.1015
196.0062,196.2061,-49.3216

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3516
192,2.3965
