//DATASET,
//created,Mon, 01 Feb 2021 15:42:55 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.0896
191.8095,192.0094,-58.354
192.0094,192.2092,-57.7949
192.2092,192.4091,-57.4766
192.4091,192.6089,-57.4224
192.6089,192.8088,-57.5939
192.8088,193.0086,-57.8822
193.0086,193.2084,-58.129
193.2084,193.4083,-58.1781
193.4083,193.6081,-57.9489
193.6081,193.808,-57.4965
193.808,194.0078,-57.0102
194.0078,194.2077,-56.7319
194.2077,194.4075,-56.8125
194.4075,194.6073,-57.1808
194.6073,194.8072,-57.5076
194.8072,195.007,-57.3219
195.007,195.2069,-56.2632
195.2069,195.4067,-54.2885
195.4067,195.6066,-51.8101
195.6066,195.8064,-49.5628
195.8064,196.0062,-48.3134
196.0062,196.2061,-48.5364

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,1.5972
192.3,2.4299
192.4,2.4805
192.7,2.2763
192.8,2.1261
193.2,1.6107
193.3,1.5993
193.4,1.66
193.9,2.6723
194.7,2.0889
194.8,2.0595
195.1,3.195
195.5,7.5515
195.7,9.8008
195.8,10.5993

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5336
191.8095,192.0094,-57.7581
192.0094,192.2092,-57.1626
192.2092,192.4091,-56.8126
192.4091,192.6089,-56.732
192.6089,192.8088,-56.8811
192.8088,193.0086,-57.1493
193.0086,193.2084,-57.3753
193.2084,193.4083,-57.4006
193.4083,193.6081,-57.1441
193.6081,193.808,-56.6621
193.808,194.0078,-56.1468
194.0078,194.2077,-55.843
194.2077,194.4075,-55.9017
194.4075,194.6073,-56.2467
194.6073,194.8072,-56.5395
194.8072,195.007,-56.2999
195.007,195.2069,-55.1629
195.2069,195.4067,-53.0884
195.4067,195.6066,-50.504
195.6066,195.8064,-48.1675
195.8064,196.0062,-46.8691
196.0062,196.2061,-47.0976

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.4409
192.5,3.1492
193.1,2.4296
193.4,2.4404
