//DATASET,
//created,Mon, 15 Feb 2021 21:26:36 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,2.0729
191.8,2.4848
192.1,3.4772
192.3,3.8453
192.4,3.926
192.5,3.9395
192.7,3.7964
192.8,3.6676
193.3,3.2549
193.5,3.5041
193.6,3.7261
193.8,4.2629
194.3,4.7933
195,4.8393
195.3,7.6763
195.5,10.3553

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.8909
191.8095,192.0094,-57.0692
192.0094,192.2092,-56.4315
192.2092,192.4091,-56.045
192.4091,192.6089,-55.9337
192.6089,192.8088,-56.0572
192.8088,193.0086,-56.3021
193.0086,193.2084,-56.5042
193.2084,193.4083,-56.5021
193.4083,193.6081,-56.214
193.6081,193.808,-55.6976
193.808,194.0078,-55.1487
194.0078,194.2077,-54.8155
194.2077,194.4075,-54.8488
194.4075,194.6073,-55.167
194.6073,194.8072,-55.4208
194.8072,195.007,-55.1189
195.007,195.2069,-53.891
195.2069,195.4067,-51.7003
195.4067,195.6066,-48.9926
195.6066,195.8064,-46.5524
195.8064,196.0062,-45.1971
196.0062,196.2061,-45.432

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.0667
191.7,1.4782
191.8,1.8675
191.9,2.2239
192,2.537
192.1,2.7975
192.2,2.997
192.3,3.1306
192.4,3.1961
192.5,3.1959
192.6,3.136
192.7,3.0288
192.8,2.8893
192.9,2.7371
193,2.5937
193.1,2.4805
193.2,2.4174
193.3,2.4189
193.4,2.4937
193.5,2.6383
193.6,2.844
193.7,3.0896
193.8,3.3477
193.9,3.5852
194,3.7703
194.1,3.8788
194.2,3.8919
194.3,3.8103
194.4,3.6481
194.5,3.4443
194.6,3.2452
194.7,3.1111
194.8,3.1067
194.9,3.2895
195,3.6995
195.1,4.3583
195.2,5.2669
195.3,6.3788
195.4,7.6336
195.5,8.9396
195.6,10.1934
195.7,11.2867
195.8,12.1191

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4956
191.8095,192.0094,-57.7174
192.0094,192.2092,-57.1194
192.2092,192.4091,-56.7673
192.4091,192.6089,-56.6848
192.6089,192.8088,-56.8324
192.8088,193.0086,-57.0992
193.0086,193.2084,-57.3238
193.2084,193.4083,-57.3475
193.4083,193.6081,-57.0891
193.6081,193.808,-56.6051
193.808,194.0078,-56.0878
194.0078,194.2077,-55.7823
194.2077,194.4075,-55.8395
194.4075,194.6073,-56.1829
194.6073,194.8072,-56.4734
194.8072,195.007,-56.2301
195.007,195.2069,-55.0877
195.2069,195.4067,-53.0064
195.4067,195.6066,-50.4147
195.6066,195.8064,-48.0721
195.8064,196.0062,-46.7704
196.0062,196.2061,-46.9992

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9533
191.7,1.3602
191.9,2.0971
192.1,2.6627
192.2,2.8585
192.3,2.9889
192.4,3.0513
192.5,3.0483
192.6,2.986
192.7,2.8766
192.9,2.5806
