//DATASET,
//created,Sun, 07 Feb 2021 22:54:44 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.3683
191.8,2.1932
191.9,2.5612
192,2.8853
192.2,3.3652
192.3,3.5077
192.4,3.5812
192.5,3.5882
192.6,3.5348
192.7,3.4338
192.8,3.2999
192.9,3.1533
193.1,2.9082
193.2,2.8515
193.3,2.8599
193.4,2.9424
193.5,3.0951
193.7,3.5638
193.8,3.8306
193.9,4.0764
194,4.2693
194.2,4.4044
194.3,4.3289
194.4,4.1728
194.5,3.9757
194.8,3.6702
194.9,3.8701
195,4.3008
195.2,5.921
195.3,7.0633
195.5,9.6865
195.8,12.9369

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.1764
191.8095,192.0094,-57.3753
192.0094,192.2092,-56.7564
192.2092,192.4091,-56.3861
192.4091,192.6089,-56.2884
192.6089,192.8088,-56.4233
192.8088,193.0086,-56.6785
193.0086,193.2084,-56.8912
193.2084,193.4083,-56.9013
193.4083,193.6081,-56.6272
193.6081,193.808,-56.1261
193.808,194.0078,-55.5922
194.0078,194.2077,-55.272
194.2077,194.4075,-55.3167
194.4075,194.6073,-55.6467
194.6073,194.8072,-55.9178
194.8072,195.007,-55.6436
195.007,195.2069,-54.4561
195.2069,195.4067,-52.3172
195.4067,195.6066,-49.6643
195.6066,195.8064,-47.2703
195.8064,196.0062,-45.9403
196.0062,196.2061,-46.1723

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.8797
191.9,2.2366
192,2.5501
192.1,2.811
192.3,3.1448
192.5,3.2106
192.6,3.1509
192.8,2.9047
192.9,2.7527
193,2.6096
193.1,2.4965
193.2,2.4337
193.3,2.4354
193.4,2.5106
193.5,2.6554
193.6,2.8615
193.7,3.1074
193.8,3.3658
193.9,3.6036
194,3.789
194.3,3.8297
194.4,3.6678
194.6,3.2655
194.7,3.1318
194.8,3.1278
194.9,3.3113
195,3.722
195.2,5.2915
195.3,6.4044
195.5,8.9676
195.7,11.3167
195.8,12.1498

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.4836
191.8095,192.0094,-57.7045
192.0094,192.2092,-57.1058
192.2092,192.4091,-56.753
192.4091,192.6089,-56.6699
192.6089,192.8088,-56.8171
192.8088,193.0086,-57.0834
193.0086,193.2084,-57.3076
193.2084,193.4083,-57.3307
193.4083,193.6081,-57.0718
193.6081,193.808,-56.5871
193.808,194.0078,-56.0692
194.0078,194.2077,-55.7632
194.2077,194.4075,-55.8199
194.4075,194.6073,-56.1627
194.6073,194.8072,-56.4525
194.8072,195.007,-56.2081
195.007,195.2069,-55.064
195.2069,195.4067,-52.9805
195.4067,195.6066,-50.3866
195.6066,195.8064,-48.042
195.8064,196.0062,-46.7392
196.0062,196.2061,-46.9682

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.8059
191.9,1.9323
192,2.2359
192.1,2.4874
192.3,2.8046
192.4,2.8631
192.6,2.791
192.7,2.6787
192.9,2.3772
193,2.229
193.1,2.1106
193.3,2.0375
193.8,2.9301
193.9,3.1604
194,3.3388
194.1,3.4411
194.2,3.4486
194.4,3.1943
194.5,2.9847
194.6,2.7785
194.7,2.6354
194.8,2.6194
194.9,2.7875
195,3.1794
195.2,4.7013
195.3,5.7868
195.4,7.0144
195.5,8.2936
195.6,9.5228
195.7,10.5952
195.8,11.4119

//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.7719
191.8095,192.0094,-58.0135
192.0094,192.2092,-57.4336
192.2092,192.4091,-57.0972
192.4091,192.6089,-57.0279
192.6089,192.8088,-57.1866
192.8088,193.0086,-57.4634
193.0086,193.2084,-57.6983
193.2084,193.4083,-57.7337
193.4083,193.6081,-57.489
193.6081,193.808,-57.0197
193.808,194.0078,-56.5168
194.0078,194.2077,-56.224
194.2077,194.4075,-56.2921
194.4075,194.6073,-56.647
194.6073,194.8072,-56.9543
194.8072,195.007,-56.7379
195.007,195.2069,-55.6344
195.2069,195.4067,-53.6028
195.4067,195.6066,-51.0639
195.6066,195.8064,-48.7657
195.8064,196.0062,-47.4883
