//DATASET,
//created,Sun, 22 Nov 2020 21:09:22 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
187.363,187.4628,-73.5529
187.4628,187.5627,-73.3451
187.5627,187.6625,-73.1171
187.6625,187.7623,-72.8674
187.7623,187.8622,-72.595
187.8622,187.962,-72.3
187.962,188.0619,-71.9826
188.0619,188.1617,-71.6436
188.1617,188.2616,-71.284
188.2616,188.3614,-70.9056
188.3614,188.4612,-70.5101
188.4612,188.5611,-70.0997
188.5611,188.6609,-69.6768
188.6609,188.7608,-69.244
188.7608,188.8606,-68.8039
188.8606,188.9605,-68.3594
188.9605,189.0603,-67.9131
189.0603,189.1602,-67.4678
189.1602,189.26,-67.026
189.26,189.3598,-66.5902
189.3598,189.4597,-66.1623
189.4597,189.5595,-65.744
189.5595,189.6594,-65.3366
189.6594,189.7592,-64.9405
189.7592,189.8591,-64.5557
189.8591,189.9589,-64.1813
189.9589,190.0588,-63.816
190.0588,190.1586,-63.4573
190.1586,190.2584,-63.1022
190.2584,190.3583,-62.7474
190.3583,190.4581,-62.3888
190.4581,190.558,-62.0222
190.558,190.6578,-61.6435
190.6578,190.7577,-61.2491
190.7577,190.8575,-60.8358
190.8575,190.9573,-60.4008
190.9573,191.0572,-59.9417
191.0572,191.157,-59.4701
191.157,191.2569,-58.9704
191.2569,191.3567,-58.4544
191.3567,191.4566,-57.9269
191.4566,191.5564,-57.3952
191.5564,191.6562,-56.8682
191.6562,191.7561,-56.3559
191.7561,191.8559,-55.8694
191.8559,191.9558,-55.4201
191.9558,192.0556,-55.019
192.0556,192.1555,-54.6764
192.1555,192.2553,-54.4002
192.2553,192.3552,-54.196
192.3552,192.455,-54.0652
192.455,192.5548,-54.0054
192.5548,192.6547,-54.0087
192.6547,192.7545,-54.0629
192.7545,192.8544,-54.1506
192.8544,192.9542,-54.251
192.9542,193.0541,-54.3414
193.0541,193.1539,-54.3985
193.1539,193.2538,-54.4021
193.2538,193.3536,-54.3369
193.3536,193.4534,-54.1955
193.4534,193.5533,-53.9795
193.5533,193.6531,-53.7016
193.6531,193.753,-53.3838
