//DATASET,
//created,Thu, 03 Dec 2020 23:24:53 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.4043944097377
191.80953125,192.009375,-57.6196171734366
192.009375,192.20921875,-57.0156810921847
192.20921875,192.4090625,-56.6583505296427
192.4090625,192.60890625,-56.5715532150163
192.60890625,192.80875,-56.7155378654391
192.80875,193.00859375,-56.9790159201163
193.00859375,193.2084375,-57.2001646175717
193.2084375,193.40828125,-57.2199661461766
193.40828125,193.608125,-56.9571317217538
193.608125,193.80796875,-56.4682013305636
193.80796875,194.0078125,-55.946196024572
194.0078125,194.20765625,-55.6365182666654
194.20765625,194.4075,-55.6901105552832
194.4075,194.60734375,-56.0296414351001
194.60734375,194.8071875,-56.3146099759756
194.8071875,195.00703125,-56.062512461104
195.00703125,195.206875,-54.9072486909502
195.206875,195.40671875,-52.8094590583673
195.40671875,195.6065625,-50.200360584219
195.6065625,195.80640625,-47.8430327011794
195.80640625,196.00625,-46.5332453823236
196.00625,196.20609375,-46.7629883750518

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.15283827730989
191.8,1.96054247289944
191.9,2.32027124387242
192.3,3.23833988785223
192.4,3.30611386847192
192.5,3.30793730661
192.6,3.24989844006041
192.7,3.14451219010735
192.8,3.0065526311092
192.9,2.85600075163105
193,2.71423084972138
193.9,3.72547814383058
194,3.91283671873203
194.1,4.02340753085535
194.2,4.03827865100354
194.3,3.95839593047691
194.4,3.79795726708731
194.5,3.59608847649856
194.6,3.3993788315066
194.7,3.2682550568588
194.8,3.26765613141793
194.9,3.45536089077478
195,3.87124732987634
195.1,4.5371487494021
195.3,6.57431501258959
195.5,9.15292688643831
195.9,12.8551196156996

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.7796098104942
191.80953125,192.009375,-58.0217758937934
192.009375,192.20921875,-57.4424405803983
192.20921875,192.4090625,-57.1064673112596
192.4090625,192.60890625,-57.0375392442092
192.60890625,192.80875,-57.1965377023311
192.80875,193.00859375,-57.4736157459115
193.00859375,193.2084375,-57.7087962690884
193.2084375,193.40828125,-57.7445918796119
193.40828125,193.608125,-57.5002148059367
193.608125,193.80796875,-57.0313036943251
193.80796875,194.0078125,-56.5288623537099
194.0078125,194.20765625,-56.2363724727118
194.20765625,194.4075,-56.3047652836131
194.4075,194.60734375,-56.6600234320125
194.60734375,194.8071875,-56.9678156621324
194.8071875,195.00703125,-56.7521106500102
195.00703125,195.206875,-55.6497677556895
195.206875,195.40671875,-53.6194977244457
195.40671875,195.6065625,-51.0821475837371
195.6065625,195.80640625,-48.7851350140156
195.80640625,196.00625,-47.5084814188529
196.00625,196.20609375,-47.7345329390909

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.798603792517625
191.8,1.57796566691698
191.9,1.92413558277878
192,2.22743220708024
192.1,2.47870280955851
192.2,2.6696402011153
192.3,2.79542793843368
192.4,2.85378015068865
192.5,2.84707936043018
192.6,2.78131523423303
192.7,2.66882728334607
192.8,2.52418888377498
193,2.21874892291657
193.1,2.10021190480152
193.2,2.03146918789855
193.3,2.02678553212801
193.4,2.0948776608778
193.5,2.23216439128969
193.6,2.4302978159558
193.7,2.66808675169998
193.8,2.91841935519084
193.9,3.14843360693245
194,3.32664915703611
194.1,3.42885574508925
194.2,3.43614420056888
194.3,3.34915139340018
194.4,3.18158418271843
194.6,2.76544164601041
194.7,2.62208077954825
194.8,2.60569760187831
194.9,2.77337434340299
195,3.16481084581017
195.1,3.8018085262438
195.2,4.68540678261935
195.3,5.77016829788314
195.4,6.99699333506131
195.5,8.27550995249334
195.6,9.50403555470112
195.7,10.5758453675741
195.8,11.3920528019217
195.9,11.8813923061892

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.70816319744
191.80953125,192.009375,-57.9452026556665
192.009375,192.20921875,-57.36118581761
192.20921875,192.4090625,-57.0211471383028
192.4090625,192.60890625,-56.9488159852511
192.60890625,192.80875,-57.1049531662896
192.80875,193.00859375,-57.3794377289359
193.00859375,193.2084375,-57.611942421689
193.2084375,193.40828125,-57.6446903502301
193.40828125,193.608125,-57.3967997657499
193.608125,193.80796875,-56.9240805120406
193.80796875,194.0078125,-56.4179182260729
194.0078125,194.20765625,-56.1221576175594
194.20765625,194.4075,-56.187730241001
194.4075,194.60734375,-56.5399875966727
194.60734375,194.8071875,-56.8434267391556
194.8071875,195.00703125,-56.6207913517681
195.00703125,195.206875,-55.5083842265245
195.206875,195.40671875,-53.4652811377224
195.40671875,195.6065625,-50.9142929928235
195.6065625,195.80640625,-48.6058121015929
195.80640625,196.00625,-47.3228569832705
196.00625,196.20609375,-47.5496102380252

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.866021652732918
191.7,1.26941241623555
191.8,1.65077763394629
191.9,1.99952806931652
192,2.30528578412277
192.1,2.55887318094829
192.2,2.75196138177332
192.3,2.87972288196831
192.4,2.93986824393023
192.5,2.93478978369086
192.6,2.87049592788636
192.7,2.75935957178028
192.8,2.6159922882622
192.9,2.46016810988312
193,2.31304897758268
193.1,2.19583306963892
193.2,2.12851664839679
193.3,2.12538949839168
193.4,2.19517950441158
193.5,2.33428797602683
193.6,2.53433951111682
193.7,2.77409169303339
193.8,3.02637249512027
193.9,3.25825664674578
194,3.43821229611766
194.1,3.54201076218771
194.2,3.55074234940248
194.3,3.46510273298152
194.4,3.298892226476
194.5,3.09059349856423
194.6,2.88609248716757
194.7,2.7450605823983
194.8,2.73168146152144
194.9,2.90316993274655
195,3.29925974386618
195.1,3.94175838009454
195.2,4.8316394955169
195.3,5.92321339408957
195.4,7.15708250009411
195.5,8.44249982711812
195.6,9.67738146045247
195.7,10.7545953466291
195.8,11.5748819845548
195.9,12.0667119587321



//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.6613016264315
191.80953125,192.009375,-57.8949775768894
192.009375,192.20921875,-57.3078894184596
192.20921875,192.4090625,-56.9651839137782
192.4090625,192.60890625,-56.8906208341526
192.60890625,192.80875,-57.0448819582308
192.80875,193.00859375,-57.3176664819885
193.00859375,193.2084375,-57.5484171572387
193.2084375,193.40828125,-57.5791667059852
193.40828125,193.608125,-57.3289713659605
193.608125,193.80796875,-56.8537533791504
193.80796875,194.0078125,-56.3451494195587
194.0078125,194.20765625,-56.0472430162572
194.20765625,194.4075,-56.1109664171007
194.4075,194.60734375,-56.461257186337
194.60734375,194.8071875,-56.7618430618383
194.8071875,195.00703125,-56.5346623014324
195.00703125,195.206875,-55.4156507939081
195.206875,195.40671875,-53.3641243431793
195.40671875,195.6065625,-50.8041847774793
195.6065625,195.80640625,-48.4881774746062
195.80640625,196.00625,-47.2010871970637
196.00625,196.20609375,-47.4283010290627

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.3154280168194
191.8,1.69854420393703
191.9,2.04898752813778
192,2.35635978319952
192.2,2.80596624660603
192.3,2.93502258728449
192.4,2.99634430272888
192.5,2.99233013375327
192.6,2.92900081408865
192.7,2.81875113979235
192.9,2.5212065661862
193,2.37491229957652
193.1,2.25856307473497
193.2,2.1921823410493
193.3,2.19007629986213
193.5,2.40128374000733
193.6,2.60259360610458
193.7,2.84363372926938
193.8,3.09719260099769
193.9,3.33030345624521
194,3.51140065661312
194.1,3.61624343663065
194.2,3.62592175631049
194.4,3.37584939589799
194.6,2.96524261981341
194.7,2.82573857531558
194.8,2.81433019489413
194.9,2.98831926129541
195,3.38746176561055
195.1,4.03356917386782
195.2,4.92757201046659
195.3,6.02361501209202
195.5,8.55204958740407
195.6,9.79110094472828
195.8,11.6948227484828
195.9,12.1882865365797



//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.8942295969521
191.80953125,192.009375,-58.1446164152782
192.009375,192.20921875,-57.5727887396427
192.20921875,192.4090625,-57.243336209134
192.4090625,192.60890625,-57.1798682251527
192.60890625,192.80875,-57.3434595186875
192.80875,193.00859375,-57.6247022448984
193.00859375,193.2084375,-57.8641797045892
193.2084375,193.40828125,-57.9048669784424
193.40828125,193.608125,-57.6661255823211
193.608125,193.80796875,-57.2033199402115
193.80796875,194.0078125,-56.7068436525762
194.0078125,194.20765625,-56.4195988456253
194.20765625,194.4075,-56.4925181486559
194.4075,194.60734375,-56.8525968759008
194.60734375,194.8071875,-57.1673803094762
194.8071875,195.00703125,-56.9627946187308
195.00703125,195.206875,-55.8765846664819
195.206875,195.40671875,-53.8668779065852
195.40671875,195.6065625,-51.3513819041798
195.6065625,195.80640625,-49.0727502806288
195.80640625,196.00625,-47.8061980632668
196.00625,196.20609375,-48.0311250539457

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.08677690666148
191.9,1.80322391701895
192,2.10257353590667
192.2,2.53761655343133
192.4,2.71571526870979
192.5,2.70641264590764
192.6,2.63829055474002
192.7,2.52363496641472
192.9,2.21790701953374
193,2.06751400264086
193.1,1.94685823717047
193.2,1.87582808033633
193.4,1.93401729484675
193.5,2.06838238447459
193.6,2.26343961498509
193.7,2.49807996953901
193.9,2.97230350043979
194.1,3.24738193735633
194.2,3.25235595183501
194.3,3.16319294767567
194.5,2.78121586871608
194.6,2.57194631445195
194.8,2.40364937362843
195,2.9491867038025
195.1,3.57736215593517
195.2,4.45088419665623
195.3,5.52472026494911
195.4,6.74024828654077
195.5,8.00769780259429
195.7,10.2891727995954
195.8,11.0988381589664
195.9,11.5841835402233



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-60.2375718410655
191.80953125,192.009375,-59.5839487319588
192.009375,192.20921875,-59.0998502364972
192.20921875,192.4090625,-58.8467158487387
192.4090625,192.60890625,-58.8473325201691
192.60890625,192.80875,-59.0650523078361
192.80875,193.00859375,-59.3955648407755
193.00859375,193.2084375,-59.6858841648812
193.2084375,193.40828125,-59.7841962733819
193.40828125,193.608125,-59.611449988524
193.608125,193.80796875,-59.2198344594739
193.80796875,194.0078125,-58.7928404186286
194.0078125,194.20765625,-58.5668856992188
194.20765625,194.4075,-58.6931375229647
194.4075,194.60734375,-59.1104924455633
194.60734375,194.8071875,-59.5081625558083
194.8071875,195.00703125,-59.4341694943033
195.00703125,195.206875,-58.5357717369109
195.206875,195.40671875,-56.7644430840839
195.40671875,195.6065625,-54.5023171732815
195.6065625,195.80640625,-52.4371594523967
195.80640625,196.00625,-51.2880961424129
196.00625,196.20609375,-51.4999892514704

//Parameterized
#Frequency,Power
