//DATASET,
//created,Sun, 06 Dec 2020 17:58:27 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-59.1230647075598
191.80953125,192.009375,-58.3898499775841
192.009375,192.20921875,-57.8330007120442
192.20921875,192.4090625,-57.5165620268078
192.4090625,192.60890625,-57.463997531664
192.60890625,192.80875,-57.6367683848974
192.80875,193.00859375,-57.9263415188217
193.00859375,193.2084375,-58.174414036065
193.2084375,193.40828125,-58.224876794648
193.40828125,193.608125,-57.9973836499698
193.608125,193.80796875,-57.5467531172135
193.80796875,194.0078125,-57.0621695182534
194.0078125,194.20765625,-56.7853887841419
194.20765625,194.4075,-56.8673537974716
194.4075,194.60734375,-57.2370823302484
194.60734375,194.8071875,-57.5658540626069
194.8071875,195.00703125,-57.3834734089715
195.00703125,195.206875,-56.3294241191289
195.206875,195.40671875,-54.3606774410495
195.40671875,195.6065625,-51.8887161043442
195.6065625,195.80640625,-49.6467140835786
195.80640625,196.00625,-48.400297969725
196.00625,196.20609375,-48.622984747047

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,0.862324380913535
191.8,1.22819922825612
192,1.85344741460496
192.4,2.44023925881731
192.5,2.42574529092243
192.7,2.23393783589158
192.8,2.08319338324814
192.9,1.92017678215446
193.1,1.6408770502395
193.2,1.56528284485023
193.3,1.5531222110424
193.4,1.61305825624879
193.5,1.74159389863416
193.8,2.39984546087242
193.9,2.62087728500315
194.1,2.88529362251668
194.3,2.79215659216104
194.5,2.40100179867417
194.7,2.03132338862706
194.8,2.00050964014688
195.2,3.98294951779503
195.3,5.03498642547084
195.5,7.47334162600904
195.6,8.67133479705391
195.7,9.71718509323218
195.8,10.5137972801733
195.9,10.9911733280689

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.8234144704691
191.80953125,192.009375,-58.0687228510607
192.009375,192.20921875,-57.4922571667839
192.20921875,192.4090625,-57.1587761376708
192.4090625,192.60890625,-57.0919346782457
192.60890625,192.80875,-57.2526880165706
192.80875,193.00859375,-57.5313570959542
193.00859375,193.2084375,-57.7681791772319
193.2084375,193.40828125,-57.8058439023137
193.40828125,193.608125,-57.5636207711053
193.608125,193.80796875,-57.0970435674831
193.80796875,194.0078125,-56.5968825497594
194.0078125,194.20765625,-56.3063974974249
194.20765625,194.4075,-56.3765198939077
194.4075,194.60734375,-56.733619377839
194.60734375,194.8071875,-57.0440823219645
194.8071875,195.00703125,-56.832626643189
195.00703125,195.206875,-55.7364512102437
195.206875,195.40671875,-53.7140435152011
195.40671875,195.6065625,-51.1850491250306
195.6065625,195.80640625,-48.8950638298843
195.80640625,196.00625,-47.6222718924501
196.00625,196.20609375,-47.8478934631745

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.757277282975117
191.7,1.15627256116329
191.8,1.53333262100546
191.9,1.87792070285845
192,2.17970870199877
192.1,2.42955913149329
192.5,2.79331370200845
192.6,2.72664831399109
192.7,2.61333184830951
192.8,2.46791426664149
192.9,2.31009113571913
193,2.16094388287862
193.1,2.04159703674579
193.2,1.97198001411657
193.3,1.96634223505938
193.4,2.0333935811296
193.5,2.16956360144444
193.6,2.36652124259439
193.7,2.60310672703622
193.8,2.85224510324647
193.9,3.08111312407614
194,3.25826200981545
194.1,3.35949279172692
194.3,3.27807432085038
194.4,3.10967546336308
194.5,2.89893887299197
194.6,2.69148382352139
194.7,2.54669532560789
194.8,2.52847068958658
194.9,2.69381087692019
195.2,4.59576751513611
195.3,5.67635310397739
195.4,6.898860193706
195.5,8.17314674154087
195.6,9.39777615689006
195.7,10.4662733240304
195.8,11.2799802452341
195.9,11.7677931150437

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.9434407407997
191.80953125,192.009375,-58.1973556386732
192.009375,192.20921875,-57.6287502490233
192.20921875,192.4090625,-57.302096869316
192.4090625,192.60890625,-57.2409733807194
192.60890625,192.80875,-57.4065375807462
192.80875,193.00859375,-57.6895699570664
193.00859375,193.2084375,-57.9308939077566
