//DATASET,
//created,Wed, 02 Dec 2020 15:11:22 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.5881590380124
191.80953125,192.009375,-57.8165836168439
192.009375,192.20921875,-57.2247005275216
192.20921875,192.4090625,-56.877832042625
192.4090625,192.60890625,-56.7997855352918
192.60890625,192.80875,-56.9511194575616
192.80875,193.00859375,-57.2212520889351
193.00859375,193.2084375,-57.4492666709965
193.2084375,193.40828125,-57.4768979925621
193.40828125,193.608125,-57.2231049197756
193.608125,193.80796875,-56.7439853027089
193.80796875,194.0078125,-56.2315685690824
194.0078125,194.20765625,-55.9303121113709
194.20765625,194.4075,-55.991150003146
194.4075,194.60734375,-56.3383737672853
194.60734375,194.8071875,-56.6345091115586
194.8071875,195.00703125,-56.4002341345409
195.00703125,195.206875,-55.270909206186
195.206875,195.40671875,-53.2062257448533
195.40671875,195.6065625,-50.6323048439444
195.6065625,195.80640625,-48.3045433774829
195.80640625,196.00625,-47.0109957398925
196.00625,196.20609375,-47.2389289314879

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.979295115477608
192,2.43609302467454
192.4,3.08451087114236
192.6,3.02033464937391
192.7,2.91146920220158
192.9,2.61649563819253
193,2.47148909560084
193.3,2.29106091933826
193.4,2.36370364772412
193.6,2.70914724074634
193.7,2.95219800988381
193.8,3.20775211670598
194,3.62565732979387
194.1,3.73213042147006
194.2,3.74328671525834
194.4,3.49598967634746
194.5,3.29023034540016
194.6,3.08880640477467
194.7,2.95168755145366
194.8,2.94335575652495
195,3.52515674202626
195.1,4.17689791887049
195.3,6.18035516554353
195.4,7.42605950430726
195.6,9.96863204203969
195.9,12.3780804698526

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-56.7466381852191
191.80953125,192.009375,-55.8422656690826
192.009375,192.20921875,-55.129218493601
192.20921875,192.4090625,-54.6773103883905
192.4090625,192.60890625,-54.5115935727019
192.60890625,192.80875,-54.589524764105
192.80875,193.00859375,-54.7933765217446
193.00859375,193.2084375,-54.952998740919
193.2084375,193.40828125,-54.9023629967168
193.40828125,193.608125,-54.5577882319726
193.608125,193.80796875,-53.9798612278705
193.80796875,194.0078125,-53.3708142586674
194.0078125,194.20765625,-52.9848807181368
194.20765625,194.4075,-52.9732727593795
194.4075,194.60734375,-53.2440084871076
194.60734375,194.8071875,-53.4289136008621
194.8071875,195.00703125,-53.0159511792953
195.00703125,195.206875,-51.625129294467
195.206875,195.40671875,-49.2259922085629
195.40671875,195.6065625,-46.2969149278694
195.6065625,195.80640625,-43.6710591741274
195.80640625,196.00625,-42.2139425488512
196.00625,196.20609375,-42.46013475092

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,3.20086210282524
191.8,3.65572216292073
192.7,5.25224946058989
193,4.90968777747523
194.9,6.47721095040807

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.2202881460092
191.80953125,192.009375,-57.4222729484826
192.009375,192.20921875,-56.8062527440097
192.20921875,192.4090625,-56.438436371712
192.4090625,192.60890625,-56.3428731720802
192.60890625,192.80875,-56.4795016824227
192.80875,193.00859375,-56.7363236973445
193.00859375,193.2084375,-56.9506049386741
193.2084375,193.40828125,-56.9625679940564
193.40828125,193.608125,-56.6906718572386
193.608125,193.80796875,-56.1919008072248
193.80796875,194.0078125,-55.6602760665905
194.0078125,194.20765625,-55.3421548149269
194.20765625,194.4075,-55.3884931771704
194.4075,194.60734375,-55.7203337896028
194.60734375,194.8071875,-55.9941342566117
194.8071875,195.00703125,-55.7241815941416
195.00703125,195.206875,-54.5428927017069
195.206875,195.40671875,-52.4118663576058
195.40671875,195.6065625,-49.7674559407715
195.6065625,195.80640625,-47.3804590688548
