//DATASET,
//created,Thu, 03 Dec 2020 10:22:19 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.5071021178477
191.80953125,192.009375,-57.7297049323995
192.009375,192.20921875,-57.1325064550886
192.20921875,192.4090625,-56.7810237633797
192.4090625,192.60890625,-56.6991171869003
192.60890625,192.80875,-56.8472085378903
192.80875,193.00859375,-57.1144045007191
193.00859375,193.2084375,-57.3393891686351
193.2084375,193.40828125,-57.3635660722826
193.40828125,193.608125,-57.1057853634382
193.608125,193.80796875,-56.6223397497624
193.80796875,194.0078125,-56.1056952098732
194.0078125,194.20765625,-55.8007249978775
194.20765625,194.4075,-55.858366240838
194.4075,194.60734375,-56.202194560294
194.60734375,194.8071875,-56.4934017978953
194.8071875,195.00703125,-56.2512653153502
195.00703125,195.206875,-55.1105037572623
195.206875,195.40671875,-53.0312261917699
195.40671875,195.6065625,-50.4417975484271
195.6065625,195.80640625,-48.1010006664342
195.80640625,196.00625,-46.800292636787
196.00625,196.20609375,-47.0290236895892

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.05583089650735
191.8,1.8557735260649
192.1,2.78458603386317
192.2,2.98372965500861
192.3,3.11704811648662
192.4,3.1822419387343
192.5,3.18173101049753
192.6,3.12157657576753
192.7,3.01424551965805
192.8,2.87445695513223
192.9,2.72212187390299
193.1,2.46504631563425
193.2,2.40174550835431
193.4,2.47757080264519
193.5,2.62180823146934
193.7,3.07253957741585
193.8,3.33030536673094
193.9,3.56745406222901
194,3.75230881289447
194.3,3.79155385454315
194.4,3.62916303310167
194.5,3.42511950323708
194.6,3.22577465518147
194.7,3.09129974371184
195,3.67778916596324
195.1,4.33577527474117
195.2,5.24334524472827
195.4,7.60779991020352
195.7,11.2578506893643
195.9,12.5884636576641

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.7240490269327
191.80953125,192.009375,-57.9622285221072
192.009375,192.20921875,-57.379252715384
192.20921875,192.4090625,-57.040118015153
192.4090625,192.60890625,-56.9685434991591
192.60890625,192.80875,-57.1253167685915
192.80875,193.00859375,-57.4003778168302
193.00859375,193.2084375,-57.6334772996521
193.2084375,193.40828125,-57.6669027723279
193.40828125,193.608125,-57.4197934414489
193.608125,193.80796875,-56.9479210682376
193.80796875,194.0078125,-56.4425862962824
194.0078125,194.20765625,-56.1475530045718
194.20765625,194.4075,-56.2137525985711
194.4075,194.60734375,-56.5666769058206
194.60734375,194.8071875,-56.8710836303001
194.8071875,195.00703125,-56.649989140674
195.00703125,195.206875,-55.5398202770408
195.206875,195.40671875,-53.499571554562
195.40671875,195.6065625,-50.9516167689104
195.6065625,195.80640625,-48.6456865099015
195.80640625,196.00625,-47.3641328296765
196.00625,196.20609375,-47.590730006793

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.851030195883592
191.7,1.25381499947703
191.8,1.63458670978541
191.9,1.98276332470605
192,2.28797377604254
192.1,2.54104599599394
192.2,2.73365592942465
192.3,2.86097853136773
192.4,2.92072515735123
192.5,2.91528594566708
192.6,2.85066515134691
192.7,2.73922824617607
192.8,2.59557830934627
192.9,2.439478556141
193,2.29207982792557
193.1,2.17457014966542
193.2,2.10693656840389
193.3,2.10346330404653
193.4,2.17287575946265
193.5,2.31157913731559
193.6,2.51120414938098
193.7,2.75051977160574
193.9,3.2338357090719
194,3.41340441909255
194.1,3.5168489052154
194.2,3.52525958863603
194.3,3.43931906826116
194.4,3.27280687653379
194.5,3.06417206584417
194.6,2.85926381189863
194.7,2.7177140246482
194.8,2.70366690292346
194.9,2.87430777410396
195,3.26936284640889
195.1,3.9106382557184
195.2,4.79912227532683
195.3,5.88918132976042
195.4,7.12148407258587
195.5,8.40536691468635
195.6,9.63883518120569
195.7,10.7148473838598
195.8,11.5342269445774
195.9,12.0255031222968

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-59.5681520198509
191.80953125,192.009375,-58.8667781238502
192.009375,192.20921875,-58.3390221918955
192.20921875,192.4090625,-58.0478789396597
192.4090625,192.60890625,-58.0165345577339
192.60890625,192.80875,-58.207203259225
192.80875,193.00859375,-58.5130460678059
193.00859375,193.2084375,-58.777906004173
193.2084375,193.40828125,-58.847424147473
193.40828125,193.608125,-58.6417991195656
193.608125,193.80796875,-58.2147935994956
193.80796875,194.0078125,-57.7532767072626
194.0078125,194.20765625,-57.4968203252802
194.20765625,194.4075,-57.5964190170879
194.4075,194.60734375,-57.9850284024709
194.60734375,194.8071875,-58.3411428493044
194.8071875,195.00703125,-58.2019856115635
195.00703125,195.206875,-57.2102977142952
195.206875,195.40671875,-55.3208311993684
195.40671875,195.6065625,-52.933140857001
195.6065625,195.80640625,-50.762099241454
195.80640625,196.00625,-49.5547170413536
196.00625,196.20609375,-49.7730675746119

//Parameterized
#Frequency,Power
#(THz),(dBm)
193.3,0.940192389074728
194,2.09724889519114
194.4,1.88887638604504
194.5,1.66241106111551
195.9,9.83921214492099



//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.7497751364374
191.80953125,192.009375,-57.9898006622323
192.009375,192.20921875,-57.408510600622
192.20921875,192.4090625,-57.0708397729705
192.4090625,192.60890625,-57.0004906118237
192.60890625,192.80875,-57.1582941117289
192.80875,193.00859375,-57.4342889394158
193.00859375,193.2084375,-57.6683518513103
193.2084375,193.40828125,-57.7028746778658
193.40828125,193.608125,-57.4570304891313
193.608125,193.80796875,-56.9865293952994
193.80796875,194.0078125,-56.4825345141811
194.0078125,194.20765625,-56.1886789630354
194.20765625,194.4075,-56.2558939994585
194.4075,194.60734375,-56.6098987081782
194.60734375,194.8071875,-56.9158727418575
194.8071875,195.00703125,-56.69727368675
195.00703125,195.206875,-55.590728911643
195.206875,195.40671875,-53.555101454914
195.40671875,195.6065625,-51.0120577833335
195.6065625,195.80640625,-48.7102572644894
195.80640625,196.00625,-47.4309727354391
196.00625,196.20609375,-47.6573172151268

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.82675416399757
191.7,1.22855772192389
191.8,1.60836835121332
192,2.25994001892403
192.1,2.51217800039222
192.2,2.70401346376099
192.3,2.83062534705512
192.4,2.88972629013912
192.5,2.88370290483766
192.6,2.81855269100136
192.8,2.56252145516165
192.9,2.40597545691594
193,2.2581239722129
193.1,2.14013858451105
193.2,2.07199141829101
193.3,2.06795768251745
193.4,2.13675876102815
193.5,2.27480616066703
193.6,2.47374049359097
193.7,2.71234918405419
193.8,2.96349525913878
193.9,3.19429028879582
194,3.37323241848323
194.1,3.47610369624002
194.2,3.48399473231638
194.3,3.39756695082649
194.4,3.2305662328579
194.5,3.02138719512527
194.6,2.81581948338312
194.7,2.67343107639398
194.8,2.65830224459622
194.9,2.82757057634203
195,3.2209500708354
195.1,3.86024467894698
195.2,4.74646634721307
195.3,5.83407237756821
195.4,7.06383867027658
195.5,8.34523668349704
195.6,9.57641625064497
195.7,10.6504825378486
195.8,11.4683932463093
195.9,11.9587726479111



//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-57.9297092945237
191.80953125,192.009375,-57.1107771432834
192.009375,192.20921875,-56.4756667779735
192.20921875,192.4090625,-56.091291545419
192.4090625,192.60890625,-55.9818946576354
192.60890625,192.80875,-56.1069252684877
192.80875,193.00859375,-56.3532621876837
193.00859375,193.2084375,-56.5567250677656
193.2084375,193.40828125,-56.5563268748068
193.40828125,193.608125,-56.2701207431432
193.608125,193.80796875,-55.7557948765991
193.80796875,194.0078125,-55.2089619456822
194.0078125,194.20765625,-54.8775009353609
194.20765625,194.4075,-54.9123991348046
194.4075,194.60734375,-55.2321328223856
194.60734375,194.8071875,-55.4883414063719
194.8071875,195.00703125,-55.190205904927
195.00703125,195.206875,-53.9677666115608
195.206875,195.40671875,-51.784150637467
195.40671875,195.6065625,-49.0838766393549
195.6065625,195.80640625,-46.6499632515714
195.80640625,196.00625,-45.2981296107585
196.00625,196.20609375,-45.5325622382169

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.9,2.82208344513567
192.3,3.79940682055381
192.4,3.87911600112452
192.6,3.84348491329548
192.8,3.61759586107519
192.9,3.47529264946301
193.4,3.28950367903583
193.5,3.44848791134
194.5,4.38695034894824
194.7,4.08680831611773
195,4.76613885805437
195.1,5.46865462555001
195.5,10.2644110730248



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.5914309586272
191.80953125,192.009375,-57.8200904892711
192.009375,192.20921875,-57.2284219235451
192.20921875,192.4090625,-56.8817396772558
192.4090625,192.60890625,-56.8038489903768
192.60890625,192.80875,-56.9553138311798
192.80875,193.00859375,-57.2255650507146
193.00859375,193.2084375,-57.4537019862804
193.2084375,193.40828125,-57.4814727743195
193.40828125,193.608125,-57.2278406516403
193.608125,193.80796875,-56.7488956082191
193.80796875,194.0078125,-56.236649478593
194.0078125,194.20765625,-55.9355429025225
194.20765625,194.4075,-55.9965098528492
194.4075,194.60734375,-56.3438707512142
194.60734375,194.8071875,-56.640205108956
194.8071875,195.00703125,-56.4062474738986
195.00703125,195.206875,-55.2773840338058
195.206875,195.40671875,-53.2132893791104
195.40671875,195.6065625,-50.6399941622675
195.6065625,195.80640625,-48.3127586739447
