//DATASET,
//created,Thu, 03 Dec 2020 18:29:38 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-59.7944203910699
191.80953125,192.009375,-59.1092053711938
192.009375,192.20921875,-58.5962192972339
192.20921875,192.4090625,-58.3179276940236
192.4090625,192.60890625,-58.2973791916833
192.60890625,192.80875,-58.4971717778539
192.80875,193.00859375,-58.8113238282463
193.00859375,193.2084375,-59.0847581782659
193.2084375,193.40828125,-59.1639886017005
193.40828125,193.608125,-58.9694772980925
193.608125,193.80796875,-58.5544531758926
193.80796875,194.0078125,-58.1046286387532
194.0078125,194.20765625,-57.8584905919846
194.20765625,194.4075,-57.9670780270528
194.4075,194.60734375,-58.3653515558885
194.60734375,194.8071875,-58.7354469412615
194.8071875,195.00703125,-58.6182893311235
195.00703125,195.206875,-57.6582032061317
195.206875,195.40671875,-55.8088257467299
195.40671875,195.6065625,-53.463748375521
195.6065625,195.80640625,-51.3286191808614
195.80640625,196.00625,-50.1410060385543
196.00625,196.20609375,-50.3571643599082

//Parameterized
#Frequency,Power
#(THz),(dBm)
192,1.12381195051053
193.3,0.629016300699419
193.9,1.59162740765082
195.9,9.25437720609979

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-57.7796382426133
191.80953125,192.009375,-56.9498924981613
192.009375,192.20921875,-56.3049146270978
192.20921875,192.4090625,-55.911983166763
192.4090625,192.60890625,-55.7954423074585
192.60890625,192.80875,-55.9144885087935
192.80875,193.00859375,-56.1554192443241
193.00859375,193.2084375,-56.3533039590524
193.2084375,193.40828125,-56.3465260526266
193.40828125,193.608125,-56.0529255806465
193.608125,193.80796875,-55.5305555648489
193.80796875,194.0078125,-54.9758564099582
194.0078125,194.20765625,-54.6374997424667
194.20765625,194.4075,-54.6664931968463
194.4075,194.60734375,-54.9799874399047
194.60734375,194.8071875,-55.227125388034
194.8071875,195.00703125,-54.9144328341158
195.00703125,195.206875,-53.6707069452436
195.206875,195.40671875,-51.4598716718732
195.40671875,195.6065625,-48.730688736539
195.6065625,195.80640625,-46.2725054427156
195.80640625,196.00625,-44.9073525156653
196.00625,196.20609375,-45.1432716870029

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,3.60240953838234
192.2,3.82349371366028
193,3.54050413147812
193.1,3.44048443295722
193.3,3.40886644878599
193.5,3.66357798400942
194.3,4.97438149081614
194.4,4.82583050252949
194.8,4.37154835634065
195.4,9.24088055724359

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-57.5272771743375
191.80953125,192.009375,-56.6793307693398
192.009375,192.20921875,-56.0177470877851
192.20921875,192.4090625,-55.6104206996036
192.4090625,192.60890625,-55.4818667941527
192.60890625,192.80875,-55.5908569205199
192.80875,193.00859375,-55.8227089500024
193.00859375,193.2084375,-56.0112258634616
193.2084375,193.40828125,-55.9937253941383
193.40828125,193.608125,-55.6876843572405
193.608125,193.80796875,-55.1517711764373
193.80796875,194.0078125,-54.583826575288
194.0078125,194.20765625,-54.2338646286542
194.20765625,194.4075,-54.2529331189862
194.4075,194.60734375,-54.5559530549447
194.60734375,194.8071875,-54.7878574618434
194.8071875,195.00703125,-54.4506812270277
195.00703125,195.206875,-53.1711093997559
195.206875,195.40671875,-50.9144173719937
195.40671875,195.6065625,-48.1365389594385
195.6065625,195.80640625,-45.6374873128571
195.80640625,196.00625,-44.2499108982795
196.00625,196.20609375,-44.4883335985736

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.9,4.00097041197893
194.3,5.38527609451321
194.5,5.05826302238049
194.6,4.88409037208064

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.0011057354813
191.80953125,192.009375,-57.1873155681755
192.009375,192.20921875,-56.5568977066591
192.20921875,192.4090625,-56.176592072249
192.4090625,192.60890625,-56.0705940343068
192.60890625,192.80875,-56.1984729754464
192.80875,193.00859375,-56.4473839540183
193.00859375,193.2084375,-56.6535027411174
193.2084375,193.40828125,-56.6561406836214
193.40828125,193.608125,-56.3734514791942
193.608125,193.80796875,-55.8629500718445
193.80796875,194.0078125,-55.3198567009812
194.0078125,194.20765625,-54.9916748144833
194.20765625,194.4075,-55.0293830079562
194.4075,194.60734375,-55.3520881624179
194.60734375,194.8071875,-55.6126154903503
194.8071875,195.00703125,-55.3214049907267
195.00703125,195.206875,-54.1090847460949
195.206875,195.40671875,-51.9384045674315
195.40671875,195.6065625,-49.2518705415428
195.6065625,195.80640625,-46.8294943706935
195.80640625,196.00625,-45.4839931626606
196.00625,196.20609375,-45.7177191885714

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.7,1.96443080003869
191.8,2.37224261220476
193.7,3.82445272315927
194.1,4.66321906463494
194.8,3.98000568989666
195.4,8.74334270816282



//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.3816140544809
191.80953125,192.009375,-57.5951994474869
192.009375,192.20921875,-56.9897686109493
192.20921875,192.4090625,-56.6311408225501
192.4090625,192.60890625,-56.5432588045541
192.60890625,192.80875,-56.6863328877097
192.80875,193.00859375,-56.9489867835236
193.00859375,193.2084375,-57.1692851485627
193.2084375,193.40828125,-57.1881164802116
193.40828125,193.608125,-56.9241610035168
193.608125,193.80796875,-56.4340136070188
193.80796875,194.0078125,-55.9108187417358
194.0078125,194.20765625,-55.6000965837962
194.20765625,194.4075,-55.6527910442105
194.4075,194.60734375,-55.9913694844274
194.60734375,194.8071875,-56.274955130286
194.8071875,195.00703125,-56.0206483084828
195.00703125,195.206875,-54.8621663637404
195.206875,195.40671875,-52.7602678580226
195.40671875,195.6065625,-50.1468037184715
195.6065625,195.80640625,-47.785807264972
195.80640625,196.00625,-46.4740052470792
196.00625,196.20609375,-46.7039728277692

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,1.17435855269506
192,2.6613506387414
192.1,2.92553393974723
192.4,3.33359381915601
192.6,3.27836557147531
192.7,3.17341076048814
192.9,2.88570065995896
193.1,2.63315833393213
193.4,2.65391194410831
193.9,3.76053446351905
194.2,4.07485922050923
194.4,3.83540285492556
194.5,3.63401651204048
194.6,3.43789146478898
194.7,3.30751111179285
194.8,3.30787110331038
195.9,12.9142750078208



//TRACE,Optical Spectrum,Input 1 (Run 6) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.2879698524089
191.80953125,192.009375,-57.4948225734032
192.009375,192.20921875,-56.883245780291
192.20921875,192.4090625,-56.5192847362937
192.4090625,192.60890625,-56.4269439593578
192.60890625,192.80875,-56.5662760031659
192.80875,193.00859375,-56.8255437148771
193.00859375,193.2084375,-57.0423483458804
193.2084375,193.40828125,-57.0571923640835
193.40828125,193.608125,-56.788627948094
193.608125,193.80796875,-56.2934758900844
193.80796875,194.0078125,-55.7653889681797
194.0078125,194.20765625,-55.4503724980176
194.20765625,194.4075,-55.4993770161521
194.4075,194.60734375,-55.8340428792717
194.60734375,194.8071875,-56.1119468499094
194.8071875,195.00703125,-55.8485581667406
195.00703125,195.206875,-54.6768410562123
195.206875,195.40671875,-52.5580410777793
195.40671875,195.6065625,-49.9266198879874
195.6065625,195.80640625,-47.5505353530922
195.80640625,196.00625,-46.2304479672678
196.00625,196.20609375,-46.4613392951624

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,2.07934414433034
191.9,2.4432833499787
192,2.76352688370194
