//DATASET,
//created,Sun, 06 Dec 2020 12:48:11 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.6526832431113
191.80953125,192.009375,-57.8857405220318
192.009375,192.20921875,-57.2980874499113
192.20921875,192.4090625,-56.9548914559841
192.4090625,192.60890625,-56.8799179112343
192.60890625,192.80875,-57.0338340612689
192.80875,193.00859375,-57.3063060143537
193.00859375,193.2084375,-57.5367341944454
193.2084375,193.40828125,-57.5671162671527
193.40828125,193.608125,-57.3164970334138
193.608125,193.80796875,-56.8408194160478
193.80796875,194.0078125,-56.3317663085957
194.0078125,194.20765625,-56.0334652225912
194.20765625,194.4075,-56.096848574263
194.4075,194.60734375,-56.4467778025321
194.60734375,194.8071875,-56.7468390898931
194.8071875,195.00703125,-56.5188224007168
195.00703125,195.206875,-55.3985959893798
195.206875,195.40671875,-53.3455198567668
195.40671875,195.6065625,-50.7839334859737
195.6065625,195.80640625,-48.466541617311
195.80640625,196.00625,-47.1786906654428
196.00625,196.20609375,-47.4059892293249

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.918384315103427
192,2.36575374552048
192.1,2.62114056937913
192.2,2.81589927857058
192.3,2.94519377727335
192.4,3.00673185760966
192.6,2.93976152808229
192.7,2.82967493981141
192.8,2.68729491724324
192.9,2.53243327584289
193.1,2.27010090836692
193.2,2.2038922742585
193.3,2.2019740440502
193.6,2.61514747711833
193.7,2.85642448934169
193.8,3.11021843445904
193.9,3.34355491542243
194,3.52486207951431
194.3,3.55516078030782
194.4,3.39000401004503
194.5,3.18287916331119
194.6,2.979800582323
194.8,2.8295316496698
194.9,3.00398064670683
195.1,4.05045579236165
195.3,6.04208172771107
195.4,7.28142187946657
195.5,8.57219890680335
195.7,10.8934283616803
195.9,12.2106475622313

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.7060276461859
191.80953125,192.009375,-57.9429138411139
192.009375,192.20921875,-57.3587570509217
192.20921875,192.4090625,-57.0185968462688
192.4090625,192.60890625,-56.9461639785856
192.60890625,192.80875,-57.1022156539566
192.80875,193.00859375,-57.3766227259882
193.00859375,193.2084375,-57.6090474676695
193.2084375,193.40828125,-57.641704317176
193.40828125,193.608125,-57.3937087060449
193.608125,193.80796875,-56.9208755983201
193.80796875,194.0078125,-56.4146020608785
194.0078125,194.20765625,-56.1187436745629
194.20765625,194.4075,-56.1842320172504
194.4075,194.60734375,-56.5363997250571
194.60734375,194.8071875,-56.839708807534
194.8071875,195.00703125,-56.6168662770092
195.00703125,195.206875,-55.5041582367267
195.206875,195.40671875,-53.4606713889742
195.40671875,195.6065625,-50.9092754222236
195.6065625,195.80640625,-48.6004516160477
195.80640625,196.00625,-47.3173080867523
196.00625,196.20609375,-47.5440823253758

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.868037033199048
191.7,1.27150925908232
191.8,1.65295426511765
191.9,2.00178184219178
192,2.30761312850731
192.1,2.56126978327215
192.2,2.75442228010082
192.3,2.88224278369837
192.4,2.94244174983699
192.5,2.93741178731351
192.6,2.87316188357482
192.7,2.76206593186174
192.9,2.46294951551194
193,2.31586797076226
193.1,2.19869155590868
193.2,2.13141777215763
193.3,2.128337152127
193.4,2.19817791426216
193.5,2.33734084476448
193.6,2.53744971959008
193.7,2.77726059052427
193.8,3.02959963179855
193.9,3.26153968196025
194,3.44154734962613
194.1,3.54539340308401
194.2,3.5541681310852
194.3,3.46856896676687
194.4,3.30239901739393
194.6,2.88969920722237
194.7,2.74873692412141
194.9,2.90705002467645
195,3.30327894118228
195.1,3.94594202224497
195.2,4.83601095661254
195.3,5.92778850365766
195.4,7.16186818411042
195.6,9.68256343969684
195.7,10.7599388745156
195.8,11.5803474556056
195.9,12.0722518795562

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-57.5127715336234
191.80953125,192.009375,-56.6637783429233
192.009375,192.20921875,-56.001239692721
192.20921875,192.4090625,-55.5930856326202
192.4090625,192.60890625,-55.4638412239097
192.60890625,192.80875,-55.5722535916634
192.80875,193.00859375,-55.8035842245665
193.00859375,193.2084375,-55.9915631265952
193.2084375,193.40828125,-55.9734465209384
193.40828125,193.608125,-55.6666901648767
193.608125,193.80796875,-55.129997927555
193.80796875,194.0078125,-54.5612913303282
194.0078125,194.20765625,-54.2106619587637
194.20765625,194.4075,-54.2291601165799
194.4075,194.60734375,-54.5315786297509
194.60734375,194.8071875,-54.7626081071548
194.8071875,195.00703125,-54.4240243604478
195.00703125,195.206875,-53.1423902616179
195.206875,195.40671875,-50.8830593168855
195.40671875,195.6065625,-48.1023789310561
195.6065625,195.80640625,-45.6009761628789
195.80640625,196.00625,-44.2121099245814
196.00625,196.20609375,-44.4506766613331

//Parameterized
#Frequency,Power
#(THz),(dBm)
193.1,3.79881919746339
193.9,5.09932195520165
194.7,4.80668489231358
195,5.55315111667601



//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.6802605258528
