//DATASET,
//created,Sun, 06 Dec 2020 21:48:21 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.984586566164
191.80953125,192.009375,-58.2414506560394
192.009375,192.20921875,-57.6755389542301
192.20921875,192.4090625,-57.3512257481892
192.4090625,192.60890625,-57.2920626340775
192.60890625,192.80875,-57.4592768759952
192.80875,193.00859375,-57.7438063396733
193.00859375,193.2084375,-57.9866749318403
193.2084375,193.40828125,-58.0312205564577
193.40828125,193.608125,-57.796921091446
193.608125,193.80796875,-57.3389251556381
193.80796875,194.0078125,-56.8471474010915
194.0078125,194.20765625,-56.5640355998871
194.20765625,194.4075,-56.6405252083636
194.4075,194.60734375,-57.0044099956703
194.60734375,194.8071875,-57.3247117430105
194.8071875,195.00703125,-57.1288928275726
195.00703125,195.206875,-56.0553894829849
195.206875,195.40671875,-54.0618713220936
195.40671875,195.6065625,-51.5635809888414
195.6065625,195.80640625,-49.2994238063228
195.80640625,196.00625,-48.040827521217
196.00625,196.20609375,-48.264869149125

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.8,1.36917091004024
192.1,2.2488071772058
192.4,2.60691492740579
192.7,2.40921793718589
192.8,2.26093449988163
192.9,2.10031728293188
193.1,1.82600975536007
193.4,1.80725325119122
193.6,2.13194905087651
193.7,2.36410820453985
193.9,2.83350632460729
194.5,2.63104881567472
194.6,2.41946468543411
194.8,2.244427739
195,2.77926673641058
195.1,3.40048993945247
195.3,5.33129794514655
195.4,6.53792349180097
195.5,7.79665171399634
195.7,10.0632639892482
195.9,11.3499718079409

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.8078952191865
191.80953125,192.009375,-58.052090414462
192.009375,192.20921875,-57.4746081267103
192.20921875,192.4090625,-57.1402441654399
192.4090625,192.60890625,-57.0726634435264
192.60890625,192.80875,-57.2327950043174
192.80875,193.00859375,-57.5109003232265
193.00859375,193.2084375,-57.7471407418618
193.2084375,193.40828125,-57.7841432225156
193.40828125,193.608125,-57.5411570052973
193.608125,193.80796875,-57.0737530163047
193.80796875,194.0078125,-56.572784208448
194.0078125,194.20765625,-56.2815889216091
194.20765625,194.4075,-56.3510985106944
194.4075,194.60734375,-56.7075455062952
194.60734375,194.8071875,-57.0170621028951
194.8071875,195.00703125,-56.8041009335784
195.00703125,195.206875,-55.7057407375072
195.206875,195.40671875,-53.6805480540202
195.40671875,195.6065625,-51.1485938773239
195.6065625,195.80640625,-48.8561192960259
195.80640625,196.00625,-47.5819594032714
196.00625,196.20609375,-47.8077332721494

//Parameterized
#Frequency,Power
#(THz),(dBm)
192,2.19661551655704
192.2,2.63705510426796
192.4,2.81970400123044
192.6,2.74601494436378
193.8,2.87568838982498
194.2,3.39078294908511
194.9,2.72199750678196
195,3.11159209543325
195.2,4.6275236585688
195.4,6.93362542773653
195.7,10.5050909720175

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.7274049488411
191.80953125,192.009375,-57.9658252683838
192.009375,192.20921875,-57.383069373727
192.20921875,192.4090625,-57.0441256374441
192.4090625,192.60890625,-56.9727109646498
192.60890625,192.80875,-57.129618616889
192.80875,193.00859375,-57.4048014610232
193.00859375,193.2084375,-57.6380266070068
193.2084375,193.40828125,-57.6715952194169
193.40828125,193.608125,-57.4246509273641
193.608125,193.80796875,-56.9529574483167
193.80796875,194.0078125,-56.4477974777597
194.0078125,194.20765625,-56.1529178273243
194.20765625,194.4075,-56.2192498766139
194.4075,194.60734375,-56.5723150980115
194.60734375,194.8071875,-56.8769262489066
194.8071875,195.00703125,-56.6561572806137
195.00703125,195.206875,-55.5464612170974
195.206875,195.40671875,-53.5068154144032
195.40671875,195.6065625,-50.9595013600993
195.6065625,195.80640625,-48.6541098775379
195.80640625,196.00625,-47.3728522311974
196.00625,196.20609375,-47.5994164401567

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.2,2.72978898080931
192.7,2.73497558963489
193.6,2.50631690303898
193.7,2.74554030389364
193.8,2.99729637783543
194.6,2.85359636884907
194.9,2.86821076637793
195.7,10.7064507965117

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.7288515309449
191.80953125,192.009375,-57.9673756574696
192.009375,192.20921875,-57.3847145557836
192.20921875,192.4090625,-57.0458531347686
192.4090625,192.60890625,-56.9745073631394
192.60890625,192.80875,-57.1314729423776
192.80875,193.00859375,-57.4067082883451
193.00859375,193.2084375,-57.6399876032039
193.2084375,193.40828125,-57.6736179172428
193.40828125,193.608125,-57.4267447654444
193.608125,193.80796875,-56.9551283981264
193.80796875,194.0078125,-56.4500437749306
194.0078125,194.20765625,-56.1552303514424
194.20765625,194.4075,-56.2216194967235
194.4075,194.60734375,-56.5747454617108
194.60734375,194.8071875,-56.879444733745
194.8071875,195.00703125,-56.6588160828864
195.00703125,195.206875,-55.549323817416
195.206875,195.40671875,-53.509937897643
195.40671875,195.6065625,-50.9629000249428
195.6065625,195.80640625,-48.6577407783779
195.80640625,196.00625,-47.376610735966
196.00625,196.20609375,-47.6031607342767

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.846498230230559
191.7,1.24909985019326
191.8,1.62969214130381
191.9,1.97769528845579
192,2.2827403002841
192.1,2.53565678060844
192.2,2.72812213226663
192.3,2.85531205385564
192.4,2.9149381406696
192.5,2.90938987266268
192.6,2.84467024377702
192.7,2.73314248165664
192.8,2.58940709782103
192.9,2.43322403745891
193,2.28574078649855
193.2,2.10041284077018
193.3,2.09683494493023
193.4,2.16613326558373
193.5,2.30471418228861
193.6,2.50421025507096
193.7,2.74339390389589
193.8,2.99511053049297
193.9,3.22645318101841
194,3.40590491802789
194.1,3.50924239487346
194.2,3.51755606804436
194.3,3.43152458343581
194.4,3.26492119129496
194.5,3.05618478169997
194.6,2.85115341702125
194.7,2.70944707223006
194.8,2.69519801169915
194.9,2.86558265065831
195,3.26032491808942
195.1,3.90123054196461
195.2,4.78929221501217
195.3,5.87889332718725
195.4,7.11072255338259
195.5,8.39414151575219
195.6,9.62718251693467
195.7,10.7028314467926
195.8,11.5219367951508
195.9,12.0130455584187



//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6096875,191.80953125,-58.70816319744
191.80953125,192.009375,-57.9452026556665
