Channel,Epochs,MSE Train,MPE Train,R2 Train,MSE Val,MPE Val,R2 Val
0,749,0.00687437,4.92071915,0.89892286,0.0029129,2.35422111,0.96110493
1,749,0.00951071,5.266711712,0.892462671,0.002368354,2.025803328,0.974227905
2,749,0.010242722,4.89907217,0.897796571,0.00520836,2.384358168,0.905967414
3,749,0.013840133,5.429287434,0.881420851,0.003631189,2.141295195,0.944284737
4,749,0.01829778,6.016726494,0.86833316,0.00496414,2.11883664,0.95903486
5,749,0.01920305,5.60420179,0.88528877,0.0040175,2.04282165,0.97803181
6,749,0.02672318,6.34125328,0.85153973,0.00803709,2.5624063,0.96598959
7,749,0.02577639,6.01829052,0.87429053,0.00731856,2.36275697,0.9358654
8,749,0.0243891,5.80912781,0.87015694,0.00864559,2.56339121,0.94254816
9,749,0.02394627,5.9922514,0.87949967,0.00730191,2.34163713,0.96727985
10,749,0.02708968,6.19173431,0.84991699,0.0072923,2.43356872,0.96453023
11,749,0.02446812,6.05379152,0.86794865,0.00512844,2.2138865,0.96754408
12,749,0.02276098,5.89960957,0.87919945,0.00506001,2.27040839,0.9735235
13,749,0.01972012,5.80902481,0.88298947,0.00638709,2.51038289,0.96353793
14,749,0.01893837,5.74983025,0.88184619,0.00620256,2.39558601,0.95918196
15,749,0.01702391,5.57618523,0.88722551,0.00492356,2.28577852,0.96139723
16,749,0.01708333,5.55404091,0.88331616,0.00534224,2.46105146,0.96426916
17,749,0.02014519,6.17674494,0.86344939,0.00716719,2.46496749,0.93933856
18,742,0.017489141,5.66137886,0.888423622,0.006152036,2.527852058,0.94256413
19,747,0.020355849,5.823965073,0.88334167,0.007229761,2.541966677,0.932849526
20,737,0.023919577,6.112743378,0.876413703,0.007850691,2.664101362,0.959405184
21,749,0.02724704,6.04295969,0.88136798,0.00853185,2.5300765,0.89313078
22,749,0.03347412,6.4749651,0.86614567,0.00684226,2.34725595,0.94846672
23,749,0.03578867,6.27370548,0.8773365,0.0119047,2.32254076,0.9316901
24,749,0.04183891,6.51046848,0.85085589,0.00998899,2.45052266,0.97001559
25,749,0.04445791,6.71569252,0.86167294,0.00968893,2.51159096,0.96711987
26,749,0.04205946,6.36101484,0.87438899,0.01241443,2.68586326,0.95724845
27,749,0.04070779,6.46994066,0.87284023,0.00789729,2.25686646,0.97319049
28,749,0.04140164,6.73895645,0.86161762,0.01232306,2.92518401,0.93316448
29,749,0.03764521,6.65574217,0.86305618,0.01007746,2.86617231,0.95311344
30,749,0.02802032,5.75203466,0.89347196,0.01217769,2.74783087,0.94930077
31,749,0.03135566,6.4196701,0.87302411,0.01171282,2.63350081,0.95469964
32,749,0.02830431,6.09824991,0.88748008,0.00983385,2.65970492,0.96038622
33,749,0.03310836,6.38770771,0.87978804,0.01015904,2.61288714,0.95332336
34,745,0.046349186,7.026412487,0.866442442,0.011820273,2.669995546,0.959822595
35,749,0.06374969,7.00559473,0.86262232,0.01498863,2.85315871,0.95634365
36,749,0.0972634,7.19273853,0.85330665,0.01843948,2.46754241,0.97019118
37,749,0.16956945,7.67557001,0.84698457,0.04126906,2.82851171,0.96304142
38,749,0.29670227,7.9284215,0.83252841,0.05085684,2.79249334,0.97378337
39,744,0.533582866,8.012971878,0.834180593,0.093107745,3.135962725,0.96498549
40,749,1.28288209,9.7184906,0.74639291,0.1543071,3.41839695,0.95821744
41,749,1.84810817,9.28546047,0.75789636,0.18390189,2.98625278,0.97596347
42,749,3.12815166,10.4290276,0.71915001,0.32765681,3.43533134,0.95984578
43,734,3.779150248,10.26823521,0.706430852,0.587248087,4.330719948,0.930613875
