epoch,loss,mean_absolute_percentage_error,r_squared,val_loss,val_mean_absolute_percentage_error,val_r_squared
0,2.5653419494628906,4290051.5,-13.400519371032715,3.000142812728882,930268.4375,-30.197843551635742
1,2.538630723953247,5861655.0,-13.923746109008789,2.9729132652282715,1237078.625,-29.90415382385254
2,2.4903202056884766,5889664.0,-12.930780410766602,2.9220447540283203,1595789.5,-29.364789962768555
3,2.4757251739501953,5427799.0,-13.138668060302734,2.8531596660614014,1978752.0,-28.653575897216797
4,2.437258243560791,8593874.0,-12.900813102722168,2.767711639404297,2445905.25,-27.769073486328125
5,2.3724169731140137,7068603.0,-12.510610580444336,2.673074245452881,2954783.5,-26.785564422607422
6,2.3623273372650146,6795116.5,-12.175196647644043,2.5707359313964844,3506176.5,-25.709239959716797
7,2.282559871673584,7211339.0,-13.104249954223633,2.46109938621521,4110196.0,-24.55896759033203
8,2.2529609203338623,11201641.0,-11.771493911743164,2.344926118850708,4794101.0,-23.321435928344727
9,2.2226598262786865,8409656.0,-11.718475341796875,2.2306854724884033,5512837.5,-22.11014175415039
10,2.183804988861084,12339915.0,-11.412796974182129,2.11885666847229,6275996.5,-20.919933319091797
11,2.1128571033477783,10543864.0,-10.766432762145996,2.0049691200256348,7076613.0,-19.71418571472168
12,2.056527853012085,11729826.0,-10.74134635925293,1.889626145362854,7919337.0,-18.49356460571289
13,2.021754503250122,13784007.0,-10.492915153503418,1.7795963287353516,8769615.0,-17.331335067749023
14,1.9477070569992065,12620231.0,-9.742183685302734,1.6740398406982422,9611882.0,-16.214229583740234
15,1.9154715538024902,13834789.0,-9.864660263061523,1.5695841312408447,10479800.0,-15.106534957885742
16,1.8483959436416626,18140788.0,-9.249832153320312,1.4787061214447021,11271448.0,-14.14534854888916
17,1.7836133241653442,16264130.0,-9.072122573852539,1.3888170719146729,12085462.0,-13.19741153717041
18,1.7312297821044922,15895195.0,-8.800436019897461,1.301887035369873,12897054.0,-12.276917457580566
19,1.699879765510559,19790508.0,-8.430400848388672,1.2195932865142822,13702604.0,-11.403474807739258
20,1.6665606498718262,18056238.0,-8.527244567871094,1.1447677612304688,14469854.0,-10.608282089233398
21,1.6154359579086304,20239660.0,-7.94750452041626,1.0762752294540405,15207347.0,-9.879128456115723
22,1.5355572700500488,19173224.0,-7.864059925079346,1.0119379758834839,15932048.0,-9.194757461547852
23,1.5543785095214844,20372476.0,-7.948699951171875,0.9556004405021667,16601493.0,-8.595640182495117
24,1.5222738981246948,20185368.0,-7.4318389892578125,0.905553936958313,17222766.0,-8.062334060668945
25,1.4901787042617798,23000744.0,-7.516765117645264,0.859999418258667,17815924.0,-7.575826644897461
26,1.4792368412017822,25017390.0,-7.23235559463501,0.8199850916862488,18362492.0,-7.148376941680908
27,1.43924081325531,25467372.0,-7.300135135650635,0.7838571071624756,18881358.0,-6.761395454406738
28,1.418764352798462,23883356.0,-6.859635353088379,0.7501904964447021,19390260.0,-6.399864196777344
29,1.3782942295074463,26199778.0,-6.936225414276123,0.7231038212776184,19824910.0,-6.10872220993042
30,1.3786826133728027,29013360.0,-6.689785480499268,0.6991103291511536,20226916.0,-5.850697040557861
31,1.3561369180679321,28254654.0,-6.579128742218018,0.676215410232544,20622742.0,-5.60508394241333
32,1.3319063186645508,28465758.0,-6.332032203674316,0.6564711332321167,20981170.0,-5.393461227416992
33,1.3299921751022339,29482756.0,-6.380691051483154,0.639755368232727,21296440.0,-5.214422225952148
34,1.3716589212417603,25850240.0,-6.7096476554870605,0.6270843744277954,21553450.0,-5.079115867614746
35,1.3228700160980225,29330552.0,-6.3266706466674805,0.6137795448303223,21821748.0,-4.9371185302734375
36,1.2796269655227661,30595582.0,-6.068058490753174,0.6021749973297119,22062974.0,-4.813328742980957
37,1.304391622543335,29192534.0,-6.5018205642700195,0.5926413536071777,22271624.0,-4.711642265319824
38,1.286638617515564,30795850.0,-6.268404006958008,0.584141194820404,22462084.0,-4.621024131774902
39,1.273166537284851,28600904.0,-6.2130327224731445,0.5745925307273865,22677578.0,-4.518877983093262
40,1.2806261777877808,29702110.0,-6.211742877960205,0.5681881904602051,22836600.0,-4.451213359832764
41,1.2836905717849731,33645564.0,-6.098978042602539,0.5639371871948242,22950796.0,-4.4065704345703125
42,1.2720752954483032,31487062.0,-6.374657154083252,0.5563037395477295,23135558.0,-4.3250322341918945
43,1.214337944984436,32032392.0,-5.903103351593018,0.547853946685791,23341362.0,-4.235009670257568
44,1.2640870809555054,31589338.0,-6.281466960906982,0.5476064682006836,23379284.0,-4.233849048614502
45,1.2361934185028076,34489760.0,-5.849734306335449,0.5449394583702087,23465832.0,-4.206485271453857
46,1.23271906375885,29295624.0,-5.787847518920898,0.5407962203025818,23584516.0,-4.1628947257995605
47,1.2445998191833496,33596104.0,-6.198336601257324,0.5363888144493103,23707416.0,-4.11646032333374
48,1.2215656042099,30945992.0,-5.8278703689575195,0.5337809324264526,23795188.0,-4.089574813842773
